,Division Placement,Points For,Points for Per Game,Points For Ranking,Points Against,Points Against Per Game,Points Against Ranking,Expected Wins,Expected Losses,Team Rating SRS,SRS rank,Strength of Schedule
1960,4,286,20.4,8,349,24.9,5,5.4,8.6,-3.94,16,.56
1961,2,413,29.5,2,313,22.4,3,9.2,4.8,6.25,5,-0.89
1962,2,346,24.7,4,295,21.1,4,8.3,5.7,3.19,8,-0.46
1963,1,327,23.4,4,257,18.4,2,8.9,5.1,4.38,8,-0.63
1964,2,365,26.1,3,297,21.2,2,8.7,5.3,4.25,6,-0.61
1965,3,244,17.4,8,302,21.6,5,5.3,8.7,-3.63,14,.52
1966,2,315,22.5,6,283,20.2,3,7.9,6.1,2.54,9,.26
1967,5,280,20.0,5,389,27.8,7,4.4,9.6,-6.68,21,1.11
1968,4,229,16.4,8,406,29.0,10,2.9,11.1,-12.82,26,-0.18
1969,3,266,19.0,8,316,22.6,6,5.6,8.4,-4.05,17,-0.48
1970,5,149,10.6,26,361,25.8,26,1.5,12.5,-15.88,26,-0.74
1971,3,238,17.0,19,325,23.2,21,4.5,9.5,-5.07,22,1.15
1972,5,192,13.7,24,446,31.9,26,1.7,12.3,-17.40,26,.75
1973,3,258,18.4,16,300,21.4,16,5.8,8.2,-6.00,20,-3.00
1974,3,348,24.9,2,289,20.6,20,8.5,5.5,4.78,8,.57
1975,5,258,18.4,14,358,25.6,22,4.4,9.6,-4.28,18,2.87
1976,2,376,26.9,2,236,16.9,11,10.5,3.5,8.65,6,-1.35
1977,3,278,19.9,9,217,15.5,9,9.0,5.0,4.00,9,-0.35
1978,1,358,22.4,4,286,17.9,13,10.1,5.9,5.00,5,.50
1979,2,411,25.7,2,326,20.4,15,10.1,5.9,5.09,3,-0.22
1980,2,441,27.6,2,325,20.3,17,10.8,5.2,6.49,5,-0.76
1981,5,322,20.1,15,370,23.1,22,6.7,9.3,-3.68,23,-0.68
1982,3,143,15.9,21,157,17.4,7,4.0,5.0,-2.40,17,-0.85
1983,2,274,17.1,24,289,18.1,3,7.5,8.5,-1.02,14,-0.08
1984,2,362,22.6,10,352,22.0,18,8.3,7.7,-0.13,16,-0.76
1985,3,362,22.6,10,290,18.1,6,10.1,5.9,5.80,5,1.30
1986,1,412,25.8,2,307,19.2,10,10.7,5.3,5.70,6,-0.86
1987,2,320,21.3,15,293,19.5,9,8.3,6.7,3.12,8,1.32
1988,3,250,15.6,24,284,17.8,5,6.8,9.2,-0.16,14,1.96
1989,4,297,18.6,21,391,24.4,23,5.5,10.5,-7.04,24,-1.16
1990,5,181,11.3,28,446,27.9,27,1.7,14.3,-14.58,28,1.99
1991,4,211,13.2,25,305,19.1,15,4.7,11.3,-8.67,26,-2.80
1992,5,205,12.8,27,363,22.7,23,3.3,12.7,-10.98,28,-1.11
1993,4,238,14.9,22,286,17.9,11,6.3,9.7,-3.75,22,-0.75
1994,2,351,21.9,8,312,19.5,12,9.1,6.9,3.23,8,.79
1995,4,294,18.4,23,377,23.6,25,5.7,10.3,-5.43,26,-0.25
1996,1,418,26.1,2,313,19.6,14,10.6,5.4,5.11,6,-1.45
1997,1,369,23.1,8,289,18.1,8,10.3,5.7,5.33,5,.33
1998,4,337,21.1,11,329,20.6,14,8.2,7.8,3.88,9,3.38
1999,5,299,18.7,20,284,17.8,7,8.5,7.5,2.23,14,1.29
2000,5,276,17.3,25,338,21.1,17,6.1,9.9,-2.50,22,1.38
2001,1,371,23.2,6,272,17.0,6,10.8,5.2,4.33,7,-1.85
2002,2,381,23.8,10,346,21.6,17,8.9,7.1,4.03,8,1.84
2003,1,348,21.8,12,238,14.9,1,11.4,4.6,6.94,4,.06
2004,1,437,27.3,4,260,16.3,2,12.4,3.6,12.84,1,1.78
2005,1,379,23.7,10,338,21.1,17,9.1,6.9,3.14,13,.58
2006,1,385,24.1,7,237,14.8,2,12.2,3.8,10.24,1,.99
2007,1,589,36.8,1,274,17.1,4,13.8,2.2,20.06,1,.37
2008,2,410,25.6,8,309,19.3,8,10.6,5.4,3.91,11,-2.40
2009,1,427,26.7,6,285,17.8,5,11.6,4.4,11.21,1,2.34
2010,1,518,32.4,1,313,19.6,8,12.3,3.7,15.38,1,2.57
2011,1,513,32.1,3,342,21.4,15,11.6,4.4,9.27,3,-1.42
2012,1,557,34.8,1,331,20.7,9,12.4,3.6,12.75,1,-1.37
2013,1,444,27.8,3,338,21.1,10,10.5,5.5,5.89,8,-0.74
2014,1,468,29.3,4,313,19.6,8,11.5,4.5,10.95,1,1.26
2015,1,465,29.1,3,315,19.7,10,11.5,4.5,6.97,7,-2.41
2016,1,441,27.6,3,250,15.6,1,12.7,3.3,9.29,1,-2.65
2017,1,458,28.6,2,296,18.5,5,11.8,4.2,8.89,5,-1.24
2018,1,436,27.3,4,325,20.3,7,10.7,5.3,5.18,8,-1.76
2019,1,420,26.3,7,225,14.1,1,13.0,3.0,10.43,3,-1.76
2020,3,326,20.4,27,353,22.1,7,7.2,8.8,-0.98,18,.71
2021,1,41,20.5,23,23,11.5,2,1.6,0.4,12.72,8,3.72
