,G#,Opp,Spread,Over/Under,Result,vs. Line,OU Result,Year
0,1,WAS,-9.5,0.0,"L, 14-16",Lost,Over,1978
1,2,@STL,-6.5,0.0,"W, 16-6",Won,Over,1978
2,3,BAL,-17.5,0.0,"L, 27-34",Lost,Over,1978
3,4,@OAK,6.5,0.0,"W, 21-14",Won,Over,1978
4,5,SDG,-7.5,0.0,"W, 28-23",Lost,Over,1978
5,6,PHI,-7.0,0.0,"W, 24-14",Won,Over,1978
6,7,@CIN,-9.0,0.0,"W, 10-3",Lost,Over,1978
7,8,MIA,-4.5,0.0,"W, 33-24",Won,Over,1978
8,9,NYJ,-9.0,0.0,"W, 55-21",Won,Over,1978
9,10,@BUF,-9.0,0.0,"W, 14-10",Lost,Over,1978
10,11,HOU,-7.0,0.0,"L, 23-26",Lost,Over,1978
11,12,@NYJ,-6.0,0.0,"W, 19-17",Lost,Over,1978
12,13,@BAL,-7.0,0.0,"W, 35-14",Won,Over,1978
13,14,@DAL,6.5,0.0,"L, 10-17",Lost,Over,1978
14,15,BUF,-11.5,0.0,"W, 26-24",Lost,Over,1978
15,16,@MIA,3.5,0.0,"L, 3-23",Lost,Over,1978
16,17,HOU,-6.0,0.0,"L, 14-31",Lost,Over,1978
17,1,PIT,2.0,37.0,"L, 13-16",Lost,Under,1979
18,2,NYJ,-8.0,42.0,"W, 56-3",Won,Over,1979
19,3,@CIN,-6.0,41.0,"W, 20-14",Push,Under,1979
20,4,SDG,-3.0,44.0,"W, 27-21",Won,Over,1979
21,5,@GNB,-7.0,39.0,"L, 14-27",Lost,Over,1979
22,6,DET,-13.0,40.0,"W, 24-17",Lost,Over,1979
23,7,@CHI,-4.0,37.0,"W, 27-7",Won,Under,1979
24,8,MIA,-5.0,38.0,"W, 28-13",Won,Over,1979
25,9,@BAL,-4.0,37.0,"L, 26-31",Lost,Over,1979
26,10,@BUF,-5.0,41.0,"W, 26-6",Won,Under,1979
27,11,@DEN,-1.0,34.0,"L, 10-45",Lost,Over,1979
28,12,BAL,-10.0,40.0,"W, 50-21",Won,Over,1979
29,13,BUF,-10.0,41.0,"L, 13-16",Lost,Under,1979
30,14,@MIA,6.0,38.0,"L, 24-39",Lost,Over,1979
31,15,@NYJ,-4.0,44.0,"L, 26-27",Lost,Over,1979
32,16,MIN,-5.0,40.0,"W, 27-23",Lost,Over,1979
33,1,CLE,-6.0,38.0,"W, 34-17",Won,Over,1980
34,2,ATL,-8.0,49.0,"L, 21-37",Lost,Over,1980
35,3,@SEA,2.0,47.0,"W, 37-31",Won,Over,1980
36,4,DEN,-4.0,48.0,"W, 23-14",Won,Under,1980
