Player,09/12vs. CIN,09/19vs. NYJ,09/26vs. BUF,10/04vs. MIA,10/17vs. BAL,10/24vs. SDG,10/31vs. MIN,11/07vs. CLE,11/14vs. PIT,11/21vs. IND,11/25vs. DET,12/06vs. NYJ,12/12vs. CHI,12/19vs. GNB,12/26vs. BUF,01/02vs. MIA,01/16vs. NYJ
Kyle Arrington,P,,,,,P,,,,,,,,P,P,P,P
Tully Banta-Cain,,,,,,,,,,,,,,,P,O,P
Josh Barrett,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Leigh Bodden,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ron Brace,P,,,,,,,,,,,,,O,P,D,IR
Tom Brady,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
Deion Branch,,,,,,,P,P,,,,,,P,Q,O,P
Patrick Chung,,,,,,P,O,O,P,,,,,,,,
Dan Connolly,,,,,,,,,,,,,,,O,D,Q
Jermaine Cunningham,P,,,,,,,,,,,,,,O,P,P
Brandon Deaderick,O,,,,,,,,,,,,,,Q,Q,P
Julian Edelman,Q,P,Q,,,D,,,,,,,,,,,
Kevin Faulk,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Stephen Gostkowski,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Aaron Hernandez,P,,,,,,,,,,,,,,O,O,P
Torry Holt,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Nick Kaczur,O,O,D,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mark LeVoir,,,,,,,,,,,O,,,,,,
Bret Lockett,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Laurence Maroney,Q,,,,,,,,,,,,,,,,
Devin McCourty,,,,,,,,,,,,,,P,,P,
Brandon McGowan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brandon Meriweather,,,,,Q,,,,,,,,,,,,
Eric Moore,,,,,,,,,,,,,,,,,P
Randy Moss,P,,,,,,,,,,,,,,,,
Steve Neal,,,,,,,,,O,O,O,IR,IR,IR,IR,IR,IR
Jarrad Page,P,,,,,O,O,O,O,O,O,,,,,,
Taylor Price,,,O,,,,,,,,,,,,,,
Myron Pryor,P,,,,,,,,O,O,O,O,O,O,O,P,D
Darryl Richard,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
James Sanders,,,,,O,P,,,,,,,,,P,,
Matthew Slater,P,,,,,,O,P,,,,,,,,,
Brandon Spikes,,,,,,,,P,,,,,,,,,P
Brandon Tate,,,,,,,,,,P,P,,,,,,
Fred Taylor,,P,P,O,O,D,D,D,O,O,O,,,,,,
Sebastian Vollmer,,,,,,,,,,,,,,,,,P
Gerard Warren,,,,,,,,,,,,,,P,,,
Ty Warren,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Terrence Wheatley,O,O,D,O,O,Q,,,,,,,,,,,
Jonathan Wilhite,,,,,,,,,,O,O,O,O,IR,IR,IR,IR
Danny Woodhead,,,,,,,,,,,,,,,,,
Mike Wright,,,,,,,Q,,P,,Q,O,O,O,O,D,IR
