Player,09/12vs. MIA,09/18vs. SDG,09/25vs. BUF,10/02vs. OAK,10/09vs. NYJ,10/16vs. DAL,10/30vs. PIT,11/06vs. NYG,11/13vs. NYJ,11/21vs. KAN,11/27vs. PHI,12/04vs. IND,12/11vs. WAS,12/18vs. DEN,12/24vs. MIA,01/01vs. BUF,01/14vs. DEN,01/22vs. BAL,02/05vs. NYG
Mark Anderson,P,,,,,,,,,,,,,,,,,,
Kyle Arrington,P,,P,P,Q,,,,P,P,,,P,P,P,P,P,,
Josh Barrett,,P,P,P,O,O,O,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Leigh Bodden,P,P,P,O,P,P,Q,,,,,,,,,,,,
Ron Brace,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,,,,,,
Tom Brady,,,,,,,,,,,,,,,,P,P,P,
Deion Branch,,,,,,,,,,,P,,,O,P,P,,P,P
Sergio Brown,,,,,,O,P,,,,,,,,,,,,
Marcus Cannon,,,,,,,,,,,,,,,,,P,P,Q
Andre Carter,,,,,,,,,,,,,,,IR,IR,IR,IR,IR
Patrick Chung,,,O,P,P,P,,,O,O,O,O,O,D,O,P,Q,P,P
Dan Connolly,Q,,,,,,,,,,O,O,O,P,P,P,P,P,P
Jermaine Cunningham,O,Q,,,,,,,,,,,D,IR,IR,IR,IR,IR,IR
Brandon Deaderick,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,,,,,,,
Ras-I Dowling,,,O,O,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Julian Edelman,P,,,,D,D,,P,,,,P,P,P,P,P,Q,,
Shaun Ellis,,,,P,P,,,O,P,P,,,,,,,,,
Kevin Faulk,PUP,PUP,PUP,PUP,PUP,PUP,,O,P,O,P,,,,,,,,
Dane Fletcher,P,P,P,P,P,P,O,O,O,O,O,O,P,P,P,P,P,P,P
Vincent Fuller,,,,,,,,,,,,,,,Q,,,,
BenJarvus Green-Ellis,,,,,,P,P,P,P,P,,,,,P,,,,
Dan Gronkowski,,P,Q,,,,,,,,,,,,,,,,
Rob Gronkowski,,P,,,,,,,,,,,,,,,,P,Q
Gary Guyton,,O,P,P,Q,,,,Q,P,P,P,,,,,,,
Albert Haynesworth,,,O,O,P,P,P,P,,,,,,,,,,,
Aaron Hernandez,,,O,O,P,P,,P,,,,,,,,,,P,
James Ihedigbo,,,,,,,,,,P,P,P,P,P,P,P,P,P,P
Chad Johnson,,,,,,,,,,,O,P,,,,,,O,
Dan Koppen,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Matt Light,,,,,,,,,,,P,P,,,O,P,Q,,P
Kyle Love,,,,,P,P,,,,,,,,,,,,P,P
Logan Mankins,,,,Q,,,,,,,,,,,,O,P,P,P
Jerod Mayo,,P,P,Q,D,D,P,P,P,,,,,,,,,,
Devin McCourty,,,,,,,,,,D,O,P,P,P,P,P,Q,,
Zoltan Mesko,,,P,Q,,,,,,,,,,,,,,,
Antwaun Molden,,,,,,,,,,,,P,,,,,,,
Rob Ninkovich,,,,,,,,,,,,,,,,P,P,P,P
Taylor Price,O,O,O,O,,,,O,O,P,O,Q,,,,,,,
Myron Pryor,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Stevan Ridley,Q,Q,,,,,,,,,,,,,,,,,
Matthew Slater,,,,,,P,,,,P,P,P,P,P,P,P,P,P,P
Nate Solder,,,,,,,,,P,P,,,,,,,,P,
Brandon Spikes,,,,,,,,,O,O,O,D,O,O,O,P,P,P,P
Jeff Tarpinian,Q,,,,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR
Shane Vereen,O,Q,,,,,,,,,,O,O,O,O,O,Q,,
Sebastian Vollmer,O,P,O,O,D,D,P,P,Q,P,Q,O,O,D,D,O,O,O,Q
Brian Waters,,,,,,,,,,P,P,P,,,P,P,,,
Wes Welker,,,,,,,,P,P,P,P,,P,P,P,P,P,Q,P
Ryan Wendell,O,O,P,P,,,,,,,,P,P,P,Q,,,,
Tracy White,,,,,,,,,,,,,,,,O,P,P,P
Danny Woodhead,,,,,D,D,,,P,,,P,P,P,Q,,,,
Mike Wright,,O,O,D,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
