Player,09/09vs. TEN,09/16vs. ARI,09/23vs. BAL,09/30vs. BUF,10/07vs. DEN,10/14vs. SEA,10/21vs. NYJ,10/28vs. STL,11/11vs. BUF,11/18vs. IND,11/22vs. NYJ,12/02vs. MIA,12/10vs. HOU,12/16vs. SFO,12/23vs. JAX,12/30vs. MIA,01/13vs. HOU,01/20vs. BAL
Will Allen,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kyle Arrington,,,,,,,,Q,Q,,,,,Q,,,,
Jake Ballard,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,IR,IR,IR,IR,IR,IR,IR,IR
Josh Barrett,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brandon Bolden,,,,,Q,Q,O,O,D,,,,P,,,,,
Ron Brace,,,,,,,Q,Q,Q,Q,Q,Q,Q,Q,,,,
Tom Brady,,,,P,P,P,,,,,,,,,P,,,
Deion Branch,,,,,,,,,,Q,,,,,,,,
Patrick Chung,P,P,P,,,,Q,O,Q,Q,Q,Q,Q,Q,Q,Q,Q,
Marquice Cole,,,,,,,,,,,,,,,,D,P,P
Dan Connolly,,Q,Q,,,,,,,Q,Q,Q,Q,Q,Q,Q,Q,
Brandon Deaderick,,,Q,Q,Q,Q,,,,,,,,,,,,
Jeff Demps,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Alfonzo Dennard,Q,Q,Q,Q,,,,,,,,,,Q,Q,Q,P,
Ras-I Dowling,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Nate Ebner,,,,,,,,,,,,,,,,Q,Q,
Julian Edelman,,,,O,D,D,Q,P,P,P,D,,IR,IR,IR,IR,IR,IR
Daniel Fells,Q,Q,Q,,,,,,,,,,,,,,,
Dane Fletcher,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Justin Francis,,,O,Q,Q,Q,,,,,,,,,,,,
Steve Gregory,,,,,O,O,O,O,Q,Q,Q,,,,,,,
Rob Gronkowski,,,,Q,Q,Q,P,P,Q,,O,O,O,O,O,Q,Q,IR
Brad Herman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Aaron Hernandez,,D,O,O,O,Q,P,O,D,D,Q,P,P,Q,Q,P,Q,
Dont'a Hightower,,,,,Q,O,Q,P,Q,Q,Q,Q,Q,Q,Q,Q,Q,
Michael Hoomanawanui,,,,,Q,Q,Q,,,,,,,,,,,
Chandler Jones,,,,,,,,,,,O,D,Q,Q,Q,Q,,P
Spencer Larsen,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brandon Lloyd,,,Q,,,,,P,Q,Q,Q,Q,Q,Q,Q,P,Q,
Kyle Love,,,,Q,P,P,P,P,P,P,,Q,Q,Q,Q,Q,,Q
Logan Mankins,,,Q,Q,Q,Q,Q,Q,Q,D,O,D,Q,Q,Q,Q,Q,
Jerod Mayo,,,,,,,,Q,Q,P,,P,P,P,Q,Q,Q,
Nick McDonald,D,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,P,P
Sterling Moore,Q,Q,Q,Q,Q,Q,Q,Q,,,,,,,,,,
Rob Ninkovich,,,,,,,,,,,,,,,,,Q,
Mitch Petrus,,,,,,,,,,,,Q,Q,,,,,
Myron Pryor,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,IR,IR,IR,IR,IR,IR,IR,IR
Jamey Richard,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mike Rivera,,,,,,,,,,,,,,,Q,Q,Q,
Trevor Scott,,,,,,,,O,O,Q,Q,,,,,,P,P
Visanthe Shiancoe,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,
Matthew Slater,,,,,,,,,,,,Q,,,,,,
Nate Solder,,,,,,,,,,,,,,,Q,Q,,
Brandon Spikes,,,,,,,,,Q,Q,Q,Q,Q,Q,Q,Q,Q,
Donte' Stallworth,,,,,,,,,,,,,,IR,IR,IR,IR,IR
Aqib Talib,,,,,,,,,,P,,,,Q,Q,Q,P,Q
Shane Vereen,D,Q,Q,Q,Q,Q,,,,,,,,,,,,
Sebastian Vollmer,Q,Q,Q,Q,Q,Q,Q,P,Q,Q,Q,Q,Q,Q,Q,Q,,
Wes Welker,,,,,,P,P,P,Q,Q,Q,Q,Q,Q,Q,P,Q,
Tracy White,,,,,,O,O,O,O,Q,Q,Q,,Q,Q,Q,Q,
Vince Wilfork,,,,,,,,P,,,,,,,,,,
Malcolm Williams,,,,,,,,,,Q,,,,,,,,
Tavon Wilson,,,,,,,,,,P,,,,,,,,
Danny Woodhead,,,,,,,,,,,,,,,,,Q,P
Markus Zusevics,O,O,O,O,O,O,O,O,O,O,O,Q,Q,,,,,
