Player,09/08vs. BUF,09/12vs. NYJ,09/22vs. TAM,09/29vs. ATL,10/06vs. CIN,10/13vs. NOR,10/20vs. NYJ,10/27vs. MIA,11/03vs. PIT,11/18vs. CAR,11/24vs. DEN,12/01vs. HOU,12/08vs. CLE,12/15vs. MIA,12/22vs. BAL,12/29vs. BUF,01/11vs. IND,01/19vs. DEN
Danny Amendola,Q,D,D,O,Q,P,O,P,P,P,P,P,P,P,P,P,,
Armond Armstead,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
Kyle Arrington,,,,Q,P,P,P,P,Q,Q,P,Q,Q,Q,Q,Q,,
Brandon Bolden,Q,Q,Q,Q,Q,P,Q,Q,P,Q,,,,,,,,
Josh Boyce,,,,,,,,,,,,,,,D,O,,
Tom Brady,,,,,,,,P,P,P,P,P,P,P,P,P,,
Marcus Cannon,,,,,,,Q,Q,P,,,O,O,Q,P,P,,
Marquice Cole,,P,,Q,Q,,,,,,,Q,Q,Q,,,,
Austin Collie,,,,,,,,,,,,,,,,,,
Dan Connolly,,,Q,,,,Q,,,,,,,,,,,
Alfonzo Dennard,,P,,,,,,,,O,,O,Q,Q,Q,Q,,
Aaron Dobson,Q,Q,,D,Q,P,,,,,,O,O,O,Q,Q,,
Nate Ebner,Q,Q,Q,Q,Q,P,,,,,,,,,,,,
Julian Edelman,,,,,,,Q,Q,P,,,,,,,,,
Dane Fletcher,,,,,,,,,,,,,,,Q,Q,,
Tyronne Green,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Steve Gregory,,,,,,,,,,O,Q,Q,Q,P,P,Q,,
Cory Grissom,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Rob Gronkowski,D,O,D,D,D,D,P,P,P,P,P,P,Q,IR,IR,IR,IR,IR
Duron Harmon,Q,Q,,,,,,,,,,,,,,,,
Mark Harrison,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
Dont'a Hightower,,,,,Q,P,,,,,,,,,,,,
Michael Hoomanawanui,,,,,,,Q,Q,Q,,O,O,P,Q,P,P,,
Tommy Kelly,,,,,,O,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jerod Mayo,,,,P,Q,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Devin McCourty,,,,,,,P,P,,,,,,,,D,,
T.J. Moe,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Rob Ninkovich,,,,,,P,P,P,,Q,,,,,,Q,,
Stevan Ridley,,P,,,O,P,,,,,,,,,,,,
Matthew Slater,,Q,O,O,O,O,,P,P,P,P,P,P,P,,,,
Nate Solder,,,,,,,P,,,,,,,Q,O,Q,,
Brandon Spikes,,,,,,,,,,,P,P,Q,Q,Q,Q,,
Zach Sudfeld,,Q,P,P,Q,,,,,,,,,,,,,
Will Svitek,O,Q,Q,Q,P,,,,,,,,Q,Q,P,Q,,
Aqib Talib,,,,,,Q,D,O,D,Q,Q,Q,Q,P,P,P,,
Kenbrell Thompkins,,,,,Q,,,,,,,,Q,O,O,Q,,
Shane Vereen,,IR,IR,IR,IR,IR,IR,IR,IR,IR,P,P,P,P,Q,P,,
Sebastian Vollmer,,,,D,Q,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Leon Washington,,Q,Q,Q,,O,O,O,Q,O,Q,,,,,,,
Ryan Wendell,,,,,,Q,,,,,,,,,,,,
Chris White,,,,,,,,,,,,Q,,,,,,
Vince Wilfork,,,,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Adrian Wilson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tavon Wilson,,,,,Q,Q,Q,Q,Q,,,,,,,,,
Markus Zusevics,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
