Player,09/07vs. MIA,09/14vs. MIN,09/21vs. OAK,09/29vs. KAN,10/05vs. CIN,10/12vs. BUF,10/16vs. NYJ,10/26vs. CHI,11/02vs. DEN,11/16vs. IND,11/23vs. DET,11/30vs. GNB,12/07vs. SDG,12/14vs. MIA,12/21vs. NYJ,12/28vs. BUF,01/10vs. BAL,01/18vs. IND,02/01vs. SEA
Danny Aiken,,,,,,,,,,,,O,Q,Q,Q,P,,,
Kyle Arrington,,,,,,,,,,,,Q,Q,,O,O,Q,,
Akeem Ayers,,,,,,,,,,,,,,,,,,,P
LeGarrette Blount,,,,,,,,,,,,,,,O,Q,Q,,
Tom Brady,P,,,,,Q,P,P,P,P,P,P,P,P,P,P,P,P,P
Brandon Browner,S,S,S,S,P,O,P,P,P,,,,,,,O,Q,P,
Michael Buchanan,O,O,,P,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Marcus Cannon,,,,,,,,,,,Q,P,P,,,,,,
Jonathan Casillas,,,,,,,,,Q,,,,,,,,,,
Jamie Collins,,O,Q,P,Q,Q,P,P,,,,,,,,P,,,
Dan Connolly,,,P,P,,,D,Q,,,,Q,Q,Q,O,O,Q,,
Alfonzo Dennard,,,O,O,Q,,,,,,,,,,,IR,IR,IR,IR
Aaron Dobson,,,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Dominique Easley,,,,,Q,O,Q,Q,Q,Q,O,Q,Q,O,IR,IR,IR,IR,IR
Nate Ebner,,,,,O,O,O,O,Q,Q,Q,Q,,,,,,,
Julian Edelman,,,P,,,,,,,,P,P,P,P,O,O,P,,
Cameron Fleming,,,,,O,O,O,O,O,Q,O,O,Q,O,Q,P,,,
Tyler Gaffney,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Cameron Gordon,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jonas Gray,,,,,,,,,,,,,,,,O,O,,
Rob Gronkowski,Q,P,P,P,P,,,,,,,,,,,,,,
Dont'a Hightower,,,,,O,O,Q,P,P,,,,Q,Q,P,O,Q,P,P
Chandler Jones,,,,,Q,P,Q,O,O,O,O,O,Q,Q,Q,P,,,
Chris Jones,O,Q,,,,,,,,,,,,,,,,O,P
Don Jones,,,O,P,,,,,,,,,,,,,,,
Brandon LaFell,,,,,,,,,,,,P,P,P,P,P,P,P,
Jerod Mayo,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Devin McCourty,,,,,,P,P,P,,,,,,,,,,,
Terrence Miller,IR,IR,IR,IR,IR,,,,,,,,,,,,,,
James Morris,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Rob Ninkovich,,,,,,,,,,,,,,P,P,P,,,
Greg Orton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Darrelle Revis,,,,,,,,,,,,,,,,,,,
Stevan Ridley,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Sealver Siliga,Q,Q,P,D,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,P
Matthew Slater,,,,,,Q,Q,Q,Q,P,,,,,,,,,
Nate Solder,,,,,,,,,,,,,,,,,Q,,
Bryan Stork,,,,,,O,O,Q,,,,,,,,,,O,P
Brian Tyms,S,S,S,S,P,,,,,,,,,,,,,,
Shane Vereen,,,P,,,,,Q,,,,P,P,P,P,P,,,
Ryan Wendell,,O,O,,,,,,,Q,Q,,,,,,,,
Chris White,,,,,,,,,,,,O,D,O,Q,P,,,
