Player,09/11vs. ARI,09/18vs. MIA,09/22vs. HOU,10/02vs. BUF,10/09vs. CLE,10/16vs. CIN,10/23vs. PIT,10/30vs. BUF,11/13vs. SEA,11/20vs. SFO,11/27vs. NYJ,12/04vs. LAR,12/12vs. BAL,12/18vs. DEN,12/24vs. NYJ,01/01vs. MIA,01/14vs. HOU,01/22vs. PIT,02/05vs. ATL
Danny Amendola,,,,,,,,,,,,,O,O,O,O,,Q,
LeGarrette Blount,,,,,Q,Q,,,,,,,,,,,,,
Brandon Bolden,,,,,O,Q,Q,Q,,,,,,,,,,Q,
Tom Brady,,,,,,,,,,,Q,Q,,,Q,Q,,,
Alan Branch,,,,,,,,,Q,,,,,,,,,,
Jacoby Brissett,,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Malcolm Butler,,Q,,,,,,,,,,,,Q,,,,,
Marcus Cannon,,Q,,Q,Q,Q,,,,,,,,,,,,,
Nate Ebner,,,,,,,,,,,,Q,,,,,,,
Julian Edelman,,,,,Q,Q,Q,Q,Q,Q,Q,Q,,,,,,,
Trey Flowers,Q,Q,Q,,,,,,,,,Q,,,,,,,
Michael Floyd,,,,,,,,Q,,,Q,,,,,,,,
Jonathan Freeny,,,Q,Q,Q,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jimmy Garoppolo,,,D,Q,Q,Q,,,,,,,,,,,,,
Rob Gronkowski,Q,Q,Q,Q,Q,Q,,,,O,Q,IR,IR,IR,IR,IR,IR,IR,IR
Woodrow Hamilton,,,,,,,Q,Q,,,,Q,,,,,,,
Dont'a Hightower,,D,Q,Q,Q,Q,,,,,,,,Q,Q,Q,,Q,
Chris Hogan,Q,Q,,,,,,,Q,O,Q,Q,,,,,,Q,
Tre' Jackson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Cyrus Jones,,,,,,,,,,,Q,,,,,O,,,
Jonathan Jones,,,,,,,,Q,,,,,,,,,,,
Dion Lewis,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,
Shaq Mason,Q,Q,,,,,,,,,,,,,,,,,
Shea McClellin,Q,Q,,,O,Q,Q,,,,,,,,,,,,
Malcolm Mitchell,Q,,,,,Q,Q,Q,,,,,,,,D,Q,Q,
Jordan Richards,,,,,,,,,,,,O,Q,Q,Q,,,,
Elandon Roberts,,,,,,,Q,Q,,,,Q,Q,Q,,,,,
Eric Rowe,,O,Q,Q,,,,,,,,,Q,Q,,,,,
Greg Scruggs,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Matthew Slater,,,,,,,,,,,O,Q,Q,Q,Q,Q,,,
Nate Solder,Q,Q,,,,,,,,,,,,,,,,,
Joe Thuney,,,,,Q,Q,,,,,,,,,,,,,
Vincent Valentine,,,,,Q,Q,Q,Q,,,,,,,,,,,
Sebastian Vollmer,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Michael Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
