Player,09/07vs. KAN,09/17vs. NOR,09/24vs. HOU,10/01vs. CAR,10/05vs. TAM,10/15vs. NYJ,10/22vs. ATL,10/29vs. LAC,11/12vs. DEN,11/19vs. OAK,11/26vs. MIA,12/03vs. BUF,12/11vs. MIA,12/17vs. PIT,12/24vs. BUF,12/31vs. NYJ,01/13vs. TEN,01/21vs. JAX,02/04vs. PHI
Danny Amendola,,O,Q,,,,,Q,Q,Q,Q,,,,,,,,
David Andrews,,,,,,,,,,O,O,Q,,,,,,,
Johnson Bademosi,,,,,,,Q,,,,,,,,,,,,
Martellus Bennett,,,,,,,,,Q,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brandon Bolden,,,,,,,,,,,,,,,Q,,,,
Tom Brady,,,,,,,,,,,,,,,,,,Q,
Alan Branch,,,,,IR,,,,,,,,,O,O,O,Q,Q,IR
Malcom Brown,,,,,,,,O,O,Q,Q,,,,,,,,
Rex Burkhead,,,O,D,O,Q,,,,,,,,,O,O,Q,Q,
Marcus Cannon,,Q,Q,Q,Q,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Patrick Chung,,,,,,,,,,,Q,,,,,,,,
Keionta Davis,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Phillip Dorsett,,,Q,,,,,,,,,,,,,,,,
Nate Ebner,Q,Q,Q,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Julian Edelman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chase Farris,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Cameron Fleming,Q,,,,,,,,,,,,,,,,,,
Marquis Flowers,,,,,,,,,,,,Q,Q,,,,Q,,
Trey Flowers,,,,,,,,,,,,Q,Q,Q,,,,,
Antonio Garcia,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mike Gillislee,,,,,,,,,,,,,Q,,,O,Q,Q,
Stephon Gilmore,,,Q,,Q,,O,Q,Q,,,,Q,Q,,,,,
Rob Gronkowski,,,Q,,Q,,,,,,,,,,,,,,
Lawrence Guy,,,,,,,,Q,,,,,,,,,,,
David Harris,,,,,,,,,,,,,,Q,,,,,
Dont'a Hightower,,O,Q,Q,Q,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Hogan,,,Q,,,,,,O,O,O,O,Q,Q,Q,Q,,,
Jacob Hollister,,,,,,,Q,,,,,,,,,,,,
Andrew Jelks,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Cyrus Jones,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jonathan Jones,,,,,,,,,,,,,,,,,,IR,IR
Brandon King,,,,Q,Q,,,,,,,,Q,Q,Q,,,,
Harvey Langi,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Eric Lee,,,,,,,,,,,,,,Q,Q,Q,Q,,
Matt Lengel,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR
Dion Lewis,,,,,,,,,,,,,Q,,,,,,
Cassius Marsh,,,,,,,,Q,Q,Q,,,,,,,,,
Shea McClellin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Devin McCourty,,Q,,,,,,,,,,,,,,Q,,,
Malcolm Mitchell,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Trevor Reilly,,,,,,,,,,,,Q,,,,,,,
Derek Rivers,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Elandon Roberts,,,Q,,Q,,Q,Q,,,,,,,,,,,
Eric Rowe,,,Q,Q,O,O,O,O,Q,Q,Q,Q,Q,,,,,,
Matthew Slater,Q,O,Q,Q,Q,,,,,O,Q,Q,Q,Q,Q,Q,,,
Vincent Valentine,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kyle Van Noy,,,,,,,,,,,,Q,O,Q,Q,Q,,,
LaAdrian Waddle,,,,,,,,,,,,Q,Q,Q,Q,Q,,Q,
James White,,,,,,,,,,,,,,,Q,Q,Q,,
