Player,09/09vs. HOU,09/16vs. JAX,09/23vs. DET,09/30vs. MIA,10/04vs. IND,10/14vs. KAN,10/21vs. CHI,10/29vs. BUF,11/04vs. GNB,11/11vs. TEN,11/25vs. NYJ,12/02vs. MIN,12/09vs. MIA,12/16vs. PIT,12/23vs. BUF,12/30vs. NYJ,01/13vs. LAC,01/20vs. KAN,02/03vs. LAR
Dwayne Allen,,,,,,,,,,,O,O,Q,,,Q,,,
Darren Andrews,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ja'Whaun Bentley,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Braxton Berrios,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brandon Bolden,,,,,IR,,,IR,,,,,,,,,IR,IR,IR
Tom Brady,,,,,,,,,,,Q,,,,,,,,
Kenny Britt,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Malcom Brown,,,,,,Q,Q,,,,,,,,,,,,
Trent Brown,,,,,,,,Q,Q,Q,,,,,,,,,
Rex Burkhead,,Q,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,
Adam Butler,,,,,Q,,,,,,,,,,,,,,
Marcus Cannon,Q,Q,Q,Q,,,O,Q,Q,,,,,,,,,,
Joe Cardona,,,,,,,,,Q,,,,,,,,,,
Patrick Chung,,,D,Q,,,,,,,,,,,,,,,
Keion Crossen,IR,Q,Q,Q,,,,,,IR,,IR,IR,,,,,,
Duke Dawson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Nate Ebner,Q,,Q,Q,,,,,,,Q,,,,,,,,
Julian Edelman,,,,,,,Q,,Q,,,,,,,,,,
Trey Flowers,,,D,Q,,,,,,,,,,,,,,,
Stephon Gilmore,,,,,,,,,,,,,Q,,,,,,
Josh Gordon,,,Q,Q,Q,Q,Q,Q,Q,,,,,,,,,,
Nicholas Grigsby,,,,,,,,,Q,,,,,,,,,,
Geneo Grissom,,,,Q,Q,Q,Q,Q,Q,,,,,,,,,,
Rob Gronkowski,,,,Q,Q,Q,Q,Q,Q,Q,Q,,,,,,,,
Dont'a Hightower,,,,,,,,Q,Q,Q,,,,,,,,,
Jeremy Hill,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Hogan,,,,,,Q,,,,,,,,,,,,,
Jacob Hollister,Q,,O,Q,Q,,Q,O,Q,Q,,,,,,IR,IR,IR,IR
Ryan Izzo,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ulrick John,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Cyrus Jones,IR,IR,,,IR,,,IR,,IR,,,,,IR,,IR,IR,IR
Brandon King,,,,Q,,,,,,,,,,,Q,Q,,,
Shaq Mason,,,,,,,,,O,Q,Q,,,,,,,,
Jordan Matthews,IR,IR,,,IR,IR,,IR,IR,,,IR,,,,,,IR,IR
Sony Michel,Q,Q,,,,Q,Q,D,Q,Q,Q,,,,,,,,
Cordarrelle Patterson,,,,,,,,,Q,,,,,,,Q,,,
Elandon Roberts,,,,,Q,,,,,,,,,Q,,,,,
Eric Rowe,,,Q,Q,Q,Q,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Christian Sam,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brian Schwenke,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Danny Shelton,,,,,Q,Q,,,,,,,,,,,,,
John Simon,,,,,,Q,Q,Q,Q,,,,,,,,,,
Matthew Slater,,,,,,,,,,Q,,,,,,,,,
Nate Theaker,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
LaAdrian Waddle,,,,,,,,,,,,,,,,Q,,,
Deatrich Wise Jr.,,,,,,,Q,Q,,,,,,,,,Q,,
Isaiah Wynn,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
