Player,09/08vs. PIT,09/15vs. MIA,09/22vs. NYJ,09/29vs. BUF,10/06vs. WAS,10/10vs. NYG,10/21vs. NYJ,10/27vs. CLE,11/03vs. BAL,11/17vs. PHI,11/24vs. DAL,12/01vs. HOU,12/08vs. KAN,12/15vs. CIN,12/21vs. BUF,12/29vs. MIA,01/04vs. TEN
David Andrews,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Michael Bennett,,,,Q,,,,,,,,,,,,,
Ja'Whaun Bentley,,,,,,,,,,,Q,Q,Q,Q,Q,Q,Q
Brandon Bolden,,O,,,,,,,,,,,,,,,
Tom Brady,,,,,,,,,,,Q,,,,,,
Terrence Brooks,,,,,,,,,,,,,,,,Q,Q
Rex Burkhead,,,,Q,O,Q,Q,Q,Q,,,,,,,,
Yodny Cajuste,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Shilique Calhoun,,,Q,,,Q,,,,,,,,,,Q,
Marcus Cannon,,Q,Q,,,,,,,,Q,Q,Q,,,Q,
Patrick Chung,,,,,O,Q,Q,Q,Q,Q,Q,Q,Q,,,,
Jamie Collins,,,,,,,,,,,,Q,,,Q,Q,Q
Byron Cowart,,,,,,,,,,,,Q,Q,Q,,,
Keionta Davis,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
James Develin,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Phillip Dorsett,,,,,,O,Q,,,,Q,Q,,,,,
Nate Ebner,,,Q,Q,O,Q,,,,Q,Q,Q,,,,,
Julian Edelman,,,,Q,Q,Q,Q,Q,Q,,Q,Q,Q,Q,Q,Q,Q
Jermaine Eluemunor,,,,,,,,,,,,Q,,,,,
Hjalte Froholdt,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Malik Gant,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Stephon Gilmore,,,,,,,,,,,,Q,,,,,
Josh Gordon,,,,,,Q,O,IR,IR,,,,,,,,
Stephen Gostkowski,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Damien Harris,,,,,,,,,,Q,Q,,,,,,
N'Keal Harry,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,
Dont'a Hightower,,,,Q,Q,,,,,,,Q,,,,,
Ryan Izzo,,,Q,,,,O,O,Q,,,O,,,,,
Jakob Johnson,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jonathan Jones,,,,,,,,,,,,,,,O,Q,Q
Ted Karras,,,,,,,,,,,,,Q,Q,,,
Brandon King,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Matt LaCosse,Q,Q,Q,Q,,,O,O,O,Q,,,,,,,
Shaq Mason,,,,,,,,Q,Q,,,,,,,,
Jason McCourty,,,,,,,,,,,Q,Q,Q,Q,Q,Q,Q
Obi Melifonwu,Q,,,,,,,,,,,,,,,,
Cameron Meredith,PUP,PUP,PUP,PUP,PUP,,,,,,,,,,,,
Sony Michel,,,,,,,,,,,,,,,,Q,
Marshall Newhouse,,,,Q,,,,,,,,,,,,,
Gunner Olszewski,,,,,,,Q,Q,Q,Q,IR,IR,IR,IR,IR,IR,IR
Derek Rivers,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
D'Angelo Ross,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mohamed Sanu,,,,,,,,,,,Q,Q,Q,Q,,,
Danny Shelton,,,,,,,,,,Q,,,,Q,,,
John Simon,,,,,,,,,,Q,Q,,,,,,
Matthew Slater,,,,,,,,,,,Q,Q,,,,,
Demaryius Thomas,Q,,,,,,,,,,,,,,,,
Kyle Van Noy,,,,,,,,,,,,Q,,,,,
James White,,,,,,,,,Q,,,,,,,,
Joejuan Williams,,,,,,,,,,,,Q,,,,,
Isaiah Wynn,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,Q,,,,,
