Player,09/13vs. MIA,09/20vs. SEA,09/27vs. LVR,10/05vs. KAN,10/18vs. DEN,10/25vs. SFO,11/01vs. BUF,11/09vs. NYJ,11/15vs. BAL,11/22vs. HOU,11/29vs. ARI,12/06vs. LAC,12/10vs. LAR,12/20vs. MIA,12/28vs. BUF,01/03vs. NYJ
Quincy Adeboyejo,//,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Beau Allen,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
David Andrews,,,O,,,,,,,,,,,,Q,O
Devin Asiasi,,,,,,,,IR,IR,IR,IR,IR,IR,,,
Michael Barnett,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ja'Whaun Bentley,,,,,,,,Q,Q,Q,Q,Q,Q,,Q,Q
Justin Bethel,,,,,,,,,,,,,,,,Q
Brandon Bolden,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tashawn Bower,,,,,,,,,,,Q,,,,Q,IR
Terrence Brooks,,,,,,,,,Q,,,,,,,
Rex Burkhead,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Adam Butler,,Q,Q,Q,Q,Q,,,,Q,Q,Q,Q,Q,Q,Q
Yodny Cajuste,O,,,,,,,,IR,,,,,,,
Shilique Calhoun,,,,,,,Q,Q,IR,IR,IR,IR,IR,IR,Q,Q
Marcus Cannon,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Joe Cardona,,,,,,,,,,,,,,,Q,Q
Patrick Chung,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brandon Copeland,,Q,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Byron Cowart,,,,,C19,C19,,,,,Q,Q,Q,Q,Q,Q
Carl Davis,,,,,,O,O,Q,,,IR,IR,IR,IR,IR,IR
Cody Davis,,,,O,IR,IR,IR,Q,Q,,,,,,,
Kyle Dugger,,,Q,,,Q,Q,Q,Q,,Q,Q,Q,,,
Julian Edelman,,Q,Q,Q,Q,Q,IR,IR,IR,IR,IR,C19,C19,IR,IR,IR
Jermaine Eluemunor,,,,,,IR,IR,IR,IR,,,,,Q,Q,Q
James Ferentz,,,,,C19,C19,C19,,,,,,,,,
Nick Folk,,,,,,,,Q,Q,Q,Q,Q,Q,Q,Q,Q
Stephon Gilmore,,,,,,,Q,Q,Q,Q,Q,,,,IR,IR
Lawrence Guy,,,,,,,Q,Q,Q,Q,,,Q,Q,Q,Q
Terez Hall,,,,,,,,,,Q,,,,,,Q
Damien Harris,IR,IR,IR,IR,,,Q,Q,Q,Q,,,,Q,Q,IR
N'Keal Harry,Q,Q,Q,,,,O,O,Q,Q,Q,,,,,
Justin Herron,,,,,,,Q,IR,IR,IR,IR,,,Q,Q,Q
Dont'a Hightower,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ryan Izzo,,,,,,,,Q,Q,Q,Q,Q,Q,IR,IR,IR
J.C. Jackson,,,,,,,Q,Q,,,,Q,Q,Q,Q,Q
Anfernee Jennings,,,,,,,,,,,,,,,Q,Q
Jakob Johnson,,,,,,,,,,,,Q,Q,,,
Jonathan Jones,Q,,,,,,,,Q,,,,Q,Q,Q,
Dalton Keene,Q,Q,,,,,Q,Q,IR,IR,IR,IR,,,,
Brandon King,,,,,,,,,PUP,,,,,,,
Matt LaCosse,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Marqise Lee,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Cassh Maluia,Q,,,,,,,,,,,,,,,
Shaq Mason,,,,Q,C19,C19,Q,Q,Q,Q,Q,Q,Q,Q,Q,O
Devin McCourty,,,,,,,,,,,,,,,,Q
Sony Michel,,,,Q,IR,C19,C19,IR,IR,IR,,,,,,
Donte Moncrief,,,,,,,,,,,,,,Q,Q,Q
Cam Newton,,,,,,,,,,,,Q,Q,,,
Gunner Olszewski,O,IR,IR,IR,,,,,,,,,,,,
Derek Rivers,,,,,,Q,,,,,,,,,,
John Simon,,,,,,,Q,Q,Q,Q,,,,,Q,
Matthew Slater,,Q,,,,,,,,Q,Q,Q,Q,Q,Q,Q
J.J. Taylor,,,,,,,,O,,O,Q,Q,Q,Q,Q,
Jordan Thomas,,,,,,,,,,,,,,,O,C19
Joe Thuney,,,,,,,Q,Q,Q,Q,,,,,,
Najee Toran,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Josh Uche,,O,IR,IR,IR,IR,IR,,,,,,,,,IR
Danny Vitale,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
James White,,,O,,,,,,,,,,,Q,,
Chase Winovich,Q,,,,,,,,,,,,,,,
Deatrich Wise Jr.,,,,,,,,Q,Q,Q,,,,,,
Dustin Woodard,IR,IR,IR,IR,IR,IR,,,,,,,,,,
Isaiah Wynn,,,Q,Q,Q,,,Q,Q,Q,O,IR,IR,IR,IR,IR
