,G#,Opp,Spread,Over/Under,Result,vs. Line,OU Result,Year
0,1,@TAM,2.0,0.0,"W, 19-13",Won,Over,1978
1,2,DAL,11.0,0.0,"L, 24-34",Won,Over,1978
2,3,KAN,-4.5,0.0,"W, 26-10",Won,Over,1978
3,4,SFO,-4.5,0.0,"W, 27-10",Won,Over,1978
4,5,@ATL,-3.0,0.0,"L, 20-23",Lost,Over,1978
5,6,@DAL,11.0,0.0,"L, 3-24",Lost,Over,1978
6,7,TAM,-4.5,0.0,"W, 17-14",Lost,Over,1978
7,8,WAS,4.0,0.0,"W, 17-6",Won,Over,1978
8,9,@NOR,2.0,0.0,"L, 17-28",Lost,Over,1978
9,10,@STL,3.0,0.0,"L, 10-20",Lost,Over,1978
10,11,@WAS,7.5,0.0,"L, 13-16",Won,Over,1978
11,12,PHI,2.0,0.0,"L, 17-19",Push,Over,1978
12,13,@BUF,3.0,0.0,"L, 17-41",Lost,Over,1978
13,14,RAM,7.5,0.0,"L, 17-20",Won,Over,1978
14,15,STL,2.5,0.0,"W, 17-0",Won,Over,1978
15,16,@PHI,6.5,0.0,"L, 3-20",Lost,Over,1978
16,1,@PHI,7.0,31.5,"L, 17-23",Won,Over,1979
17,2,STL,3.0,36.0,"L, 14-27",Lost,Over,1979
18,3,@WAS,6.0,37.0,"L, 0-27",Lost,Under,1979
19,4,PHI,5.0,37.0,"L, 13-17",Won,Under,1979
20,5,@NOR,6.0,39.0,"L, 14-24",Lost,Under,1979
21,6,TAM,6.0,34.0,"W, 17-14",Won,Under,1979
22,7,SFO,-4.0,38.0,"W, 32-16",Won,Over,1979
23,8,@KAN,6.0,36.0,"W, 21-17",Won,Over,1979
24,9,@RAM,6.0,37.0,"W, 20-14",Won,Under,1979
25,10,DAL,8.0,38.0,"L, 14-16",Won,Under,1979
26,11,ATL,-2.0,36.0,"W, 24-3",Won,Under,1979
27,12,@TAM,3.0,34.0,"L, 3-31",Lost,Push,1979
28,13,WAS,3.0,36.0,"W, 14-6",Won,Under,1979
29,14,@DAL,11.0,38.0,"L, 7-28",Lost,Under,1979
30,15,@STL,2.0,36.0,"L, 20-29",Lost,Over,1979
31,16,BAL,-6.0,37.0,"L, 7-31",Lost,Over,1979
32,1,@STL,7.0,42.0,"W, 41-35",Won,Over,1980
33,2,WAS,4.0,38.0,"L, 21-23",Won,Over,1980
34,3,@PHI,10.0,40.0,"L, 3-35",Lost,Under,1980
35,4,RAM,5.0,42.0,"L, 7-28",Lost,Under,1980
36,5,@DAL,12.0,42.0,"L, 3-24",Lost,Under,1980
37,6,PHI,8.0,41.0,"L, 16-31",Lost,Over,1980
38,7,@SDG,15.0,47.0,"L, 7-44",Lost,Over,1980
39,8,DEN,6.0,40.0,"L, 9-14",Won,Under,1980
40,9,@TAM,7.0,39.0,"L, 13-30",Lost,Over,1980
41,10,DAL,10.0,44.0,"W, 38-35",Won,Over,1980
42,11,GNB,2.0,41.0,"W, 27-21",Won,Over,1980
43,12,@SFO,3.0,47.0,"L, 0-12",Lost,Under,1980
44,13,STL,2.0,43.0,"L, 7-23",Lost,Under,1980
45,14,@SEA,7.0,43.0,"W, 27-21",Won,Over,1980
46,15,@WAS,7.0,39.0,"L, 13-16",Won,Under,1980
47,16,OAK,8.0,42.0,"L, 17-33",Lost,Over,1980
48,1,PHI,6.0,38.0,"L, 10-24",Lost,Under,1981
49,2,@WAS,6.0,37.0,"W, 17-7",Won,Under,1981
50,3,NOR,-3.0,36.0,"W, 20-7",Won,Under,1981
51,4,@DAL,11.0,40.0,"L, 10-18",Won,Under,1981
52,5,GNB,-3.0,37.0,"L, 14-27",Lost,Over,1981
53,6,STL,-1.0,38.0,"W, 34-14",Won,Over,1981
54,7,@SEA,1.0,40.0,"W, 32-0",Won,Under,1981
55,8,@ATL,8.0,43.0,"W, 27-24",Won,Over,1981
56,9,NYJ,-2.0,43.0,"L, 7-26",Lost,Under,1981
57,10,@GNB,3.0,38.0,"L, 24-26",Won,Over,1981
58,11,WAS,-2.0,43.0,"L, 27-30",Lost,Over,1981
59,12,@PHI,10.0,38.0,"W, 20-10",Won,Under,1981
60,13,@SFO,5.0,39.0,"L, 10-17",Lost,Under,1981
61,14,RAM,-3.5,39.0,"W, 10-7",Lost,Under,1981
62,15,@STL,4.0,41.0,"W, 20-10",Won,Under,1981
63,16,DAL,3.0,36.0,"W, 13-10",Won,Under,1981
64,17,@PHI,7.0,31.5,"W, 27-21",Won,Over,1981
65,18,@SFO,6.0,38.0,"L, 24-38",Lost,Over,1981
66,1,ATL,-1.5,37.0,"L, 14-16",Lost,Under,1982
67,2,GNB,-2.5,41.0,"L, 19-27",Lost,Over,1982
68,3,WAS,0.0,35.0,"L, 17-27",Lost,Over,1982
69,4,@DET,4.0,36.0,"W, 13-6",Won,Under,1982
70,5,HOU,-7.0,35.0,"W, 17-14",Lost,Under,1982
71,6,PHI,-2.0,37.0,"W, 23-7",Won,Under,1982
72,7,@WAS,3.5,36.0,"L, 14-15",Won,Under,1982
73,8,@STL,1.0,34.0,"L, 21-24",Lost,Over,1982
74,9,@PHI,4.0,36.0,"W, 26-24",Won,Over,1982
75,1,RAM,-4.0,38.5,"L, 6-16",Lost,Under,1983
76,2,@ATL,3.5,36.0,"W, 16-13",Won,Under,1983
77,3,@DAL,8.0,37.5,"L, 13-28",Lost,Over,1983
78,4,GNB,-2.5,42.0,"W, 27-3",Won,Under,1983
79,5,SDG,-1.0,42.5,"L, 34-41",Lost,Over,1983
80,6,PHI,-2.0,37.5,"L, 13-17",Lost,Under,1983
81,7,@KAN,2.0,37.5,"L, 17-38",Lost,Over,1983
82,8,@STL,2.0,44.0,"T, 20-20",Won,Under,1983
83,9,DAL,7.0,43.5,"L, 20-38",Lost,Over,1983
84,10,@DET,5.0,44.0,"L, 9-15",Lost,Under,1983
