Player,09/13vs. WAS,09/20vs. DAL,09/27vs. TAM,10/04vs. KAN,10/11vs. OAK,10/18vs. NOR,10/25vs. ARI,11/01vs. PHI,11/08vs. SDG,11/22vs. ATL,11/26vs. DEN,12/06vs. DAL,12/13vs. PHI,12/21vs. WAS,12/27vs. CAR,01/03vs. MIN
Jay Alford,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Travis Beckum,,,,,,,,,,,,O,P,,,
Chase Blackburn,,,,,,,,,,,,,,,P,
Michael Boley,,P,,,O,O,O,D,P,,,P,,,P,
Kevin Boss,,,,,D,P,,,P,,,,,,,
Ahmad Bradshaw,,,,P,P,P,P,P,P,P,D,P,Q,P,P,P
Andre Brown,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
C.C. Brown,,,,,,P,,,,,,,,,P,
Chris Canty,,O,O,O,O,O,D,O,P,,,,,,,O
Kevin Dockery,O,O,O,P,,,,,,,,,,,P,
Jonathan Goff,,,,,,,,,,,,,,,P,
Derek Hagan,,,,,,,,,,,,P,,,,
Domenik Hixon,,,O,O,P,,,,,,,,,,,
Brandon Jacobs,,,,,,Q,,,,,P,,,,,IR
Darcy Johnson,,,,,,,,,,,,,,,IR,IR
Michael Johnson,,P,,,,,,,,,,O,Q,,,
Bryan Kehl,,,,,O,P,,,,,,,,,,
Adam Koets,D,D,O,O,,,,,,,,,,,,
Eli Manning,,,,,P,P,P,,,P,P,P,P,P,P,P
Mario Manningham,,,P,,,,P,O,P,,,,,Q,,O
Kareem McKenzie,,,,P,,,O,P,,,,,,D,D,O
Sinorice Moss,,,,,,,,,O,,,,,,,
Hakeem Nicks,,O,O,P,,,,,,,,,,,P,P
Kenny Phillips,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Antonio Pierce,,,,,,,P,P,,O,O,IR,IR,IR,IR,IR
Fred Robbins,,,,,,,,,,,,,,,,P
Aaron Ross,D,O,O,O,O,O,O,O,D,P,P,,,Q,D,IR
Rich Seubert,,,,P,P,P,P,,,,,,,,D,O
Clint Sintim,D,O,O,O,P,,,,,,,,,,,
Chris Snee,,,,,,,,,,,,,Q,,,
Dave Tollefson,,,,,P,,,,,,,,,,,
Justin Tuck,,,D,P,P,,,,,,,,,,,P
Lawrence Tynes,,,,,,,,,,,,,,,P,
Danny Ware,,O,O,O,O,O,P,,,,,O,P,,,
Corey Webster,,,,,,,,,,,,,,D,D,O
Gerris Wilkinson,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
