Player,09/12vs. CAR,09/19vs. IND,09/26vs. TEN,10/03vs. CHI,10/10vs. HOU,10/17vs. DET,10/25vs. DAL,11/07vs. SEA,11/14vs. DAL,11/21vs. PHI,11/28vs. JAX,12/05vs. WAS,12/13vs. MIN,12/19vs. PHI,12/26vs. GNB,01/02vs. WAS
Shawn Andrews,,,,,,,,,,Q,D,O,O,P,P,
Ramses Barden,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Will Beatty,,O,O,O,O,O,O,O,D,,,,,,,
Rocky Bernard,,,,O,,,,,,,,,,,,
Chase Blackburn,P,D,O,P,,,,,,,,,,,,
Will Blackmon,,,,,,,,,,,O,O,P,,O,IR
Kevin Boothe,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,,
Kevin Boss,,O,P,,,,,,,P,,,,,,
Ahmad Bradshaw,,,,,P,,,,,,,,P,,,P
Keith Bulluck,,,,D,O,O,P,,,,,,,,,
Chris Canty,P,,,,,,,,,,,,,,,Q
Victor Cruz,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
David Diehl,,,,,,P,,,O,O,O,D,P,,P,
Phillip Dillard,O,O,O,O,,,,,,,,,,,,
Jonathan Goff,,,,,,,,,P,,,,,,,
Madison Hedgecock,,,,,O,O,O,O,O,O,IR,IR,IR,IR,IR,IR
Domenik Hixon,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brian Jackson,,,,,,O,P,,,,,P,P,,,Q
Brandon Jacobs,,,,,,,,,P,,,,,,,
Bruce Johnson,,P,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Michael Johnson,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mathias Kiwanuka,,,,O,O,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR
Adam Koets,,,,,P,,,,IR,IR,IR,IR,IR,IR,IR,IR
Mario Manningham,,,P,P,,,,,,,,,,P,P,
Kareem McKenzie,,,,,,,,P,,,,,,,,
Sinorice Moss,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Hakeem Nicks,,P,,,,,P,,,,O,O,Q,,,D
Shaun O'Hara,Q,P,D,O,O,P,,D,O,O,O,O,D,P,P,O
Kenny Phillips,,P,,,P,P,,,,,,,,,,
Darius Reynaud,,,,P,,,,O,O,P,Q,,,,,
Antrel Rolle,,,,,,,,,,,,,,,,P
Aaron Ross,D,P,P,,,,,,,,P,P,,P,,
Clint Sintim,,,,,,,,,,,,,,IR,IR,IR
Steve Smith,,,,,,,,,O,O,O,D,Q,IR,IR,IR
Chris Snee,,,,,,,,,,,,,,P,,
Jim Sorgi,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Devin Thomas,,,,,,,,,,,,,,,P,
Terrell Thomas,,,,,P,,,,,,,,,,,
Dave Tollefson,,,,,,,,P,,,,,,,O,D
Adrian Tracy,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Justin Tuck,,,P,,,,P,,,,P,,,,,P
Lawrence Tynes,,,,,,O,P,,,,,,,,,
Osi Umenyiora,,P,,P,P,P,P,P,P,P,P,P,P,P,P,P
Danny Ware,,,,,,O,P,,,,,,,,,
Corey Webster,P,,,,,,,,,P,,,,,,O
Gerris Wilkinson,O,P,,,,,,O,O,P,P,,,,,
