Player,09/11vs. WAS,09/19vs. STL,09/25vs. PHI,10/02vs. ARI,10/09vs. SEA,10/16vs. BUF,10/30vs. MIA,11/06vs. NWE,11/13vs. SFO,11/20vs. PHI,11/28vs. NOR,12/04vs. GNB,12/11vs. DAL,12/18vs. WAS,12/24vs. NYJ,01/01vs. DAL,01/08vs. ATL,01/15vs. GNB,01/22vs. SFO,02/05vs. NWE
Prince Amukamara,O,O,O,O,O,O,O,O,O,P,,,P,,,,,,,
Stacy Andrews,,,,,,,O,O,P,,,O,IR,IR,IR,IR,IR,IR,IR,IR
Marvin Austin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
David Baas,,,P,,O,P,,D,P,,,O,Q,O,P,,,,P,
Jake Ballard,,,,,,,,,,,Q,,,,O,D,P,,P,
Ramses Barden,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,,,,,,,
Will Beatty,,,,,,,,,,P,O,IR,IR,IR,IR,IR,IR,IR,IR,IR
Travis Beckum,O,D,P,,,,,,,,,,,O,P,,,,,
Rocky Bernard,,,,,P,,,,,,,,,,,,,,,
Michael Boley,,,,,P,P,P,P,,D,D,P,P,,,,,,,
Ahmad Bradshaw,,,,,,,,D,O,D,D,D,P,P,P,P,P,P,P,P
Chris Canty,,,,,,,,,P,,,,,,,,,,,
Michael Clayton,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Michael Coe,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Victor Cruz,,,,,,,,,,,,P,,,,,,P,,
Zak DeOssie,,,,P,,P,,,,,,,,,,,,,,
Jonathan Goff,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Deon Grant,,,,,,,,,,,,,,,,,,P,,
Mark Herzlich,,,,,,,,,,,,O,O,O,O,O,O,O,O,
Domenik Hixon,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Henry Hynoski,,,,,,O,D,O,O,,,,,,,,,,,
Brian Jackson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brandon Jacobs,,,,,D,O,P,,,,,,P,,,,,,,
Jerrel Jernigan,,,,,,,,,O,O,Q,,,,,,,,,
Jimmy Kennedy,,,P,,,,,,,,,,,,,,,,,
Adam Koets,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP
Eli Manning,,,,,,,,,,,,,,,,,,,P,
Mario Manningham,,,D,P,,,,P,P,P,O,D,P,,D,P,,,,
Derrick Martin,,,,,,,,,,,O,P,,O,P,,,,,
Kareem McKenzie,,,,,,,,,,,P,,,,,,,,,
Hakeem Nicks,,P,,P,,,,D,P,,,P,,,,P,,,P,P
Bear Pascoe,,,,,,,,P,,,,,,,P,,,,,
Spencer Paysinger,,,,,,,,,,,,,O,P,,,,,,
Kenny Phillips,,,,,,,,,,,,,D,P,,,,,,
Jason Pierre-Paul,,,,,,,,P,,,,,,,,,,,,
Antrel Rolle,,,,,,,,,P,,,P,,,,,,,,
Sage Rosenfels,IR,IR,IR,IR,,,,,,,,,,,,,,,,
Aaron Ross,,,,,,,,,,P,,,,,,,,P,,
Tyler Sash,,,,,,,,,,,,,,,,,,,,P
Da'Rel Scott,,,,,,,,,,,,,,,,,O,O,,
Clint Sintim,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Snee,,,,,,O,P,,,,,,,,,,,,,
Brandon Stokley,,,,O,,,,,,,,,,,,,,,,
Devin Thomas,,,,,,,,,,,,,,,P,,,,,
Terrell Thomas,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Dave Tollefson,,,,,,,,,,,,,P,,,,,,,
Justin Tryon,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Justin Tuck,O,P,,O,D,O,P,P,,P,P,P,,P,,,P,,P,
Tony Ugoh,,,,,,,,,,,,,,,,,P,,,
Osi Umenyiora,O,D,O,P,P,P,P,P,P,P,P,O,O,O,D,P,P,P,P,P
Danny Ware,,,,,,,,,,,P,,,,P,,,P,,
Corey Webster,,,,,,,,,,,,,,,,,P,P,P,P
Jacquian Williams,,,,,,,,,,,,,,,,,,,,P
