Player,09/05vs. DAL,09/16vs. TAM,09/20vs. CAR,09/30vs. PHI,10/07vs. CLE,10/14vs. SFO,10/21vs. WAS,10/28vs. DAL,11/04vs. PIT,11/11vs. CIN,11/25vs. GNB,12/03vs. WAS,12/09vs. NOR,12/16vs. ATL,12/23vs. BAL,12/30vs. PHI
Prince Amukamara,O,Q,P,,,,,,,,,,,O,P,D
Marvin Austin,O,P,Q,,,,,,,,,,,,Q,
David Baas,,P,,,P,,,P,P,P,P,P,P,P,Q,P
Ramses Barden,,,,,D,P,,,,,,,,,,
Will Beatty,Q,,,,,,,,,,,,,,,
Travis Beckum,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,O,O,P,,IR
Martellus Bennett,,,,,,P,,,,,,,,,,
Rocky Bernard,,,,,O,Q,O,O,P,,,,,,,
Chase Blackburn,,,,,,P,,,O,P,,,P,,,
Michael Boley,P,,,,Q,P,Q,,,,,,P,Q,,
Ahmad Bradshaw,P,,D,P,,,Q,P,P,P,P,P,P,O,Q,P
James Brewer,O,P,Q,,,,,,,,,,,,,
Andre Brown,,,,,Q,O,P,,Q,P,,IR,IR,IR,IR,IR
Chris Canty,PUP,PUP,PUP,PUP,PUP,PUP,,,,P,,,,,,D
Michael Coe,,P,Q,Q,P,,,,,O,IR,,,,,
Victor Cruz,,,,,,,,,P,,,,,,,
David Diehl,,,O,O,D,Q,,,,,,Q,,,,
Will Hill,,,,,,,,,,P,,,,,,
Domenik Hixon,,,D,P,,,,,,Q,O,Q,P,,,
Jayron Hosley,P,,,O,O,P,,,,,,P,,,,D
Bruce Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Linval Joseph,,,,,,,,,,,P,,,,,
Mathias Kiwanuka,Q,,,,,,,,,,,,,,,
Markus Kuhn,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Sean Locklear,,,,,,,,,,,,,IR,IR,IR,IR
Brandon Mosley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Hakeem Nicks,P,P,O,D,O,Q,P,P,P,P,,,P,P,P,P
Adewale Ojomo,,O,O,P,,,,,,,,,,,,
Martin Parker,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Bear Pascoe,,,,,,,,D,Q,P,,,,,,
Kenny Phillips,,,,,O,O,O,O,P,O,Q,D,D,O,P,Q
Jason Pierre-Paul,,,,,,,,,,,,Q,P,P,,
Rueben Randle,,,,,,,,,,,,,,,P,
Keith Rivers,,D,P,O,D,P,,,D,Q,Q,,,,,
Shaun Rogers,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Antrel Rolle,,,,P,Q,P,,,P,,,P,,,,
Tyler Sash,,,,,O,,,,,,P,,O,O,Q,P
Da'Rel Scott,Q,P,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Snee,,,,,Q,,,,,,P,,,Q,Q,P
Terrell Thomas,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Adrian Tracy,Q,,,,,,,,,,,,,,,
Justin Trattou,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Justin Tuck,,,,,,,,,,,,P,,,Q,Q
Osi Umenyiora,,,,,,,,,,,,,,,Q,
Corey Webster,,Q,P,P,Q,Q,P,,,,,,,,,
Jacquian Williams,,,,,,,D,O,O,O,Q,D,P,,,
