Player,09/08vs. DAL,09/15vs. DEN,09/22vs. CAR,09/29vs. KAN,10/06vs. PHI,10/10vs. CHI,10/21vs. MIN,10/27vs. PHI,11/10vs. OAK,11/17vs. GNB,11/24vs. DAL,12/01vs. WAS,12/08vs. SDG,12/15vs. SEA,12/22vs. DET,12/29vs. WAS
Prince Amukamara,,D,,,,,,,,,,,,,,
David Baas,O,P,,O,O,O,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ramses Barden,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Will Beatty,,,,,,,,,,,,,,,,
James Brewer,,,,,,,,,,,,,,,Q,
Andre Brown,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,P
Stevie Brown,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Selvish Capers,IR,,,,,,,,,,,,,,,
John Conner,,,,,,,,,,,P,,,,,
Dan Connor,Q,O,O,O,O,O,O,O,O,O,,,,,,
Jim Cordle,,,,,,,,,,,Q,IR,IR,IR,IR,IR
Victor Cruz,P,,,,,,,,P,,,,,,O,O
Zak DeOssie,,,,,,P,,,,,,,,,,
David Diehl,O,O,O,O,P,,,,,,,,,,Q,P
Mark Herzlich,,,,,P,P,,,,,,,,,,
Will Hill,,,,,P,,,,,,,,,,,
Peyton Hillis,,,,,,,,,,,,,,,D,P
Jayron Hosley,P,,,,O,O,Q,Q,Q,,,,,,,P
Henry Hynoski,P,,Q,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brandon Jacobs,,,,,,,Q,D,D,Q,P,O,D,IR,IR,IR
Cullen Jenkins,,,,,D,,,,,,,,,P,Q,P
Jerrel Jernigan,,,,,,,,,,,,,,,P,
Linval Joseph,,,,,O,,,,,,,,,,,
Mathias Kiwanuka,,,,,Q,,,,,,,,,,,
Markus Kuhn,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,
Eli Manning,,,,,,,,,,,,,,,,Q
Trumaine McBride,,,,,,,,,Q,,P,O,Q,,Q,D
Damontre Moore,Q,Q,,,,D,,,,,,,,,,
Brandon Mosley,,,P,Q,,,,,,,,,,,,O
Ryan Mundy,,,,,,,,,,,,,,,,
Louis Murphy,,,,,,Q,,,,,,,,,,
Brandon Myers,,,,,,Q,,,,,,,P,,,
Ryan Nassib,,,P,Q,,,,,,,,,,,,
Hakeem Nicks,,,,,,,,,,,P,P,,,,
Bear Pascoe,,,,,,,,,,P,,,,,,
Spencer Paysinger,,,,P,,,,Q,,,,,,,,
Jason Pierre-Paul,Q,,,,P,,Q,,,P,P,O,O,O,O,O
Rueben Randle,,,,,,,,,,,,,,,,Q
Adrien Robinson,O,O,O,O,Q,O,Q,Q,P,,,,,,,D
Shaun Rogers,,,,,P,,,D,IR,IR,IR,IR,IR,IR,IR,IR
Antrel Rolle,,Q,,,,,,,,,,,,,,
Aaron Ross,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Da'Rel Scott,,P,,,,,,,,,,,,,,
Laron Scott,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Snee,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Cooper Taylor,,,,Q,P,Q,Q,P,,,,,,O,Q,IR
Terrell Thomas,,,,P,P,P,P,Q,P,P,,P,P,P,Q,P
Justin Trattou,,,,P,,,,,,,,,,,,
Justin Tuck,,,,,Q,,,,,,,,,,,
Corey Webster,,,O,O,D,O,P,Q,O,O,O,O,O,O,IR,IR
Jacquian Williams,,,,Q,P,,,,,,,,,,,
David Wilson,,,,,,O,O,O,IR,IR,IR,IR,IR,IR,IR,IR
