Player,09/08vs. DET,09/14vs. ARI,09/21vs. HOU,09/25vs. WAS,10/05vs. ATL,10/12vs. PHI,10/19vs. DAL,11/03vs. IND,11/09vs. SEA,11/16vs. SFO,11/23vs. DAL,11/30vs. JAX,12/07vs. TEN,12/14vs. WAS,12/21vs. STL,12/28vs. PHI
Prince Amukamara,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Robert Ayers,,,,,,Q,,,,,,,IR,IR,IR,IR
Jon Beason,P,P,O,D,O,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Odell Beckham Jr.,O,O,O,O,,,,,,,,P,,,,
Nat Berhe,,,,,,,,,,P,,,,,,
Zackary Bowman,,,,Q,,,,,Q,,,,,,,
James Brewer,O,O,O,O,,,,,,,,,D,O,IR,IR
Charles Brown,O,O,O,O,,,,,,,,,,,,
Michael Cox,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Victor Cruz,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Daniel Fells,,,,,,,,,,P,,,,,,
Marcus Harris,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Paul Hazel,,,,,,,,,,,,,,,,P
Eric Herman,S,S,P,,,,,,,,,,,,,
Mark Herzlich,,,,,,,,,,,,,D,P,,
Peyton Hillis,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Trindon Holliday,IR,IR,IR,IR,IR,,,,,,,,,,,
Jayron Hosley,S,S,S,S,P,,,,,,,,,,,
Cullen Jenkins,,P,,,,,,D,Q,O,O,O,P,,,
Rashad Jennings,,,,,,D,O,O,D,P,,,D,,D,P
Jerrel Jernigan,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Devon Kennard,,O,O,O,Q,,,,,,,,,,,O
Mathias Kiwanuka,,,,,,,,,Q,P,P,O,IR,IR,IR,IR
Troy Kropog,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Markus Kuhn,O,O,P,,,,,,,,,,,,,
Eli Manning,,,,,,,,,,,,,,P,,
Terrell Manning,,,,,,,,,,,,,IR,IR,IR,IR
Mario Manningham,IR,IR,IR,IR,,,,,,,,,,,,
Trumaine McBride,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jameel McClain,,,,,,,,,,,,Q,P,P,P,P
Damontre Moore,,,,,,,,,,P,,,,,,
Brandon Mosley,P,,,,,,,,,,,,,,,
Preston Parker,,,,,,,,,Q,,,,P,,,
Spencer Paysinger,,,,,,O,Q,,,,,,,,,
Jason Pierre-Paul,,P,,,,,,P,,,,,,,,
Justin Pugh,,,,,,,,,,,O,O,P,,,
Weston Richburg,,,,,,,,,D,,,,,,,
Dominique Rodgers-Cromartie,,,,,,P,Q,Q,P,,P,P,P,,,
Geoff Schwartz,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,P,Q,IR,IR,IR,IR
Adam Snyder,,,,,,,,,P,,,O,IR,IR,IR,IR
Cooper Taylor,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Walter Thurmond,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Steve Weatherford,,Q,Q,P,P,P,P,P,P,,,,,,,
Andre Williams,,,,,,,,,,,,,,,,P
Jacquian Williams,,,,,,,,,,O,O,O,O,O,IR,IR
David Wilson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
