Player,09/13vs. DAL,09/20vs. ATL,09/24vs. WAS,10/04vs. BUF,10/11vs. SFO,10/19vs. PHI,10/25vs. DAL,11/01vs. NOR,11/08vs. TAM,11/15vs. NWE,11/29vs. WAS,12/06vs. NYJ,12/14vs. MIA,12/20vs. CAR,12/27vs. MIN,01/03vs. PHI
Danny Aiken,,,,,,,,,,,,,,,,IR
Prince Amukamara,,,,,,O,O,O,O,O,P,,,,,
Robert Ayers,,,Q,O,O,Q,P,,,,,P,Q,,,
Jon Beason,O,D,P,,,Q,P,IR,O,IR,IR,IR,IR,IR,IR,IR
Will Beatty,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Odell Beckham Jr.,,,,,,Q,Q,P,,,,,,,,
Nat Berhe,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jay Bromley,,,P,,,,,,,,,,,,,
Jonathan Casillas,P,,,,Q,Q,Q,,,,,,,,,
Victor Cruz,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jerome Cunningham,,,O,O,P,,,,,,,,,,,
Craig Dahl,,,,,,,,,P,,,,,,,O
Orleans Darkwa,,,,P,,,,,P,,,,,,P,
Zak DeOssie,,,,,,,,,,,,,IR,IR,IR,IR
Larry Donnell,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Daniel Fells,,O,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ereck Flowers,,P,D,Q,P,,,,,,,,Q,Q,P,
Josh Gordy,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Johnathan Hankins,,,,,,,P,,,IR,IR,IR,IR,IR,IR,IR
Dwayne Harris,,,,,,,,,,,,,,Q,Q,Q
Mark Herzlich,,,,,,,,,,,,,,,,
Jayron Hosley,,,,,Q,,,,,,,,,,,
Bennett Jackson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Cullen Jenkins,P,,P,,,,,,,,,,,,,
Brett Jones,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Devon Kennard,,,,,O,O,P,,,,,O,O,O,O,
Markus Kuhn,,O,O,O,P,,,,,,,,,IR,O,IR
Trumaine McBride,,,,,Q,Q,Q,,,,,,,,,
Leon McFadden,,,,,,,,,Q,Q,P,,,,,
Brandon McGee,,,,,,,Q,,,,,,,,,
Brandon Meriweather,,,,,,,,,,,,O,Q,,,
Damontre Moore,,,,,,,,,,,P,,,,,
James Morris,,,,,,,,,,,,,,,O,IR
Marshall Newhouse,,,,,,,,,,,,Q,P,,,O
Owamagbe Odighizuwa,P,O,O,P,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jason Pierre-Paul,,,,,,,,,,,,P,,,,Q
Justin Pugh,,,,,,P,,,,P,O,P,,,,
Rueben Randle,,,,,,P,P,,Q,,,,,,,
Weston Richburg,,,,,,,,,,,D,Q,,,,
Dominique Rodgers-Cromartie,,,O,P,,,,,,,,,,,,
Geoff Schwartz,,,P,,,,,P,P,P,P,IR,IR,IR,IR,IR
George Selvie,,,,,O,P,,,,,,,,O,P,
Cooper Taylor,,,,,,,,,,,,,,,O,O
J.T. Thomas,,,,,,,,O,O,O,Q,,,Q,,IR
Mykkele Thompson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Trevin Wade,,,,,,,P,,,,,,,,,
Nikita Whitlock,,,,,,,,,,,,P,,,IR,IR
