Player,09/11vs. DAL,09/18vs. NOR,09/25vs. WAS,10/03vs. MIN,10/09vs. GNB,10/16vs. BAL,10/23vs. LAR,11/06vs. PHI,11/14vs. CIN,11/20vs. CHI,11/27vs. CLE,12/04vs. PIT,12/11vs. DAL,12/18vs. DET,12/22vs. PHI,01/01vs. WAS,01/08vs. GNB
Andrew Adams,,,,,,,,,Q,,,,,,,,
Jerell Adams,,,,,,,,,,,,,,,,Q,
Eli Apple,,,,D,Q,Q,,,,,,,,,,,
Nat Berhe,,,,O,O,O,O,Q,,,,O,O,Q,O,O,
Jonathan Casillas,,,,,,,,,Q,,,,,,Q,,
Victor Cruz,,,,,,,,,Q,,,,,,,,
Orleans Darkwa,,,,,,,,,,Q,Q,IR,IR,IR,IR,IR,IR
Zak DeOssie,,,,,,,Q,,,,,,,,,,
Larry Donnell,,,,,O,,,,,,,,,,,,
Adam Gettis,,,,,,,,,,Q,Q,,,,,,
B.J. Goodson,,,,,,,,,,,,,,,,Q,
Dwayne Harris,,,,,,Q,,,,,,,Q,,,,
Mark Herzlich,,,,,,,,,,,,O,O,,,,
Janoris Jenkins,,,,,,,,,,,,,,,Q,Q,
Rashad Jennings,,,,Q,Q,Q,,,,,,,,,,,
Will Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brett Jones,,,,,,,,,,O,O,Q,,,,,
Devon Kennard,,,,,,Q,,,,,,,,,,,
Matt LaCosse,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Roger Lewis,,,,,,,,,,,Q,,,,,,
Ryan Nassib,,,,,,,,,,,,,,,IR,IR,IR
Owamagbe Odighizuwa,,,,,,,,,,,,O,Q,,,,D
Jason Pierre-Paul,,Q,,,,Q,,,,,Q,,O,O,O,O,O
Justin Pugh,,,,,,,,,O,O,O,O,Q,,,,
Bobby Rainey,,,,,,,,Q,,,,,,,,,
Keenan Robinson,,,,,,,,,,,,,,Q,,,
Jake Rodgers,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Dominique Rodgers-Cromartie,,,,Q,Q,Q,,,,,,,,,,,
Byron Stingily,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
J.T. Thomas,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Robert Thomas,O,O,O,O,,,,,,,,,,,,,
Darian Thompson,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mykkele Thompson,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Shane Vereen,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,IR,IR,IR
Nikita Whitlock,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kerry Wynn,,,,,,,,O,Q,,,,,,,,
