Player,09/10vs. DAL,09/18vs. DET,09/24vs. PHI,10/01vs. TAM,10/08vs. LAC,10/15vs. DEN,10/22vs. SEA,11/05vs. LAR,11/12vs. SFO,11/19vs. KAN,11/23vs. WAS,12/03vs. OAK,12/10vs. DAL,12/17vs. PHI,12/24vs. ARI,12/31vs. WAS
Eli Apple,,,,,,,,,,,,Q,Q,,,
Josh Banks,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Odell Beckham Jr.,Q,Q,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Nat Berhe,,,,,,,,,,,,,,O,Q,
Corbin Bryant,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Nordly Capi,,,,,,,,IR,IR,IR,IR,IR,,,,
Jonathan Casillas,,,,Q,,O,O,O,Q,,Q,IR,IR,IR,IR,IR
Landon Collins,,,,,,Q,,,,,,,,D,Q,IR
Orleans Darkwa,,,,Q,,,,,,,,,Q,,,
Zak DeOssie,,,,,,,,,,,Q,,,,,
Donte Deayon,,,,,,,,Q,D,,,IR,IR,IR,IR,IR
Brandon Dixon,,,,,,,,,,,,,,Q,,
Shaun Draughn,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Evan Engram,,,,,,,,,,,,,,,,O
Ereck Flowers,,,,,,,,,,,,,,,,Q
D.J. Fluker,,Q,,,,,,,,,IR,IR,IR,IR,IR,IR
Adam Gettis,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
B.J. Goodson,,Q,O,,,,,O,O,O,O,,O,,IR,IR
Curtis Grant,,,,,,,,,,,,IR,IR,IR,IR,IR
Dwayne Harris,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Nigel Harris,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,
Damon Harrison,,,,,,,,,,Q,Q,Q,,,,
Bobby Hart,,,O,,,,,,,,,,,,,Q
Mark Herzlich,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Duke Ihenacho,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Janoris Jenkins,,,Q,,,,,,,,,IR,IR,IR,IR,IR
John Jerry,,,,,Q,,,,,,,,,,,
Keeon Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brett Jones,,,,Q,,,,,,,,,,,,
Devon Kennard,,,,,,,,,O,Q,,,,,,
Tavarres King,,,,,,,,,,,,,,,IR,O
Roger Lewis,,,,,,,,,,,,,,Q,,
Brandon Marshall,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Avery Moss,,,,,Q,,,,,,,,,,,
Calvin Munson,,,,,,,O,,Q,,D,,,,,
Kevin Norwood,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Romeo Okwara,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,
Paul Perkins,,,,,O,O,O,,,,,,,,,
Jason Pierre-Paul,,,,,Q,,,,,,,,Q,,Q,Q
Darius Powe,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR
Justin Pugh,,,,,,,,O,,IR,IR,IR,IR,IR,IR,IR
Weston Richburg,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Keenan Robinson,O,O,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Travis Rudolph,,,,,,,,,,,,,Q,Q,,
Evan Schwan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Sterling Shepard,,,,,,O,Q,,,,Q,,Q,,,O
Kelvin Sheppard,,,,,,,,,,D,Q,,,,,
Deontae Skinner,,,,,,,,,,,,IR,IR,IR,IR,IR
J.T. Thomas,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mykkele Thompson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Andrew Turzilli,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Olivier Vernon,,,,Q,Q,O,O,O,Q,,Q,,,,,
Chad Wheeler,,,,,,,,,,,,,Q,,,
Ishaq Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kerry Wynn,,,,,,,,O,Q,,,,,,,
