Player,09/09vs. JAX,09/16vs. DAL,09/23vs. HOU,09/30vs. NOR,10/07vs. CAR,10/11vs. PHI,10/22vs. ATL,10/28vs. WAS,11/12vs. SFO,11/18vs. TAM,11/25vs. PHI,12/02vs. CHI,12/09vs. WAS,12/16vs. TEN,12/23vs. IND,12/30vs. DAL
Eli Apple,,,O,O,,,,,,,,,,,,
Thurston Armbrister,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR
Ray-Ray Armstrong,,,,,,,IR,,IR,IR,,,,IR,,
Sam Beal,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Odell Beckham Jr.,,,,,,,,,,,,,,O,O,O
Nick Becton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Lorenzo Carter,,,,,,,,,,,,Q,,,,
Kaelin Clay,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Stacy Coley,,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Landon Collins,,,,,,,,,,,,,IR,IR,IR,IR
Jawill Davis,,,,,,,O,O,,,,,,,,IR
Mario Edwards,,,,,,,,,,,,,,,,O
Rhett Ellison,,,,,,Q,,,,,,,,,,O
Evan Engram,,,,O,O,O,,,,,,O,,,,
Nick Gates,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
B.J. Goodson,,,,,,,,,,,,O,Q,,,
Jon Halapio,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Antonio Hamilton,,,,Q,,,,,,,,,,,IR,IR
Quadree Henderson,,,,,,,,,,,,IR,IR,IR,IR,IR
Cody Latimer,,,,O,,,IR,IR,IR,IR,IR,IR,IR,IR,,
R.J. McIntosh,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,
Alec Ogletree,,,,,,,,O,,,,,,,O,O
Patrick Omameh,,,,,,,Q,,,,,,,,,
Paul Perkins,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Spencer Pulley,,,,,,,,,,,,,,,O,
Russell Shepard,,,,,,O,Q,,,,,,,,O,O
Kristjan Sokoli,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jonathan Stewart,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Olivier Vernon,O,O,O,O,O,,,,,,,,,,,
Jordan Williams,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kerry Wynn,,,,,,,,,,,O,,,,Q,
