Player,09/08vs. DAL,09/15vs. BUF,09/22vs. TAM,09/29vs. WAS,10/06vs. MIN,10/10vs. NWE,10/20vs. ARI,10/27vs. DET,11/04vs. DAL,11/10vs. NYJ,11/24vs. CHI,12/01vs. GNB,12/09vs. PHI,12/15vs. MIA,12/22vs. WAS,12/29vs. PHI
Keion Adams,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,
Jonathan Anderson,IR,IR,,,,,,,,,,,,,,
George Asafo-Adjei,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Corey Ballentine,,,,,,,O,O,,,,,O,,,Q
Saquon Barkley,,,,O,O,O,,,,,,,,,,
Sam Beal,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,Q
Lorenzo Carter,,,,,Q,Q,,,,,,,,,,
Corey Coleman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ryan Connelly,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tae Davis,,,,O,O,,,,,,,,,,,
Zak DeOssie,,,,,,,,,,,,IR,IR,IR,IR,IR
Garrett Dickerson,O,O,,,,,,,,,,,,,,
Rhett Ellison,,,,,,,,,,,O,O,O,O,O,O
Evan Engram,,,,,,O,,,,O,O,O,O,O,IR,IR
Amba Etta-Tawo,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Bennie Fowler,,,Q,,,,,,,,,,,,,
Wayne Gallman,,,,,,O,,,,,,,,,,
Brittan Golden,IR,IR,,,,,,,,,,,,,,
Jon Halapio,,,,,,,,,,O,,,,,,
Nate Harvey,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Daniel Jones,,,,,,,,,,,,,O,O,,
Kenny Ladler,IR,,,,,,,,,,,,,,,
Cody Latimer,,Q,O,,,,,,,,,,,,,
Kareem Martin,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Mark McLaurin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Alec Ogletree,,,,O,O,,,,,,,,,,,Q
Chris Peace,,,,,,,,,,,,,IR,IR,IR,IR
Jabrill Peppers,,,,,,,,,,,,O,O,IR,IR,IR
Mike Remmers,,,,,,,,,,D,,,,,,O
Victor Salako,IR,IR,,,,,,,,,,,,,,
Isaiah Searight,IR,IR,IR,IR,IR,,,,IR,IR,IR,IR,IR,IR,IR,IR
Russell Shepard,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Sterling Shepard,,O,,,,O,O,O,,O,,,,,,
Scott Simonson,IR,IR,,,,,,,,,,,,,,IR
Darius Slayton,O,O,,,,,,,,,,,,,,
Rod Smith,IR,IR,,,,,,,,,,,,,,
Golden Tate,,,,,,,,,,,,O,,,,
Henre' Toliver,IR,,,,,,,,,,,,,,,
Alex Wesley,IR,IR,,,,,,,,,,,,,,
Chad Wheeler,IR,IR,,,,,,,,,,,,,,
Ronald Zamort,IR,,,,,,,,,,,,,,,
Kevin Zeitler,,,,,,,,,,,,,,O,,
