,Division Placement,Points For,Points for Per Game,Points For Ranking,Points Against,Points Against Per Game,Points Against Ranking,Expected Wins,Expected Losses,Team Rating SRS,SRS rank,Strength of Schedule
1960,2,382,27.3,1,399,28.5,8,6.6,7.4,-1.06,14,.15
1961,3,301,21.5,5,390,27.9,6,4.9,9.1,-5.56,17,.80
1962,4,278,19.9,7,423,30.2,8,3.8,10.2,-9.06,21,1.30
1963,4,249,17.8,8,399,28.5,7,3.5,10.5,-9.38,20,1.34
1964,3,278,19.9,7,315,22.5,5,6.0,8.0,-2.31,12,.33
1965,2,285,20.4,7,303,21.6,6,6.5,7.5,-1.13,12,.16
1966,3,322,23.0,5,312,22.3,6,7.3,6.7,.69,13,-0.02
1967,2,371,26.5,3,329,23.5,5,8.0,6.0,2.44,9,-0.56
1968,1,419,29.9,2,280,20.0,4,10.1,3.9,7.88,6,-2.05
1969,1,353,25.2,3,269,19.2,3,9.2,4.8,3.97,8,-2.03
1970,3,255,18.2,17,286,20.4,18,6.1,7.9,-4.89,21,-2.67
1971,4,212,15.1,23,299,21.4,19,4.3,9.7,-5.39,23,.83
1972,2,367,26.2,2,324,23.1,19,8.0,6.0,.50,13,-2.57
1973,4,240,17.1,17,306,21.9,17,5.0,9.0,-3.43,17,1.29
1974,4,279,19.9,11,300,21.4,24,6.4,7.6,-2.54,18,-1.04
1975,4,258,18.4,14,433,30.9,26,3.2,10.8,-8.32,23,4.18
1976,4,169,12.1,26,383,27.4,26,1.8,12.2,-13.81,26,1.47
1977,5,191,13.6,22,300,21.4,24,3.6,10.4,-5.85,22,1.93
1978,3,359,22.4,3,364,22.8,27,7.9,8.1,1.08,10,1.39
1979,3,337,21.1,13,383,23.9,25,6.8,9.2,-2.89,21,-0.02
1980,5,302,18.9,18,395,24.7,24,5.5,10.5,-5.12,23,.69
1981,2,355,22.2,9,287,17.9,8,10.0,6.0,1.84,13,-2.41
1982,2,245,27.2,3,166,18.4,10,6.4,2.6,10.52,1,1.75
1983,5,313,19.6,19,331,20.7,10,7.5,8.5,-1.18,17,-0.06
1984,3,332,20.8,15,364,22.8,20,7.1,8.9,-4.51,22,-2.51
1985,2,393,24.6,7,264,16.5,3,11.5,4.5,8.97,2,.91
1986,2,364,22.8,11,386,24.1,22,7.4,8.6,-1.35,19,.02
1987,5,334,22.3,14,360,24.0,20,6.8,8.2,-1.35,17,.39
1988,4,372,23.3,6,354,22.1,21,8.5,7.5,1.39,12,.26
1989,5,253,15.8,26,411,25.7,25,3.8,12.2,-10.09,27,-0.22
1990,4,295,18.4,19,345,21.6,17,6.5,9.5,-4.60,24,-1.47
1991,2,314,19.6,11,293,18.3,10,8.7,7.3,-2.45,19,-3.76
1992,4,220,13.8,25,315,19.7,18,4.8,11.2,-6.86,25,-0.92
1993,3,270,16.9,21,247,15.4,6,8.8,7.2,.81,12,-0.63
1994,5,264,16.5,25,320,20.0,14,6.2,9.8,-2.17,18,1.33
1995,5,233,14.6,30,384,24.0,26,3.7,12.3,-11.18,30,-1.74
1996,5,279,17.4,27,454,28.4,29,3.8,12.2,-10.10,30,.84
1997,3,348,21.8,12,287,17.9,6,9.8,6.2,2.94,9,-0.88
1998,1,416,26.0,5,266,16.6,2,11.9,4.1,11.19,2,1.82
1999,4,308,19.3,19,309,19.3,9,8.0,8.0,3.06,11,3.13
2000,3,321,20.1,17,321,20.1,13,8.0,8.0,3.54,9,3.54
2001,3,308,19.3,17,295,18.4,12,8.4,7.6,.83,13,.02
2002,1,359,22.4,15,336,21.0,14,8.6,7.4,3.17,10,1.73
2003,4,283,17.7,23,299,18.7,8,7.5,8.5,-0.57,17,.43
2004,2,333,20.8,17,261,16.3,4,10.2,5.8,6.55,6,2.05
2005,4,240,15.0,29,355,22.2,23,4.5,11.5,-6.40,27,.79
2006,2,316,19.8,18,295,18.4,6,8.7,7.3,2.03,13,.71
2007,3,268,16.8,25,355,22.2,19,5.4,10.6,-3.69,21,1.74
2008,3,405,25.3,9,356,22.3,18,9.2,6.8,.22,17,-2.84
2009,2,348,21.8,17,236,14.8,1,11.4,4.6,8.58,3,1.58
2010,2,367,22.9,13,304,19.0,6,9.8,6.2,6.47,4,2.53
2011,2,377,23.6,13,363,22.7,20,8.4,7.6,.91,15,.03
2012,3,281,17.6,28,375,23.4,20,5.4,10.6,-5.91,26,-0.04
2013,2,290,18.1,29,387,24.2,19,5.4,10.6,-6.09,26,-0.02
2014,4,283,17.7,28,401,25.1,24,4.9,11.1,-5.04,26,2.33
2015,2,387,24.2,11,314,19.6,9,9.9,6.1,1.53,11,-3.03
2016,4,275,17.2,30,409,25.6,28,4.5,11.5,-8.52,29,-0.14
2017,4,298,18.6,24,382,23.9,22,5.7,10.3,-4.95,25,.30
2018,4,333,20.8,23,441,27.6,29,5.4,10.6,-7.84,29,-1.09
2019,3,276,17.3,31,359,22.4,16,5.6,10.4,-6.31,25,-1.12
2020,4,243,15.2,32,457,28.6,26,2.9,13.1,-11.51,31,1.87
2021,4,20,10.0,31,44,22.0,10,0.3,1.7,4.69,13,16.69
