,G#,Opp,Spread,Over/Under,Result,vs. Line,OU Result,Year
0,1,MIA,4.0,0.0,"W, 33-20",Won,Over,1978
1,2,@BUF,-5.0,0.0,"W, 21-20",Lost,Over,1978
2,3,SEA,-7.0,0.0,"L, 17-24",Lost,Over,1978
3,4,@WAS,6.5,0.0,"L, 3-23",Lost,Over,1978
4,5,PIT,12.5,0.0,"L, 17-28",Won,Over,1978
5,6,BUF,2.5,0.0,"W, 45-14",Won,Over,1978
6,7,@BAL,6.5,0.0,"W, 33-10",Won,Over,1978
7,8,STL,-8.0,0.0,"W, 23-10",Won,Over,1978
8,9,@NWE,9.0,0.0,"L, 21-55",Lost,Over,1978
9,10,@DEN,9.0,0.0,"W, 31-28",Won,Over,1978
10,11,@PHI,4.0,0.0,"L, 9-17",Lost,Over,1978
11,12,NWE,6.0,0.0,"L, 17-19",Won,Over,1978
12,13,@MIA,7.5,0.0,"W, 24-13",Won,Over,1978
13,14,BAL,-7.0,0.0,"W, 24-16",Won,Over,1978
14,15,@CLE,0.0,0.0,"L, 34-37",Lost,Over,1978
15,16,DAL,6.0,0.0,"L, 7-30",Lost,Over,1978
16,1,CLE,-2.0,41.0,"L, 22-25",Lost,Over,1979
17,2,@NWE,8.0,42.0,"L, 3-56",Lost,Over,1979
18,3,DET,-6.0,42.0,"W, 31-10",Won,Under,1979
19,4,@BUF,3.0,42.0,"L, 31-46",Lost,Over,1979
20,5,MIA,4.0,43.0,"W, 33-27",Won,Over,1979
21,6,@BAL,-3.0,42.0,"L, 8-10",Lost,Under,1979
22,7,MIN,-4.0,42.0,"W, 14-7",Won,Under,1979
23,8,OAK,3.0,42.0,"W, 28-19",Won,Over,1979
24,9,@HOU,6.0,42.0,"L, 24-27",Won,Over,1979
25,10,@GNB,-4.0,39.0,"W, 27-22",Won,Over,1979
26,11,BUF,-6.0,42.0,"L, 12-14",Lost,Under,1979
27,12,@CHI,3.0,39.0,"L, 13-23",Lost,Under,1979
28,13,@SEA,6.0,45.0,"L, 7-30",Lost,Under,1979
29,14,BAL,-6.0,38.0,"W, 30-17",Won,Over,1979
30,15,NWE,4.0,44.0,"W, 27-26",Won,Over,1979
31,16,@MIA,6.0,45.0,"W, 27-24",Won,Over,1979
32,1,BAL,-6.0,41.0,"L, 14-17",Lost,Under,1980
33,2,@BUF,0.0,34.0,"L, 10-20",Lost,Under,1980
34,3,SFO,-5.0,39.0,"L, 27-37",Lost,Over,1980
35,4,@BAL,4.0,38.0,"L, 21-35",Lost,Over,1980
36,5,NWE,4.0,49.0,"L, 11-21",Lost,Under,1980
37,6,@ATL,7.0,46.0,"W, 14-7",Won,Under,1980
38,7,SEA,-2.0,38.0,"L, 17-27",Lost,Over,1980
39,8,MIA,-1.0,37.0,"W, 17-14",Won,Under,1980
40,9,@NWE,9.0,43.0,"L, 21-34",Lost,Over,1980
41,10,BUF,4.0,38.0,"L, 24-31",Lost,Over,1980
42,11,@DEN,6.0,40.0,"L, 24-31",Lost,Over,1980
43,12,HOU,6.0,40.0,"W, 31-28",Won,Over,1980
44,13,@RAM,10.0,45.0,"L, 13-38",Lost,Over,1980
45,14,@CLE,9.0,43.0,"L, 14-17",Won,Under,1980
46,15,NOR,-7.0,46.0,"L, 20-21",Lost,Under,1980
47,16,@MIA,6.0,40.0,"W, 24-17",Won,Over,1980
48,1,@BUF,4.0,41.0,"L, 0-31",Lost,Under,1981
49,2,CIN,-3.5,42.0,"L, 30-31",Lost,Over,1981
50,3,@PIT,5.5,43.0,"L, 10-38",Lost,Over,1981
51,4,HOU,3.0,38.0,"W, 33-17",Won,Over,1981
52,5,@MIA,6.0,42.0,"T, 28-28",Won,Over,1981
53,6,NWE,2.5,46.0,"W, 28-24",Won,Over,1981
54,7,BUF,3.0,46.0,"W, 33-14",Won,Over,1981
55,8,SEA,-9.0,45.0,"L, 3-19",Lost,Under,1981
56,9,@NYG,2.0,43.0,"W, 26-7",Won,Under,1981
57,10,@BAL,-3.0,48.0,"W, 41-14",Won,Over,1981
58,11,@NWE,2.5,51.0,"W, 17-6",Won,Under,1981
59,12,MIA,-2.5,45.0,"W, 16-15",Lost,Under,1981
60,13,BAL,-11.0,50.0,"W, 25-0",Won,Under,1981
61,14,@SEA,-9.0,40.0,"L, 23-27",Lost,Over,1981
62,15,@CLE,-2.5,42.0,"W, 14-13",Lost,Under,1981
63,16,GNB,-3.5,39.0,"W, 28-3",Won,Under,1981
64,17,BUF,-3.0,33.0,"L, 27-31",Lost,Over,1981
65,1,MIA,-2.0,37.0,"L, 28-45",Lost,Over,1982
66,2,@NWE,-1.0,46.0,"W, 31-7",Won,Under,1982
67,3,BAL,-8.0,39.0,"W, 37-0",Won,Under,1982
68,4,GNB,-3.5,42.0,"W, 15-13",Lost,Under,1982
