Player,09/13vs. HOU,09/20vs. NWE,09/27vs. TEN,10/04vs. NOR,10/12vs. MIA,10/18vs. BUF,10/25vs. OAK,11/01vs. MIA,11/15vs. JAX,11/22vs. NWE,11/29vs. CAR,12/03vs. BUF,12/13vs. TAM,12/20vs. ATL,12/27vs. IND,01/03vs. CIN,01/09vs. CIN,01/17vs. SDG,01/24vs. IND
Erik Ainge,,Q,,,,,,,,,,,,,,,,O,
Aundrae Allison,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kellen Clemens,P,P,P,,,,,,,,,,,,,,,,
David Clowney,,,,,,,,P,,,,,,,,,,,
Marquice Cole,,,,,,,,,,,,,P,O,P,,,,
Jerricho Cotchery,,,,,Q,D,O,P,,,,,,,,,P,,
Mike DeVito,P,O,Q,,,,,,,,,,,,,,,,
Braylon Edwards,,,,,,,P,,,,,,,,P,,P,,
Shaun Ellis,,,,,,P,,P,P,P,P,P,P,P,P,Q,P,P,P
Alan Faneca,,,,,,,,,,,,,P,,,,,,
D'Brickashaw Ferguson,,,,,,,,,,,,P,,,,,,,
Ryan Fowler,,,,,,,,,,,,,,,,,O,,
Vernon Gholston,,,,,,,,,D,O,P,P,,,,,,,
Howard Green,,,,,,,,,,,,,,,,,,P,
Shonn Greene,O,O,Q,,,,,,,,,,,,,P,,,
David Harris,,,,,,,P,P,,,,,,,,,P,P,P
Wayne Hunter,,,,,,,,,,,,,P,,,,,,
James Ihedigbo,,,,,,,,,,,,,,,,,P,,
Larry Izzo,,,,P,P,P,P,,,,,,IR,IR,IR,IR,IR,IR,IR
Kris Jenkins,,P,P,P,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Thomas Jones,,,,,,,,,,,,,,,,,P,P,
Jim Leonhard,,,P,P,P,P,,,P,,P,P,P,P,P,,,,
Dwight Lowery,,,P,,,,,,,,D,D,O,P,P,,,,
Nick Mangold,,,P,,,,,,,,,,P,P,,,,,
Brandon Moore,,,,,,,,P,,,,,,,,,,,
Calvin Pace,,,,,P,,,,,,,P,P,,,,,,
Sione Pouha,,P,P,P,,,,,,,,,,,,,,,
Darrelle Revis,,,,P,,,,,,,,,,,,Q,,,
Kerry Rhodes,,,,P,Q,P,P,,,,,,,,,,,,P
Tony Richardson,,,,,,,,,,,,,,,,,,,P
Mark Sanchez,,,P,,,,,,,,P,P,O,P,P,P,P,P,P
Bart Scott,,,,,,,,P,,,,,,,,,,P,P
Lito Sheppard,,,O,O,D,P,D,D,P,,,,,,,,,,
Matt Slauson,,,O,O,,,,,,,,,,,,,,,
Brad Smith,,,,,,D,O,O,P,Q,,,,,,,,,
Eric Smith,,,,,,,,,,,,P,,,,,,,
Donald Strickland,,,O,O,O,O,P,P,P,,D,D,P,,,O,O,P,P
Bryan Thomas,P,P,P,,P,,P,P,,P,P,P,,,,,,,
Robert Turner,,,,,,,,,,,P,O,O,O,P,P,,,
Leon Washington,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Steve Weatherford,,,,,,,,,,,,,,,,P,P,,
Jamaal Westerman,,P,O,,,,,,,,,,,,,,,,
Danny Woodhead,,,,,,,,,,,,,,,,,,,P
Damien Woody,,Q,P,P,Q,P,P,P,P,,,,,,,,,,
Wallace Wright,P,P,P,P,,P,P,,P,,,,,,,,,,
