Player,09/13vs. BAL,09/19vs. NWE,09/26vs. MIA,10/03vs. BUF,10/11vs. MIN,10/17vs. DEN,10/31vs. GNB,11/07vs. DET,11/14vs. CLE,11/21vs. HOU,11/25vs. CIN,12/06vs. NWE,12/12vs. MIA,12/19vs. PIT,12/26vs. CHI,01/02vs. BUF,01/08vs. IND,01/16vs. NWE,01/23vs. PIT
Marquice Cole,,,,,,,,,O,O,O,P,,,,,,,
Drew Coleman,,,,,,,,,,,Q,P,,,P,,,P,Q
John Conner,,,,,P,,,,,,,,,,,,,,
Jerricho Cotchery,,,,,,,,,,O,O,P,,,,,,,
Antonio Cromartie,,,,,,,,,,,,,,,P,O,P,P,P
Mike DeVito,,,,,,,,,,,,,,,,,,,P
Shaun Ellis,Q,,,,P,,,,,,P,P,P,,,O,P,,Q
D'Brickashaw Ferguson,,,,,,,,,,,,,P,,,,,,
Shonn Greene,,,,,,,,,P,,,,,,,,,,
David Harris,,,,,,,,P,,,P,P,,,,,,,
Ben Hartsock,,,,,,,,,,,,,,,,,,P,
Santonio Holmes,,,,,P,,,,,,,,,,P,P,P,P,P
Wayne Hunter,,,O,O,P,,,,,,,P,,,,,,,
James Ihedigbo,,,,,,,,,,,P,,D,P,,Q,P,P,Q
Kris Jenkins,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jim Leonhard,,,,,,P,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Dwight Lowery,,,,,,,,,,O,O,P,,,,,,,
Nick Mangold,,P,P,P,P,P,P,,,P,P,P,P,P,P,P,P,P,P
Josh Mauga,,,,,,,,,O,O,Q,,,,,,,,
Brandon Moore,,,,,P,P,,,,,,,,,,,,P,
Calvin Pace,O,O,O,O,P,P,P,P,P,P,P,P,,,,,,,
Ropati Pitoitua,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brodney Pool,O,P,,,,,,P,,,,,,,,,,,
Sione Pouha,,,,,,,,,,,P,P,P,P,,P,P,P,P
Trevor Pryce,,,,,,,,,,,,,,O,O,O,P,,
Darrelle Revis,,,O,O,P,P,P,P,P,P,P,,,,P,O,P,P,P
Tony Richardson,,,,,,,,,,,,,,,,,,P,
Mark Sanchez,,,,,,,,,,P,P,P,,,P,P,P,P,P
Matt Slauson,,,,,,,,,,P,P,P,,,,,P,,
Brad Smith,,,,,,,,,,,P,P,P,P,P,P,P,O,Q
Eric Smith,,,,,Q,,,,,P,P,,,D,O,D,P,,
Jason Taylor,,,P,P,P,,,,,,,,,,,,,,P
Bryan Thomas,,,,,,,,,,,,,,,,P,P,P,
Patrick Turner,,,,,,,,,,,,,,,,,,P,
Robert Turner,,,,,,,,,,,,,,,,,P,,
Jamaal Westerman,,,,O,Q,O,,,,,,,,,,,,,
Damien Woody,,,,,,,,,P,,D,P,,O,O,O,P,IR,IR
