Player,09/11vs. DAL,09/18vs. JAX,09/25vs. OAK,10/02vs. BAL,10/09vs. NWE,10/17vs. MIA,10/23vs. SDG,11/06vs. BUF,11/13vs. NWE,11/17vs. DEN,11/27vs. BUF,12/04vs. WAS,12/11vs. KAN,12/18vs. PHI,12/24vs. NYG,01/01vs. MIA
Mark Brunell,P,P,,,,,,,,,,,,,,
Plaxico Burress,P,P,,P,P,,,P,P,P,P,,,,P,
Marquice Cole,,P,,,,P,P,,,,,,,O,O,P
John Conner,P,P,,,,,,,,,,,,,,
Antonio Cromartie,,,,P,P,,P,,P,,,,,,,
Jeff Cumberland,P,P,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mike DeVito,,,P,P,P,,O,O,P,P,,D,D,P,P,P
Marcus Dixon,P,P,P,,,P,P,P,P,P,P,P,P,P,,
Vlad Ducasse,,,,,,,,,,,,P,P,P,P,
Kenrick Ellis,O,Q,,,,,,O,O,P,O,,,,,
D'Brickashaw Ferguson,,,,,,,,,,,,,,,,P
Shonn Greene,,,,,,,,,P,,P,P,P,P,P,P
David Harris,,P,P,P,P,,,P,,P,P,,P,,,
Santonio Holmes,P,Q,P,P,,,,,P,P,,,,,P,
Wayne Hunter,,P,,,,,,,P,,P,,,,,
Jeremy Kerley,,,,,,,,,,O,O,P,P,,P,
Ellis Lankster,,,,,,,,,,,,,O,Q,,
Jim Leonhard,,,P,,,,,,,,,,,IR,IR,IR
Nick Mangold,,,O,O,P,P,P,P,P,P,P,P,P,P,,
Derrick Mason,P,P,P,,,,,,,,,,,,,
Josh Mauga,,,,,,,,,P,P,,,,,,
Greg McElroy,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Garrett McIntyre,,,,,O,P,,,,,,,,,,D
Joe McKnight,P,P,,,,,P,,P,P,,,O,P,P,P
Brandon Moore,P,,,,,,,,,,,,P,P,P,P
Matthew Mulligan,,,,,,,,,,,P,,,,,
Shawn Nelson,,,,,,,,,O,O,Q,,,,,
Calvin Pace,,,,,P,,,P,P,P,P,P,P,P,,
Logan Payne,O,O,O,O,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ropati Pitoitua,P,,,,,O,P,P,,,,,,,O,P
Brodney Pool,,,,,,,,,O,O,P,P,,,,
Sione Pouha,P,P,,,,,,,P,,,,,,,
Bilal Powell,,,,,,,,,,,O,,,,,
Tanner Purdum,,,,,,P,P,,,,,,P,,,
Darrelle Revis,P,,,,,,,,,P,,,,,,
Mark Sanchez,,,P,,,,,,,,P,,,,P,
Caleb Schlauderaff,,,,,,,,,,,,,,,O,
Bart Scott,,,,,,P,,,,,,,,,,
Matt Slauson,,,,,,,,,P,P,P,P,P,P,,
Eric Smith,,P,P,,P,,,,,,,,P,P,P,P
Donald Strickland,,,,,,O,P,,,,,,,,,
Martin Tevaseu,,,,,,P,,,,,,,,,,
Bryan Thomas,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
LaDainian Tomlinson,,,,,,P,,P,,D,D,,P,,,P
Isaiah Trufant,,,,,,O,O,O,P,P,,,,,,
Patrick Turner,,,,,,,,,,P,,,,,,
Robert Turner,O,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Muhammad Wilkerson,,,P,P,P,P,P,,,,,,P,,,P
