Player,09/09vs. BUF,09/16vs. PIT,09/23vs. MIA,09/30vs. SFO,10/08vs. HOU,10/14vs. IND,10/21vs. NWE,10/28vs. MIA,11/11vs. SEA,11/18vs. STL,11/22vs. NWE,12/02vs. ARI,12/09vs. JAX,12/17vs. TEN,12/23vs. SDG,12/30vs. BUF
Yeremiah Bell,,,,,P,,,,,,,,,,,
Nick Bellore,P,P,P,P,P,P,,,,,,,,,,
Aaron Berry,,,,,Q,P,,,,,Q,Q,P,D,D,IR
Josh Bush,P,,,,P,,,,,,,,,,,
John Conner,,Q,D,Q,D,D,,,,,,,,,,
Quinton Coples,,,P,,,,,,,,,,,,,
Antonio Cromartie,,P,P,P,P,P,,,,,,,,,,
Jeff Cumberland,,,,,P,P,Q,O,P,P,P,P,P,P,P,P
Mike DeVito,Q,P,P,P,P,,,,P,P,P,,P,,,
Vlad Ducasse,,,,,,,,P,,,,,,,,
Braylon Edwards,,,,,,,,,,,,,,P,Q,Q
Kenrick Ellis,,,P,,,O,O,O,O,P,Q,P,P,P,P,P
Dedrick Epps,,,,,Q,,,,,,,,,,,
Donnie Fletcher,,,,,,,,,,,,,,,,Q
Nick Folk,,,,,,,,,,,,,,,P,P
Clyde Gates,,,,,,D,Q,P,,P,,Q,O,D,,
Mardy Gilyard,,,,,,,,,,,,,,,P,
Shonn Greene,,,,,,,P,,,,,,,,,
David Harris,P,,,,,P,,,,,,,,,,
Damon Harrison,,,,,,,,,P,P,,,D,P,,
Jason Hill,,,,,,,,,,,Q,,,,,
Stephen Hill,P,P,,D,D,P,P,,,P,P,,Q,D,IR,IR
Lex Hilliard,,,,,,,,,,,,,P,,,
Santonio Holmes,P,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Austin Howard,,,,P,P,P,P,,,,,,,,,
Dustin Keller,P,D,Q,Q,D,P,P,,,,,Q,D,D,O,D
Jeremy Kerley,,P,,,P,P,P,P,,P,Q,P,P,,,
Dennis Landholt,O,O,O,O,,,,,,,,,,,,
LaRon Landry,P,P,P,P,P,P,P,P,P,P,P,Q,P,P,Q,P
Ellis Lankster,P,,Q,P,,,,,,,,,,,,O
Robert Malone,,,,,,,,,,,,,,,,P
Nick Mangold,,,P,P,P,Q,Q,Q,Q,P,P,P,P,P,P,P
Josh Mauga,,P,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Greg McElroy,,,,,,,,,,,,,,,,P
Garrett McIntyre,,,,,,,,,,,,,,,P,P
Joe McKnight,P,,,,Q,,,,D,Q,Q,P,P,P,P,P
Brandon Moore,P,P,P,P,P,P,P,P,Q,P,P,P,P,P,P,P
Calvin Pace,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P
Sione Pouha,Q,Q,P,P,D,D,D,Q,Q,Q,Q,Q,Q,Q,Q,P
Bilal Powell,,,,,,,D,D,,D,P,P,P,P,P,P
Darrelle Revis,,O,P,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mark Sanchez,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P
Ricky Sapp,,,,,,,,,,,,,P,P,Q,P
Chaz Schilens,P,P,P,,,,,,,,,P,P,,Q,D
Bart Scott,,,P,Q,Q,P,P,O,Q,Q,Q,P,P,P,P,P
Matt Slauson,,,,P,P,P,P,P,P,P,P,P,P,P,P,P
Eric Smith,O,P,P,P,Q,D,D,Q,Q,P,,,,,,
Tim Tebow,,,,,,,,,,P,P,D,Q,P,P,P
Bryan Thomas,P,O,D,Q,Q,P,P,,,,,,,D,Q,D
Isaiah Trufant,,Q,P,P,,,,,,IR,IR,IR,IR,IR,IR,IR
Patrick Turner,Q,,,Q,,,,,,,,,,,,
Muhammad Wilkerson,,,,,,,,,,,,,,,,D
Kyle Wilson,,,,,,,,,,,,P,,,,
