Player,09/13vs. CLE,09/21vs. IND,09/27vs. PHI,10/04vs. MIA,10/18vs. WAS,10/25vs. NWE,11/01vs. OAK,11/08vs. JAX,11/12vs. BUF,11/22vs. HOU,11/29vs. MIA,12/06vs. NYG,12/13vs. TEN,12/19vs. DAL,12/27vs. NWE,01/03vs. BUF
Antonio Allen,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jace Amaro,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Dion Bailey,,,,,P,P,P,,O,O,D,D,P,P,,
T.J. Barnes,,,,P,,,,,,,,,,,,
Tommy Bohanon,,,,,,,,,P,,,,,,,
Stephen Bowen,P,P,P,P,,,,,,,,,,,,
James Carpenter,P,P,P,P,,,,,,,,,,,,
Mike Catapano,,,,,,,,,,,,,IR,IR,IR,IR
Willie Colon,P,P,Q,O,Q,Q,Q,IR,O,IR,IR,IR,IR,IR,IR,IR
Quinton Coples,,,,P,P,P,,,,,,,,,,
Antonio Cromartie,P,Q,P,P,P,,,P,D,P,,,P,,,
Jeff Cumberland,,,,O,P,,,,,,,,,,,
Demario Davis,,,,,,,,,,,P,,,,,P
Kellen Davis,,,,,,,,P,P,,P,,P,P,P,Q
Eric Decker,,,Q,Q,P,P,Q,P,P,P,P,P,P,P,P,P
Leger Douzable,,,,,,,,,,,,,,P,,
Quincy Enunwa,,,,,,,,,,,,,,,Q,P
Ryan Fitzpatrick,,,,,,P,,P,P,P,P,P,P,P,P,P
Nick Folk,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Breno Giacomini,,P,P,,,,P,,,,,,,P,P,Q
David Harris,,,,P,Q,,,,,,,,,,P,
Damon Harrison,,,,,,P,,,,,,,,,,
Erin Henderson,P,,,,,,,,,,,,,,,P
Ben Ijalana,P,,,,,,,,,,,,,,,
Chris Ivory,P,Q,Q,P,P,,P,P,P,,,,,,,P
Jaiquawn Jarrett,P,P,P,P,D,D,,,,,,,,,,
Jeremy Kerley,P,,,,,,,,P,,,,P,P,,
Jamari Lattimore,,,,,P,,,,,,,,,,,
Nick Mangold,,,,,,,D,P,P,P,P,P,P,P,P,
Brandon Marshall,,,,,,P,,Q,P,P,P,P,P,P,P,P
Ronald Martin,,,,,,,,,,,,,,P,,
Lorenzo Mauldin,P,O,P,,,,,,,,,,,,,P
Dexter McDougle,,,,,,,P,P,P,P,,,,,P,
Rontez Miles,,,,,,,,,,,,,,P,,
Dee Milliner,IR,IR,IR,IR,IR,IR,IR,IR,,P,,,,P,D,P
Chris Owusu,,,O,O,D,P,,,,,,,,,,
Calvin Pace,,,,,,,,,,,P,Q,P,P,P,P
Bilal Powell,,,,,Q,O,O,D,D,P,,,,,,Q
Calvin Pryor,,,,,P,,O,O,O,P,,,P,,,
Ryan Quigley,,,,,,,P,,,,P,,,,,
Brent Qvale,,P,,,,,,,,,,,,,,
Trevor Reilly,,P,O,,,,,,,,,P,,,,
Darrelle Revis,,,Q,P,,,,,,P,O,O,P,,,
Sheldon Richardson,,,,,,,,,,Q,P,,,,,
Stevan Ridley,IR,IR,IR,IR,IR,IR,IR,P,P,,,,,,,
Buster Skrine,,,,,,P,Q,Q,Q,Q,P,P,,,,
Devin Smith,P,P,P,P,,,O,P,,,P,,,O,IR,IR
Geno Smith,O,O,P,,,,,P,P,,,,,,P,
Zach Sudfeld,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kenbrell Thompkins,,,,,,,,,,,,,,,,P
Kevin Vickerson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Darrin Walls,,D,D,O,P,,,,,,,,,,,
Muhammad Wilkerson,,,,,P,,,,,,,,,P,,P
Leonard Williams,P,,,,P,,P,,,,,,,,,
Marcus Williams,,,,,D,P,P,,,,P,D,Q,P,,
