Player,09/11vs. CIN,09/15vs. BUF,09/25vs. KAN,10/02vs. SEA,10/09vs. PIT,10/17vs. ARI,10/23vs. BAL,10/30vs. CLE,11/06vs. MIA,11/13vs. LAR,11/27vs. NWE,12/05vs. IND,12/11vs. SFO,12/17vs. MIA,12/24vs. NWE,01/01vs. BUF
Antonio Allen,,,,,,,,,,,,,O,IR,IR,IR
Robby Anderson,,,,,,,,,,,,,,,,Q
Brandon Bostick,,,,,,,,,,,,,,Q,,
Braedon Bowman,,,,,O,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR
Juston Burris,,,,,,,,,,,,,,,,Q
Bruce Carter,Q,Q,,Q,,,,O,O,O,,Q,,,,
Mike Catapano,,,,,,,,,,,,,,IR,IR,IR
Jake Ceresna,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ryan Clady,,,,Q,,,Q,Q,Q,IR,IR,IR,IR,IR,IR,IR
Kellen Davis,,,,,,,,,O,,IR,IR,IR,IR,IR,IR
Eric Decker,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Quincy Enunwa,,,,,Q,,,,,,,,,Q,,
Ryan Fitzpatrick,,,,,,,,,,Q,,,,,,
Matt Forte,,,,,,,,,,,,,,Q,IR,O
Breno Giacomini,IR,IR,IR,IR,IR,IR,IR,,Q,,,Q,O,IR,IR,IR
Marcus Gilchrist,,,,,,,,,,,,,,IR,IR,IR
David Harris,Q,Q,Q,,,D,,,,,,,,,,
Erin Henderson,,,Q,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jordan Jenkins,D,D,,,,,,,,,,,,,,
Darron Lee,,,,,,,O,O,O,,,,,,,
Corey Lemonier,,,,D,,,,,,,,,,,,
Nick Mangold,,,,,,Q,Q,D,D,O,Q,,IR,IR,IR,IR
Jalin Marshall,,,,O,D,,,,,,,O,O,,,
Nick Marshall,,,,,,,,,,,O,,,,,D
Josh Martin,,,,,,,,,,O,,,,,,
Lorenzo Mauldin,,,,,,,,,,,,D,O,O,O,O
Steve McLendon,,,,,,,,,,,Q,O,O,O,O,O
Dee Milliner,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Romar Morris,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Julien Obioha,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Bryce Petty,O,O,O,O,O,,,,,,,,,,,IR
Calvin Pryor,,,,,,,,,,,,O,,,,
Brent Qvale,,,,,,,O,D,D,,,,,D,,
Darrelle Revis,,,,,D,Q,,,,,,,,,,
Sheldon Richardson,,,,,,,,,,,,,,,,Q
Darryl Roberts,O,D,,,,,,,,,,,,,,
Khiry Robinson,,,,,,,,,,,,,O,D,Q,IR
Austin Seferian-Jenkins,,,,,,Q,O,D,,,,,,,,O
Brandon Shell,,,,,,,,,Q,Q,,,,,,
Buster Skrine,,,,,,,,D,,Q,,,,O,,
Devin Smith,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,
Geno Smith,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Julian Stanford,,,,,,,,,,,,,IR,IR,IR,IR
Lawrence Thomas,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brandon Wilds,,,,,,,,,,,,,,,,Q
Muhammad Wilkerson,,Q,,,,,Q,Q,Q,,,Q,Q,Q,Q,Q
Marcus Williams,,,,,,,,,,O,O,Q,,,,
Brian Winters,,,,,O,,,,,,,,,,IR,IR
