Player,09/10vs. DET,09/16vs. MIA,09/20vs. CLE,09/30vs. JAX,10/07vs. DEN,10/14vs. IND,10/21vs. MIN,10/28vs. CHI,11/04vs. MIA,11/11vs. BUF,11/25vs. NWE,12/02vs. TEN,12/09vs. BUF,12/15vs. HOU,12/23vs. GNB,12/30vs. NWE
Robby Anderson,,,,,,,,D,Q,D,Q,Q,Q,,,
Jeremiah Attaochu,,,,,,,,,,,,,,IR,IR,IR
Kelvin Beachum,,,,,,,,Q,,,,,,,,
Trenton Cannon,,,,,,,,,,,,,,Q,,
James Carpenter,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Morris Claiborne,,,,,,,,Q,,,,,,,,O
Brandon Copeland,,,,,,,,,,,Q,,,,,
Isaiah Crowell,,,,,,Q,Q,,,,,,Q,O,IR,IR
Sam Darnold,,,,,,,,,,D,O,Q,,,,
Quincy Enunwa,,,,,,,O,O,Q,,,,,IR,IR,O
Ben Ijalana,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jordan Jenkins,,,,,,,,,,,,,,Q,Q,Q
Trumaine Johnson,,,,,O,D,D,D,D,,,,,Q,,
Jermaine Kearse,D,,,,,,,,,,,,,,,O
Jordan Leggett,,,,,,,,,,,,,Q,,,
Spencer Long,,,,,,,,Q,,D,,,,,,
Frankie Luvu,,,,,,,,,Q,,,,,,,
Josh Martin,O,O,O,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Rishard Matthews,,,,,,,,,,,,,,,IR,IR
Marcus Maye,D,D,D,Q,Q,Q,O,Q,,,IR,IR,IR,IR,IR,IR
Elijah McGuire,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,
Steve McLendon,,,,,,,,,Q,Q,,,,,,
Doug Middleton,,Q,,Q,,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Rontez Miles,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,
Charone Peake,,,,O,O,O,,,,,,,,,,
Claude Pelon,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kevin Pierre-Louis,,,,,,D,D,Q,D,,,,,Q,IR,O
Bilal Powell,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Terrelle Pryor,,,,,,,D,,,,,,,,,
Andre Roberts,,,,,,,,,Q,,,,,,,
Darryl Roberts,,,,,,,,,,,,,,,Q,
Brandon Shell,,,,,,,,,,,,,,,IR,IR
Buster Skrine,,,,Q,,O,O,,,,,,Q,,,
Neal Sterling,,,O,O,O,,,,IR,IR,IR,IR,IR,IR,IR,IR
Eric Tomlinson,,,,,,,,,,,,,,,,IR
