Player,09/13vs. BUF,09/20vs. SFO,09/27vs. IND,10/01vs. DEN,10/11vs. ARI,10/18vs. MIA,10/25vs. BUF,11/01vs. KAN,11/09vs. NWE,11/22vs. LAC,11/29vs. MIA,12/06vs. LVR,12/13vs. SEA,12/20vs. LAR,12/27vs. CLE,01/03vs. NWE
Josh Andrews,,,,,,,,Q,Q,,,,,,,IR
Blessuan Austin,,,,,Q,Q,,,,Q,IR,IR,IR,,,Q
Tarell Basham,,Q,,,,,,,,,,,,,,
Mekhi Becton,,,,Q,D,D,Q,,,,,,,,,
Le'Veon Bell,,IR,IR,IR,IR,,,,,,,,,,,
Braxton Berrios,,,Q,,,,,,,,,,,,,
Kyron Brown,//;90,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,
Blake Cashman,,IR,IR,IR,IR,IR,,O,O,D,Q,,,,,
Cameron Clark,IR,IR,IR,IR,IR,IR,IR,O,,,,,,,,
Jamison Crowder,,O,O,Q,,,Q,D,Q,,,,Q,Q,,
Sam Darnold,,,,,O,D,Q,,D,D,,,,,,
Ashtyn Davis,,,O,D,Q,,,,,,,,O,IR,IR,IR
Josh Doctson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chuma Edoga,,,,,,,Q,,,,D,,,,,
Pat Elflein,,,,,,,,,,,,Q,Q,,,
George Fant,,,O,,,,Q,,,,D,Q,,,,
Folorunso Fatukasi,,,,,,,,,,,,,,C19,C19,
Sam Ficken,,,,,,,D,D,D,Q,IR,IR,IR,IR,,
Joe Flacco,O,O,,,,,,,,,,,,,,
John Franklin-Myers,,,,Q,Q,Q,,,Q,,,,,,,
Frank Gore,,,,,,,,Q,,,,,Q,,,IR
Javelin Guidry,,,,,,,,,,,,,,,D,Q
Nate Hairston,,,Q,,,,,,,,,,,,,
Bryce Hall,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,
Saquan Hampton,,,,,,,,,,,,,,IR,IR,IR
Chris Hogan,,,,Q,Q,IR,IR,IR,IR,IR,IR,IR,,,,
Bennett Jackson,,,,,,,,,,,,,IR,IR,IR,IR
Jordan Jenkins,,,,Q,Q,,,Q,,,,,O,IR,IR,IR
Leo Koloamatangi,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Harvey Langi,,,,,,,,,,,,,,,IR,IR
Alex Lewis,Q,,,,,Q,D,,,,Q,O,IR,IR,IR,
Frankie Luvu,,,,,,,IR,IR,IR,IR,,,,,,
Arthur Maulet,,,IR,IR,IR,IR,IR,IR,,,,,,,,
Marcus Maye,Q,,,,,,,,,,,,,,,
Conor McDermott,,,,,,,,Q,,,,,,,,
Bradley McDougald,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Connor McGovern,,,Q,,,,,,Q,,,,,,,
Denzel Mims,O,IR,IR,IR,IR,IR,IR,,,,,,O,,,
Jalin Moore,,,,IR,,,,,,,,,,,,
C.J. Mosley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,
Patrick Onwuasor,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
La'Mical Perine,O,Q,,,,,,,,,IR,IR,IR,IR,IR,C19
Breshad Perriman,,,O,O,D,Q,,O,,,,,,,,
Kyle Phillips,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brian Poole,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Nathan Shepherd,,,,,,,,,Q,,,,,,,
Jeff Smith,IR,IR,IR,IR,,,,,,,,,,,Q,Q
Vyncint Smith,IR,IR,IR,IR,IR,IR,,,D,,,,,,,
Greg Van Roten,,,,,,,,,,,,,IR,IR,IR,IR
Trevon Wesco,,,,,,,,,O,IR,IR,IR,IR,,,
Quinnen Williams,,,,,,Q,,,D,,,,,,IR,IR
Avery Williamson,O,Q,,,,,,,,,,,,,,
Jordan Willis,,,,D,,,,,,,,,,,,
Quincy Wilson,,,O,,,,,,,,,,,,,
Jabari Zuniga,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,
