,G#,Opp,Spread,Over/Under,Result,vs. Line,OU Result,Year
0,1,@ATL,-3.5,0.0,"L, 14-20",Lost,Over,1978
1,2,@KAN,-4.5,0.0,"W, 20-17",Lost,Over,1978
2,3,SFO,-9.5,0.0,"W, 20-19",Lost,Over,1978
3,4,RAM,2.5,0.0,"L, 6-10",Lost,Over,1978
4,5,@CLE,5.0,0.0,"W, 16-13",Won,Over,1978
5,6,@OAK,7.5,0.0,"L, 17-21",Won,Over,1978
6,7,BUF,-8.5,0.0,"W, 17-10",Lost,Over,1978
7,8,@PIT,7.5,0.0,"W, 24-17",Won,Over,1978
8,9,@CIN,-7.0,0.0,"L, 13-28",Lost,Over,1978
9,10,CLE,-4.0,0.0,"W, 14-10",Push,Over,1978
10,11,@NWE,7.0,0.0,"W, 26-23",Won,Over,1978
11,12,MIA,-2.0,0.0,"W, 35-30",Won,Over,1978
12,13,CIN,-7.5,0.0,"W, 17-10",Lost,Over,1978
13,14,PIT,-2.5,0.0,"L, 3-13",Lost,Over,1978
14,15,@NOR,-3.0,0.0,"W, 17-12",Won,Over,1978
15,16,SDG,-3.5,0.0,"L, 24-45",Lost,Over,1978
16,17,@MIA,6.5,0.0,"W, 17-9",Won,Over,1978
17,18,@NWE,6.0,0.0,"W, 31-14",Won,Over,1978
18,19,@PIT,7.0,0.0,"L, 5-34",Lost,Over,1978
19,1,@WAS,-4.0,33.0,"W, 29-27",Lost,Over,1979
20,2,@PIT,6.0,37.0,"L, 7-38",Lost,Over,1979
21,3,KAN,-5.0,37.0,"W, 20-6",Won,Under,1979
22,4,@CIN,-3.0,37.0,"W, 30-27",Push,Over,1979
23,5,CLE,-6.0,39.0,"W, 31-10",Won,Over,1979
24,6,STL,-7.0,39.0,"L, 17-24",Lost,Over,1979
25,7,@BAL,-6.0,36.0,"W, 28-16",Won,Over,1979
26,8,@SEA,-2.0,42.0,"L, 14-34",Lost,Over,1979
27,9,NYJ,-6.0,42.0,"W, 27-24",Lost,Over,1979
28,10,@MIA,3.0,39.0,"W, 9-6",Won,Under,1979
29,11,OAK,-1.0,40.0,"W, 31-17",Won,Over,1979
30,12,CIN,-8.0,43.0,"W, 42-21",Won,Over,1979
31,13,@DAL,1.0,41.0,"W, 30-24",Won,Over,1979
32,14,@CLE,1.0,44.0,"L, 7-14",Lost,Under,1979
33,15,PIT,3.0,42.5,"W, 20-17",Won,Under,1979
34,16,PHI,-4.0,39.0,"L, 20-26",Lost,Over,1979
35,17,DEN,-7.0,0.0,"W, 13-7",Lost,Over,1979
36,18,@SDG,8.0,0.0,"W, 17-14",Won,Over,1979
37,19,@PIT,9.5,0.0,"L, 13-27",Lost,Over,1979
38,1,@PIT,7.0,40.0,"L, 17-31",Lost,Over,1980
39,2,@CLE,-4.0,44.0,"W, 16-7",Won,Under,1980
40,3,BAL,-7.0,35.0,"W, 21-16",Lost,Over,1980
41,4,@CIN,-3.0,36.0,"W, 13-10",Push,Under,1980
42,5,SEA,-7.0,37.0,"L, 7-26",Lost,Under,1980
43,6,@KAN,-4.0,36.0,"L, 20-21",Lost,Over,1980
44,7,TAM,-9.0,34.0,"W, 20-14",Lost,Push,1980
45,8,CIN,-6.0,35.0,"W, 23-3",Won,Under,1980
46,9,@DEN,-4.0,37.0,"W, 20-16",Push,Under,1980
47,10,NWE,-3.0,43.0,"W, 38-34",Won,Over,1980
48,11,@CHI,-3.0,35.0,"W, 10-6",Won,Under,1980
49,12,@NYJ,-6.0,40.0,"L, 28-31",Lost,Over,1980
50,13,CLE,-3.0,39.0,"L, 14-17",Lost,Under,1980
51,14,PIT,-2.0,40.0,"W, 6-0",Won,Under,1980
52,15,@GNB,-6.0,37.0,"W, 22-3",Won,Under,1980
53,16,MIN,-10.0,37.0,"W, 20-16",Lost,Under,1980
54,17,@OAK,-1.0,38.0,"L, 7-27",Lost,Under,1980
55,1,@RAM,6.0,38.0,"W, 27-20",Won,Over,1981
56,2,@CLE,4.0,43.0,"W, 9-3",Won,Under,1981
57,3,MIA,-3.0,37.0,"L, 10-16",Lost,Under,1981
58,4,@NYJ,-3.0,38.0,"L, 17-33",Lost,Over,1981
59,5,CIN,-3.5,37.0,"W, 17-10",Won,Under,1981
60,6,SEA,-7.0,36.0,"W, 35-17",Won,Over,1981
61,7,@NWE,3.5,43.0,"L, 10-38",Lost,Over,1981
62,8,@PIT,5.5,40.0,"L, 13-26",Lost,Under,1981
63,9,@CIN,4.0,40.0,"L, 21-34",Lost,Over,1981
64,10,OAK,0.0,36.0,"W, 17-16",Won,Under,1981
65,11,@KAN,5.0,37.0,"L, 10-23",Lost,Under,1981
66,12,NOR,-6.0,36.0,"L, 24-27",Lost,Over,1981
67,13,ATL,4.0,42.0,"L, 27-31",Push,Over,1981
68,14,CLE,-2.5,41.0,"W, 17-13",Won,Under,1981
69,15,@SFO,7.0,39.0,"L, 6-28",Lost,Under,1981
70,16,PIT,0.0,37.0,"W, 21-20",Won,Over,1981
71,1,@CIN,7.0,40.0,"L, 6-27",Lost,Under,1982
72,2,SEA,-3.5,35.0,"W, 23-21",Lost,Over,1982
73,3,PIT,5.5,38.0,"L, 10-24",Lost,Under,1982
74,4,@NWE,2.5,36.0,"L, 21-29",Lost,Over,1982
75,5,@NYG,7.0,35.0,"L, 14-17",Won,Under,1982
76,6,DAL,8.5,38.0,"L, 7-37",Lost,Over,1982
77,7,@PHI,6.0,35.0,"L, 14-35",Lost,Over,1982
78,8,CLE,4.0,38.0,"L, 14-20",Lost,Under,1982
79,9,CIN,10.0,38.0,"L, 27-35",Won,Over,1982
80,1,GNB,4.5,40.0,"L, 38-41",Won,Over,1983
81,2,@RAI,10.0,44.0,"L, 6-20",Lost,Under,1983
82,3,PIT,5.5,40.0,"L, 28-40",Lost,Over,1983
83,4,@BUF,7.0,39.0,"L, 13-30",Lost,Over,1983
84,5,@PIT,11.0,45.0,"L, 10-17",Won,Under,1983
85,6,DEN,2.0,37.0,"L, 14-26",Lost,Over,1983
86,7,@MIN,9.5,43.0,"L, 14-34",Lost,Over,1983
87,8,KAN,3.5,43.5,"L, 10-13",Won,Under,1983
88,9,@CLE,9.0,41.0,"L, 19-25",Won,Over,1983
89,10,CIN,4.5,45.0,"L, 14-55",Lost,Over,1983
90,11,DET,6.0,43.5,"W, 27-17",Won,Over,1983
91,12,@CIN,9.0,44.5,"L, 10-38",Lost,Over,1983
92,13,@TAM,2.0,37.0,"L, 24-33",Lost,Over,1983
93,14,MIA,9.0,44.0,"L, 17-24",Won,Under,1983
94,15,CLE,6.5,45.0,"W, 34-27",Won,Over,1983
95,16,@BAL,4.0,40.5,"L, 10-20",Lost,Under,1983
96,1,RAI,6.0,48.5,"L, 14-24",Lost,Under,1984
97,2,IND,-5.5,40.0,"L, 21-35",Lost,Over,1984
98,3,@SDG,10.5,52.0,"L, 14-31",Lost,Under,1984
99,4,@ATL,9.0,49.0,"L, 10-42",Lost,Over,1984
100,5,NOR,5.5,49.0,"L, 10-27",Lost,Under,1984
101,6,@CIN,9.0,42.5,"L, 3-13",Lost,Under,1984
102,7,@MIA,17.0,44.0,"L, 10-28",Lost,Under,1984
103,8,SFO,11.0,42.0,"L, 21-34",Lost,Over,1984
104,9,CIN,4.5,40.0,"L, 13-31",Lost,Over,1984
105,10,@PIT,14.0,41.0,"L, 7-35",Lost,Over,1984
106,11,@KAN,13.5,41.0,"W, 17-16",Won,Under,1984
107,12,NYJ,4.5,42.0,"W, 31-20",Won,Over,1984
108,13,@CLE,5.5,36.0,"L, 10-27",Lost,Over,1984
109,14,PIT,6.0,44.0,"W, 23-20",Won,Under,1984
110,15,@RAM,11.5,43.0,"L, 16-27",Won,Push,1984
111,16,CLE,-2.0,39.0,"L, 20-27",Lost,Over,1984
112,1,MIA,7.5,45.5,"W, 26-23",Won,Over,1985
113,2,@WAS,10.0,46.5,"L, 13-16",Won,Under,1985
114,3,@PIT,6.0,43.0,"L, 0-20",Lost,Under,1985
115,4,DAL,5.0,41.0,"L, 10-17",Lost,Under,1985
116,5,@DEN,8.0,43.5,"L, 20-31",Lost,Over,1985
117,6,CLE,2.5,37.0,"L, 6-21",Lost,Under,1985
118,7,CIN,4.0,45.5,"W, 44-27",Won,Over,1985
119,8,@STL,7.0,45.5,"W, 20-10",Won,Under,1985
120,9,KAN,-1.0,39.0,"W, 23-20",Won,Over,1985
121,10,@BUF,-2.5,37.5,"L, 0-20",Lost,Under,1985
122,11,PIT,3.0,37.5,"L, 7-30",Lost,Under,1985
123,12,SDG,6.0,45.0,"W, 37-35",Won,Over,1985
124,13,@CIN,7.5,43.0,"L, 27-45",Lost,Over,1985
125,14,NYG,7.0,41.0,"L, 14-35",Lost,Over,1985
126,15,@CLE,10.0,36.5,"L, 21-28",Won,Over,1985
127,16,@IND,5.5,40.0,"L, 16-34",Lost,Over,1985
128,1,@GNB,4.0,41.5,"W, 31-3",Won,Under,1986
129,2,CLE,-1.5,40.0,"L, 20-23",Lost,Over,1986
130,3,@KAN,3.5,42.0,"L, 13-27",Lost,Under,1986
131,4,PIT,-6.5,39.0,"L, 16-22",Lost,Under,1986
132,5,@DET,3.0,41.0,"L, 13-24",Lost,Under,1986
133,6,CHI,13.5,41.0,"L, 7-20",Won,Under,1986
134,7,@CIN,6.5,45.5,"L, 28-31",Won,Over,1986
135,8,RAI,6.5,39.0,"L, 17-28",Lost,Over,1986
136,9,@MIA,7.5,46.0,"L, 7-28",Lost,Under,1986
137,10,CIN,4.0,45.5,"W, 32-28",Won,Over,1986
138,11,@PIT,4.5,38.5,"L, 10-21",Lost,Under,1986
139,12,IND,-7.0,41.0,"W, 31-17",Won,Over,1986
140,13,@CLE,7.0,41.0,"L, 10-13",Won,Under,1986
141,14,@SDG,7.0,43.0,"L, 0-27",Lost,Under,1986
142,15,MIN,7.0,41.0,"W, 23-10",Won,Under,1986
