Player,09/10vs. PIT,09/20vs. HOU,09/27vs. NYJ,10/04vs. JAX,10/11vs. IND,10/18vs. NWE,11/01vs. JAX,11/08vs. SFO,11/15vs. BUF,11/23vs. HOU,11/29vs. ARI,12/06vs. IND,12/13vs. STL,12/20vs. MIA,12/25vs. SDG,01/03vs. SEA
Colin Allred,,,,,Q,P,,,,Q,P,D,O,,,
Eugene Amano,,,P,,,,,,,,,,,,,
Eric Bakhtiari,,,,,,,,,,,,,,O,Q,
Rob Bironas,,,P,,,,,,,,,P,,,,
Kenny Britt,,,,,,,,,,,,,P,P,,
Tony Brown,,,,,,,,,,,,,,P,Q,O
Keith Bulluck,,,,,P,,,,,,,,,,O,IR
Jared Cook,O,P,,,,,,,,,,,O,,,
Cortland Finnegan,,,,D,Q,O,P,,P,,P,,,,,
Jacob Ford,,,,,,P,,,,,,P,,,,
Vincent Fuller,,,,O,O,D,,P,,,,,,,,
Justin Gage,,,,,,,,,D,O,D,O,,,,
Quinton Ganther,IR,,,,,,,,,,,,,,,
Michael Griffin,,,,,,P,,,,,,,,,,
Ahmard Hall,,,,,,,,,,,,,P,,,
Nick Harper,,,,,Q,O,D,O,O,,,,P,,Q,IR
Leroy Harris,,,,,,O,,,,,,,,,,
William Hayes,,,,,,,,,P,,,,,,,
Craig Hentrich,P,P,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Johnson,,,,,,,,,,,,,P,,,
Jason Jones,,,,O,Q,P,,,,Q,O,O,IR,IR,IR,IR
Mark Jones,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jevon Kearse,,,,,,O,,D,O,,,,,,,
Stanford Keglar,,,D,D,Q,O,,,,,,,,,,
Troy Kropog,,,,,,,,,,,,,,,O,O
Sen'Derrick Marks,,,,,,,,,,,O,O,,,,
Kevin Mawae,,,,,,,,,,,,,,P,,P
Ryan Mouton,O,,,,,,,,,,,,,,,O
Michael Otto,,,,,,,D,O,P,,,,,,,
Javon Ringer,,,,,,,D,O,O,,,,,,,
Bo Scaife,,D,O,,,,,,,,,,,,,
Jake Scott,,,,,,P,,,,,,,,,,
Craig Stevens,,,,,,D,,,,,,,,D,P,Q
David Stewart,,,,,,,,O,,,,,,,,
David Thornton,,P,,,,,,O,P,P,P,,P,D,IR,IR
Stephen Tulloch,,,,,,P,,,,,,,,,,
Kyle Vanden Bosch,,,,,,,,,,,,,,,P,
Nate Washington,P,,,,P,,P,,,,,,P,P,P,
LenDale White,,,,P,,,,,P,,,,,,,
Vince Young,,,O,O,,,,,,,,,,P,,
