Player,09/12vs. OAK,09/19vs. PIT,09/26vs. NYG,10/03vs. DEN,10/10vs. DAL,10/18vs. JAX,10/24vs. PHI,10/31vs. SDG,11/14vs. MIA,11/21vs. WAS,11/28vs. HOU,12/05vs. JAX,12/09vs. IND,12/19vs. HOU,12/26vs. KAN,01/02vs. IND
Colin Allred,Q,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Eugene Amano,,,,,,P,,,,,,Q,,IR,IR,IR
Jason Babin,,,P,,,,,,,,,P,,,P,P
Dave Ball,,,,,,,,,,,D,P,O,IR,IR,IR
Rob Bironas,,,,,,,,,,P,P,P,,,P,P
Kenny Britt,,,,,,,,,O,O,O,O,Q,,,
Tony Brown,P,P,P,P,P,P,O,O,P,P,,P,Q,,,
Kerry Collins,,,,,,,P,P,,D,O,P,,,P,
Cortland Finnegan,,,P,,,,,,,P,,,,,,
Jacob Ford,P,,O,O,P,,,P,,,,,P,,,
Vincent Fuller,,,,,,,,,,O,,,,,,
Justin Gage,P,,,,O,O,O,O,,,,,,,,
Michael Griffin,,P,,,,,,,,,,P,,,,P
Leroy Harris,P,,,,O,P,,P,,,,,,,,
Jovan Haye,,,,,,,,,,,,,,P,,
William Hayes,O,O,,,,,,,,,,,,,,P
Roderick Hood,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Marcus Howard,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Johnson,,,,,,P,P,P,P,,,,,,,
Stafon Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jason Jones,,,,,,,P,,,,O,P,P,,P,
Brett Kern,,,,,,P,,,,,,,,,,P
Sen'Derrick Marks,,,,,D,P,,,,,,D,O,O,P,
Jason McCourty,,,,O,O,O,O,Q,,,,,,,,
Gerald McRath,,,,,P,,,,,,,,,,,
Derrick Morgan,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ryan Mouton,,,,,,,,O,O,,,O,O,IR,IR,IR
Michael Otto,O,O,O,,,,,,,,,,,,,
Bo Scaife,,,,,,,P,,,,,Q,,,,
Craig Stevens,,,,,,,,,,O,D,,,,,
David Thornton,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,P,O,Q,,P,
Fernando Velasco,,,,,,,,,,,,,,,,Q
Alterraun Verner,,,,,,,,,,,,P,,,,
Nate Washington,,,,,,,,,,,,P,,,,
Damian Williams,,,,,,Q,,,,,,,,,,
Jamie Winborn,,,,,,,,O,,,,,,,,
Will Witherspoon,,,,,,,,,,,,,,,,
Vince Young,,,,,,,Q,,P,,IR,IR,IR,IR,IR,IR
