Player,09/08vs. PIT,09/15vs. HOU,09/22vs. SDG,09/29vs. NYJ,10/06vs. KAN,10/13vs. SEA,10/20vs. SFO,11/03vs. STL,11/10vs. JAX,11/14vs. IND,11/24vs. OAK,12/01vs. IND,12/08vs. DEN,12/15vs. ARI,12/22vs. JAX,12/29vs. HOU
Akeem Ayers,Q,,,,,,,,,,,,P,Q,,
Patrick Bailey,,,,Q,P,Q,Q,P,,,,,,,,
Jackie Battle,,,,,,P,P,,,,,,,,,
Kenny Britt,,,,Q,P,,,,,,,,,,,
Zach Brown,,,P,,Q,,,,,,,,,,,P
Tommie Campbell,,,,,,,,,Q,O,,,,,,
Jurrell Casey,,,,,,,,P,,,,,,,P,O
Lavar Edwards,,,,,,,P,,,,,,,,,
Moise Fokou,,,,P,,,O,O,O,O,P,,,,,
Zaviar Gooden,O,P,P,P,,O,D,P,P,Q,P,,,,,
Shonn Greene,Q,Q,O,O,O,O,Q,,,,,,,,,
Michael Griffin,,,,,,P,,O,P,,,,P,,,
Sammie Lee Hill,,,D,O,O,Q,P,,,,,Q,,,,
Justin Hunter,,,,,,,,P,,,P,,,,P,
Chris Johnson,,,,,,,,,,,,,,,P,
Quinn Johnson,D,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,P,,,
Brett Kern,,P,,,,,,,,,,,P,,,
Karl Klug,,,,,,,,,,,,,,P,,
Andy Levitre,,,,,,,,,,,,,,P,,
Jake Locker,,,,,O,O,,,D,IR,IR,IR,IR,IR,IR,IR
Marc Mariani,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mike Martin,,,,,,,,,,,,,,,P,
Derrick Morgan,,,,,,Q,Q,P,,,P,,,,,
Ropati Pitoitua,,,,,Q,,,P,P,,,,,,,
Bernard Pollard,,,,,,,P,,,,,P,,,,
Brian Schwenke,,,,,,,,,Q,O,,P,,P,P,
Coty Sensabaugh,,,,,,Q,,,,,,,,,IR,IR
Craig Stevens,,,,,,,,Q,,,,O,Q,,,
David Stewart,Q,Q,P,P,Q,Q,P,Q,Q,P,P,P,Q,P,Q,O
Robert Turner,,,,,,,P,IR,IR,IR,IR,IR,IR,IR,IR,IR
Alterraun Verner,,,,,,,,,,,,,,Q,P,
Delanie Walker,,,,Q,,,,,,,,,Q,P,,
Kevin Walter,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP
Chance Warmack,,,,,,,,,,P,,,,,,
Leon Washington,,,,,,,,,,,,,,P,,
Damian Williams,,Q,P,,,,,,Q,O,O,O,P,,P,
Blidi Wreh-Wilson,,,Q,Q,Q,D,P,,,,,,,,,
Kendall Wright,,,D,,Q,,,,,,Q,P,P,,,
