Player,09/07vs. KAN,09/14vs. DAL,09/21vs. CIN,09/28vs. IND,10/05vs. CLE,10/12vs. JAX,10/19vs. WAS,10/26vs. HOU,11/09vs. BAL,11/17vs. PIT,11/23vs. PHI,11/30vs. HOU,12/07vs. NYG,12/14vs. NYJ,12/18vs. JAX,12/28vs. IND
James Anderson,,,,P,,,,,,,,,,,,
Jackie Battle,P,P,,,,,,,,,,,,,,
Brett Brackett,,,,,,,,,,,,,,,IR,IR
Zach Brown,Q,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jurrell Casey,,,,,P,,,,,,,,,,,
Zaviar Gooden,,,,,,,,,,,,,,,O,P
Shonn Greene,,,,,,D,D,P,,,,,,,Q,
Michael Griffin,,,,,,,,,,,Q,Q,,Q,,
Quentin Groves,,,,,,,,Q,,,,,,,,
Sammie Lee Hill,,,,,,,,,O,Q,,,,,,Q
Marqueston Huff,,,,,,,,,,,D,O,P,,,
Justin Hunter,,P,,,,,,,,,Q,,IR,IR,IR,IR
Gabe Ikard,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Antonio Johnson,IR,,,,,,,,,,,,,,,
Terren Jones,,,,,,,,,,,,,,,,O
Taylor Lewan,,,,,Q,,,,,,,O,O,D,D,O
Jake Locker,,,,Q,Q,O,O,O,,,,,,,D,IR
Mike Martin,O,P,,,,,,,,,,,,,,
Colin McCarthy,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Dexter McCluster,,,P,,,,,,,Q,,P,,,IR,IR
Jason McCourty,,,Q,,,,,,,,,,,,,
Zach Mettenberger,,,,,,,,,,,,,,O,D,O
Derrick Morgan,,,,,,,,,,,Q,,,,,
Michael Oher,,,,,,,,,,,,O,O,D,IR,IR
Ropati Pitoitua,,,,D,P,,O,P,,,,,,,,
Bernard Pollard,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Michael Roos,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Bishop Sankey,,,,,,,,,,,,,,,,
Brian Schwenke,,,,,,,,,,,,IR,IR,IR,IR,IR
Coty Sensabaugh,,,,,,O,D,D,P,,,,,,,
Daimion Stafford,,,,,,,,,,,P,,,O,P,
Craig Stevens,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Josh Stewart,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Byron Stingily,,,,,,,,,,,,,,O,Q,Q
Taylor Thompson,,,,D,D,O,D,D,IR,IR,IR,IR,IR,IR,IR,IR
Delanie Walker,,,,Q,P,P,,,,O,P,,,,Q,
Eric Ward,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chance Warmack,,,,,,,,,,,,,P,,,
Leon Washington,,,,,,,,,,Q,,P,,,,
Nate Washington,,,,,,,,,P,,,,,,,
Charlie Whitehurst,Q,O,P,,,,,,,,,,,,,
George Wilson,,P,,,,,P,,,,,,,,,
Kamerion Wimbley,,,,,,,,,,,,O,O,O,Q,Q
Wesley Woodyard,,,P,,,,,,,,,,,,,
Blidi Wreh-Wilson,,,,,O,P,,,,Q,O,P,Q,IR,IR,IR
Kendall Wright,,,,,,,,,,,,,O,O,Q,
