Player,09/11vs. MIN,09/18vs. DET,09/25vs. OAK,10/02vs. HOU,10/09vs. MIA,10/16vs. CLE,10/23vs. IND,10/27vs. JAX,11/06vs. SDG,11/13vs. GNB,11/20vs. IND,11/27vs. CHI,12/11vs. DEN,12/18vs. KAN,12/24vs. JAX,01/01vs. HOU
Mehdi Abdesmad,,,,,,,,,,,,,,,,IR
Jace Amaro,,,,,Q,,,,,,,,,,,
David Bass,,,,,,,,,,,,,,Q,,
Jurrell Casey,,,,,,,,,,,,,Q,Q,,
Kevin Dodd,,,,,,,,Q,,,,,IR,IR,IR,IR
Andy Gallik,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Rashad Johnson,,,,,,,,O,Q,,,,,,,
Karl Klug,,,,,,,,,,,,,,Q,IR,IR
Marcus Mariota,,,,,,,,,,,,,,,,IR
Josue Matias,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jason McCourty,,,,,,,,,,,,,,,O,Q
Derrick Morgan,,O,Q,,,,,,,,,,,,,
Bennett Okotcha,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Nate Palmer,,,,Q,,,,,,,,,,,,
Da'Norris Searcy,,,,O,O,,,,,,,,,,,
Tajae Sharpe,,,,,,,,Q,,,,,,,,
Quinton Spain,,,,,,,,O,O,,,,,,,
Daimion Stafford,,,,,,,,,,,,Q,,,,
Phillip Supernaw,,,,,,,,,,,,O,,,,
Delanie Walker,,,Q,Q,,,,,Q,,,,,,,
Aaron Wallace,,,,,,,,,Q,Q,,,,,,
Chance Warmack,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
