Player,09/10vs. OAK,09/17vs. JAX,09/24vs. SEA,10/01vs. HOU,10/08vs. MIA,10/16vs. IND,10/22vs. CLE,11/05vs. BAL,11/12vs. CIN,11/16vs. PIT,11/26vs. IND,12/03vs. HOU,12/10vs. ARI,12/17vs. SFO,12/24vs. LAR,12/31vs. JAX,01/06vs. KAN,01/13vs. NWE
Daren Bates,,,,,,Q,,,,,,,,,,,,
Kourtnei Brown,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jurrell Casey,,,,Q,,,,,,,,,,,,,,
Johnathan Cyprien,,O,O,O,O,O,O,,,,,,,Q,,,,
Corey Davis,,,O,O,O,O,O,,,,,,,,,,,
Harry Douglas,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,IR,IR,IR,IR,IR,
DaQuan Jones,,,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Marcus Mariota,,,,,Q,Q,,,,,,,,,,,,
Rishard Matthews,,,,,,,,,,,Q,Q,,,,,,
Mekale McKay,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Derrick Morgan,,,,,,,Q,,,,,,O,O,,,,
DeMarco Murray,,,Q,,,,Q,,,,,,,,,O,O,O
Victor Ochi,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Nate Palmer,,,,,,,,Q,,,,,,,,,,
Logan Ryan,,,,,,,,,,,,,,,Q,Q,,
Tajae Sharpe,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
LeShaun Sims,O,,,,,,,,,,,,,,IR,IR,IR,IR
Tye Smith,,O,,,,,,,,,,,,,,,,
Quinton Spain,,,,,,,,O,O,,,,,,,,Q,
Phillip Supernaw,,,,,,,,,,,,,,Q,,,,
Alex Tanney,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brynden Trawick,,,,,,,,,Q,,,,,,,,,
Delanie Walker,,,,,,,Q,Q,Q,,,,,,,,,
Aaron Wallace,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
