Player,09/08vs. CLE,09/15vs. IND,09/19vs. JAX,09/29vs. ATL,10/06vs. BUF,10/13vs. DEN,10/20vs. LAC,10/27vs. TAM,11/03vs. CAR,11/10vs. KAN,11/24vs. JAX,12/01vs. IND,12/08vs. OAK,12/15vs. HOU,12/22vs. NOR,12/29vs. HOU,01/04vs. NWE,01/11vs. BAL,01/19vs. KAN
Daren Bates,,,,,,,,,,,,,O,O,,,,,
Cameron Batson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jayon Brown,,,,,,,D,,,O,,,,,,,,O,Q
Malcolm Butler,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jurrell Casey,,,,,,,,,O,O,,,,,,,,,
Jack Conklin,,,,,,,,,,,,,,,,,,,Q
Kamalei Correa,,,,,,,,Q,,,,,,,,,,,
Dane Cruikshank,,,,,,,,,,,,,,,,,Q,,
Corey Davis,,,,,,,,,,D,,,,,,,,,
Rashaan Evans,,,,,,,,,,,,,,,,,,,Q
Sharif Finch,,,,,,O,O,O,,,,,,,,,,,
David Fluellen,,Q,O,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Reggie Gilbert,O,O,,,,,Q,,,,,,,,,,,,
Derrick Henry,,,,,,,,,,,,,,Q,Q,,,,
Cody Hollister,,,,,,,,,,,,,,,,Q,Q,Q,Q
Adam Humphries,,,,,,,,,,,,,O,O,O,O,O,O,Q
Adoree' Jackson,,,,,,,,O,,,,,O,O,O,O,,,Q
Ben Jones,,,,,,,,,O,,,,,,,,,,
Joshua Kalu,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,
David Long,,,,,,,,,,,,,,,,,,,Q
Christopher Milton,,,O,,,Q,O,O,Q,,,IR,IR,IR,IR,IR,IR,IR,IR
Kevin Pamphile,Q,O,O,O,O,,,,,,D,,,,,,,,
Kalif Raymond,,,,,,,,,,,,,,,,O,Q,,
Derick Roberson,,,,,,,,,,,,,O,,,,,,
Tajae Sharpe,,,,,,,,,,,,,Q,,,,,,
Jeffery Simmons,IR,IR,IR,IR,IR,IR,IR,,,,,,,,Q,,,,
LeShaun Sims,,,,,,,,,,,,O,O,,,,,,
Rod Smith,,,,,,Q,,,,,,,,,,,,,
Ryan Succop,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,IR,IR,IR,IR,IR
Kenny Vaccaro,,,,,,,,,,,,,,Q,,,,,
Cameron Wake,,,,,Q,O,Q,,,,,IR,IR,IR,IR,IR,IR,IR,IR
D'Andre Walker,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Delanie Walker,,,,,,,Q,O,O,O,D,IR,IR,IR,IR,IR,IR,IR,IR
Jordan Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Wesley Woodyard,,,Q,,,,,,,,,,,,,,,,
