Player,09/14vs. DEN,09/20vs. JAX,09/27vs. MIN,10/13vs. BUF,10/18vs. HOU,10/25vs. PIT,11/01vs. CIN,11/08vs. CHI,11/12vs. IND,11/22vs. BAL,11/29vs. IND,12/06vs. CLE,12/13vs. JAX,12/20vs. DET,12/27vs. GNB,01/03vs. HOU,01/10vs. BAL
Daren Bates,,,,,,,,,,,,,,,,Q,
Vic Beasley,O,Q,,,,,,,,,,,,,,,
Khari Blasingame,,,,,,,,,,,,,,,,Q,
Breon Borders,,,,,,,,,,,,,IR,IR,IR,IR,IR
Aaron Brewer,,,,,,,,,,,,,,,,,C19
A.J. Brown,,O,O,Q,,,,,,,,,,,,,
Jayon Brown,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Malcolm Butler,,Q,,,,,,,,,,,,,,,
Jadeveon Clowney,,,,,,,,Q,,O,IR,IR,IR,IR,IR,IR,IR
Dane Cruikshank,IR,IR,IR,IR,IR,IR,O,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Corey Davis,Q,,,,,,,,,,,,,,,,
Jamil Douglas,O,Q,,,,,,,,,,,,,,,
Darrynton Evans,O,O,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,
Kristian Fulton,,,,,,,O,IR,IR,IR,IR,IR,IR,IR,,,
Reggie Gilbert,//,,,,,,,,,,,,,,,,
Stephen Gostkowski,,,,,,,,,,,,,,,,C19,C19
Adam Humphries,,,,,,,,O,O,O,O,,IR,IR,IR,IR,IR
Adoree' Jackson,O,IR,IR,IR,IR,IR,IR,IR,IR,O,,O,O,Q,,,
Chris Jackson,,,O,,,,,,,,C19,C19,C19,,,,
Ben Jones,,,,,,,,,,Q,Q,,,,,,
DaQuan Jones,,,,,Q,,,,,,,,,,,,
Brett Kern,,,,,,,,IR,IR,IR,IR,,,,,C19,
Taylor Lewan,,,,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
David Long,,,,,,,,,,C19,C19,,,,,,
Anthony McKinney,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Daniel Munyer,,,,,,,Q,,,,,,,,,,
Larrell Murchison,,,,,,,,,,O,,,,,,,
Kareem Orr,,,,,,,,,,Q,IR,IR,IR,,,,
Senorise Perry,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,
MyCole Pruitt,,,,,,,,,O,O,O,,,,,,
Kalif Raymond,,,,,,,,,,,,,,C19,C19,,
Derick Roberson,O,Q,O,,,,O,,,,,,Q,,O,O,
Rodger Saffold,,,,,,,,,,O,Q,Q,,Q,,,
Ty Sambrailo,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Jeffery Simmons,,,,,,,,,,,,Q,,,,,
Jonnu Smith,,,,,,,,,,,,O,,,,,
Tye Smith,,,,,,,Q,IR,IR,IR,IR,,,,,,
Geoff Swaim,,,,,,,,,,,,,,Q,,,
Teair Tart,,,,,,,,,,,,,,,,,C19
Kenny Vaccaro,,,,,,,,,,O,,,,Q,,,
Isaiah Wilson,,,,,,,,,,,,O,IR,IR,IR,IR,IR
