,index,Player,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Year,Salary
0,0,Howie Auer,24.0,25.0,T,2,1.0,205.0,6-1,Michigan,1/9/1908,Rook,,,1933,
1,1,Joe Carpe,24.0,30.0,T,2,1.0,197.0,6-0,Millikin,1/23/1903,7,,,1933,
2,2,Joe Carter,31.0,24.0,E,9,8.0,201.0,6-1,"Austin,SMU",7/23/1909,Rook,,,1933,
3,3,Paul Cuba,23.0,25.0,T,9,8.0,212.0,6-0,Pittsburgh,6/12/1908,Rook,,,1933,
4,4,Red Davis,16.0,26.0,TB,7,7.0,195.0,5-11,Geneva,11/14/1907,Rook,,,1933,
5,5,Nip Felber,32.0,24.0,E,1,0.0,190.0,6-2,North Dakota,3/25/1909,1,,,1933,
6,6,Dick Fencl,29.0,24.0,E,5,1.0,160.0,5-11,Northwestern,2/24/1909,Rook,,,1933,
7,7,Bob Gonya,27.0,23.0,T,2,1.0,208.0,6-2,Northwestern,6/15/1910,Rook,,,1933,
8,8,Swede Hanson,14.0,26.0,B,9,7.0,192.0,6-1,Temple,11/10/1907,2,,,1933,
9,9,George Kenneally,13.0,31.0,E,8,8.0,190.0,6-0,St. Bonaventure,4/12/1902,7,,,1933,
10,10,Red Kirkman,19.0,28.0,B,9,8.0,195.0,6-1,"Case Western Reserve,Washington & Jefferson",10/17/1905,Rook,,,1933,
11,11,Art Koeninger,30.0,27.0,C,1,1.0,202.0,6-1,Chattanooga,11/1/1906,2,,,1933,
12,12,Joe Kresky,26.0,27.0,G,9,9.0,215.0,6-0,Wisconsin,4/27/1906,1,,,1933,
13,13,Rick Lackman,15.0,23.0,HB,4,0.0,186.0,5-11,none,9/20/1910,Rook,,,1933,
14,14,Porter Lainhart,18.0,26.0,QB,1,0.0,180.0,6-0,Washington St.,11/6/1907,Rook,,,1933,
15,15,Milton Leathers,27.0,25.0,G,4,0.0,198.0,5-11,Georgia,12/16/1908,Rook,,,1933,
16,16,Roy Lechthaler,34.0,25.0,G,4,1.0,198.0,5-10,Lebanon Valley,4/1/1908,Rook,,,1933,
17,17,Tex Leyendecker,35.0,27.0,T,2,0.0,235.0,6-1,Vanderbilt,2/3/1906,Rook,,,1933,
18,18,John Lipski,20.0,,C,8,6.0,200.0,5-11,Temple,0/0/0,Rook,,,1933,
19,19,Harry O'Boyle,16.0,29.0,B,2,0.0,178.0,5-9,Notre Dame,11/3/1904,5,,,1933,
20,20,Henry Obst,22.0,27.0,G,1,0.0,192.0,5-11,Syracuse,12/23/1906,2,,,1933,
21,21,Nick Prisco,18.0,24.0,TB,2,0.0,193.0,5-8,Rutgers,1/12/1909,Rook,,,1933,
22,22,Jack Roberts,12.0,23.0,B,9,6.0,210.0,6-0,Georgia,9/27/1910,1,,,1933,
23,23,Ev Rowan,32.0,31.0,E,2,1.0,187.0,6-1,Ohio St.,10/18/1902,3,,,1933,
24,24,Reb Russell,15.0,28.0,B,7,4.0,205.0,6-1,"Nebraska,Northwestern",5/31/1905,Rook,,,1933,
25,25,Dick Smith,35.0,21.0,C,3,2.0,225.0,6-2,Ohio St.,1/24/1912,Rook,,,1933,
26,26,Ray Smith,29.0,25.0,C,1,0.0,195.0,5-10,"Tulsa,Missouri",8/27/1908,3,,,1933,
