,Division Placement,Points For,Points for Per Game,Points For Ranking,Points Against,Points Against Per Game,Points Against Ranking,Expected Wins,Expected Losses,Team Rating SRS,SRS rank,Strength of Schedule
1933,4,77,8.6,7,158,17.6,9,1.4,7.6,-9.25,8,-0.25
1934,3,127,11.5,4,85,7.7,4,7.9,3.1,-0.42,7,-4.24
1935,5,60,5.5,9,179,16.3,8,0.8,10.2,-11.02,9,-0.20
1936,5,51,4.3,9,206,17.2,9,0.4,11.6,-13.79,9,-0.87
1937,5,86,7.8,8,177,16.1,9,1.7,9.3,-9.78,10,-1.51
1938,4,154,14.0,4,164,14.9,7,5.1,5.9,-1.59,6,-0.68
1939,4,105,9.5,9,200,18.2,7,2.0,9.0,-7.60,7,1.04
1940,5,111,10.1,9,211,19.2,9,2.0,9.0,-8.61,9,.48
1941,4,119,10.8,8,218,19.8,8,2.1,8.9,-9.85,9,-0.85
1942,5,134,12.2,7,239,21.7,9,2.2,8.8,-5.84,8,3.70
1943,3,225,22.5,4,230,23.0,6,4.9,5.1,-1.52,5,-1.02
1944,2,267,26.7,1,131,13.1,2,8.4,1.6,11.56,1,-2.04
1945,2,272,27.2,1,133,13.3,2,8.4,1.6,10.13,2,-3.77
1946,2,231,21.0,5,220,20.0,7,5.8,5.2,1.54,8,.54
1947,1,308,25.7,2,242,20.2,5,7.7,4.3,2.49,9,-3.01
1948,1,376,31.3,2,156,13.0,2,10.7,1.3,15.45,2,-2.88
1949,1,364,30.3,1,134,11.2,1,11.0,1.0,17.07,1,-2.10
1950,3,254,21.2,7,141,11.8,1,9.6,2.4,13.02,2,3.60
1951,5,234,19.5,9,264,22.0,7,5.1,6.9,-1.55,7,.95
1952,2,252,21.0,7,271,22.6,7,5.5,6.5,-2.43,8,-0.84
1953,2,352,29.3,3,215,17.9,3,9.2,2.8,10.37,3,-1.05
1954,2,284,23.7,7,230,19.2,4,7.5,4.5,1.63,8,-2.87
1955,4,248,20.7,6,231,19.3,4,6.5,5.5,4.62,3,3.20
1956,6,143,11.9,12,215,17.9,5,3.3,8.7,-6.53,12,-0.53
1957,5,173,14.4,11,230,19.2,5,4.0,8.0,-4.16,10,.59
1958,5,235,19.6,10,306,25.5,9,4.2,7.8,-7.73,11,-1.82
1959,2,268,22.3,4,278,23.2,9,5.7,6.3,-2.63,8,-1.80
1960,1,321,26.8,3,246,20.5,7,7.8,4.2,6.68,4,.43
1961,2,361,25.8,3,297,21.2,8,8.6,5.4,1.94,9,-2.63
1962,7,282,20.1,11,356,25.4,9,5.1,8.9,-7.73,19,-2.44
1963,7,242,17.3,12,381,27.2,11,3.6,10.4,-8.37,18,1.55
1964,3,312,22.3,6,313,22.4,8,7.0,7.0,-3.59,17,-3.52
1965,5,363,25.9,5,359,25.6,11,7.1,6.9,-5.98,17,-6.26
1966,2,326,23.3,5,340,24.3,11,6.7,7.3,-3.04,17,-2.04
1967,2,351,25.1,4,409,29.2,15,5.7,8.3,-5.34,20,-1.20
1968,4,202,14.4,15,351,25.1,13,3.0,11.0,-10.78,23,-0.14
1969,4,279,19.9,8,377,26.9,13,4.6,9.4,-8.33,24,-1.33
1970,5,241,17.2,19,332,23.7,22,4.5,9.5,-4.47,20,2.03
