,G#,Opp,Spread,Over/Under,Result,vs. Line,OU Result,Year
0,1,RAM,6.0,0.0,"L, 14-16",Won,Over,1978
1,2,@WAS,3.5,0.0,"L, 30-35",Lost,Over,1978
2,3,@NOR,0.0,0.0,"W, 24-17",Won,Over,1978
3,4,MIA,2.5,0.0,"W, 17-3",Won,Over,1978
4,5,@BAL,-5.5,0.0,"W, 17-14",Lost,Over,1978
5,6,@NWE,7.0,0.0,"L, 14-24",Lost,Over,1978
6,7,WAS,1.5,0.0,"W, 17-10",Won,Over,1978
7,8,@DAL,8.0,0.0,"L, 7-14",Won,Over,1978
8,9,STL,-11.0,0.0,"L, 10-16",Lost,Over,1978
9,10,GNB,-3.5,0.0,"W, 10-3",Won,Over,1978
10,11,NYJ,-4.0,0.0,"W, 17-9",Won,Over,1978
11,12,@NYG,-2.0,0.0,"W, 19-17",Push,Over,1978
12,13,@STL,3.5,0.0,"W, 14-10",Won,Over,1978
13,14,@MIN,3.0,0.0,"L, 27-28",Won,Over,1978
14,15,DAL,4.5,0.0,"L, 13-31",Lost,Over,1978
15,16,NYG,-6.5,0.0,"W, 20-3",Won,Over,1978
16,17,@ATL,2.5,0.0,"L, 13-14",Won,Over,1978
17,1,NYG,-7.0,31.5,"W, 23-17",Lost,Over,1979
18,2,ATL,-4.0,35.5,"L, 10-14",Lost,Under,1979
19,3,@NOR,3.0,42.0,"W, 26-14",Won,Under,1979
20,4,@NYG,-5.0,37.0,"W, 17-13",Lost,Under,1979
21,5,PIT,4.0,36.0,"W, 17-14",Won,Under,1979
22,6,WAS,-1.0,37.0,"W, 28-17",Won,Over,1979
23,7,@STL,3.0,38.0,"W, 24-20",Won,Over,1979
24,8,@WAS,-2.0,38.0,"L, 7-17",Lost,Under,1979
25,9,@CIN,3.0,38.0,"L, 13-37",Lost,Over,1979
26,10,CLE,-3.0,41.0,"L, 19-24",Lost,Over,1979
27,11,@DAL,10.0,38.0,"W, 31-21",Won,Over,1979
28,12,STL,-3.0,39.0,"W, 16-13",Push,Under,1979
29,13,@GNB,-4.0,36.0,"W, 21-10",Won,Under,1979
30,14,DET,-8.0,37.0,"W, 44-7",Won,Over,1979
31,15,DAL,3.0,40.0,"L, 17-24",Lost,Over,1979
32,16,@HOU,4.0,39.0,"W, 26-20",Won,Over,1979
33,17,CHI,-6.5,0.0,"W, 27-17",Won,Over,1979
34,18,@TAM,-4.5,0.0,"L, 17-24",Lost,Over,1979
35,1,DEN,-3.0,38.0,"W, 27-6",Won,Under,1980
36,2,@MIN,4.0,40.0,"W, 42-7",Won,Over,1980
37,3,NYG,-10.0,40.0,"W, 35-3",Won,Under,1980
38,4,@STL,-6.0,44.0,"L, 14-24",Lost,Under,1980
39,5,WAS,-7.0,35.0,"W, 24-14",Won,Over,1980
40,6,@NYG,-8.0,41.0,"W, 31-16",Won,Over,1980
41,7,DAL,-3.0,41.0,"W, 17-10",Won,Under,1980
42,8,CHI,-7.0,34.0,"W, 17-14",Lost,Under,1980
43,9,@SEA,-2.0,38.0,"W, 27-20",Won,Over,1980
44,10,@NOR,-9.0,43.0,"W, 34-21",Won,Over,1980
45,11,@WAS,-6.0,38.0,"W, 24-0",Won,Under,1980
46,12,OAK,-6.0,43.0,"W, 10-7",Lost,Under,1980
47,13,@SDG,3.0,42.0,"L, 21-22",Won,Over,1980
48,14,ATL,-6.0,40.0,"L, 17-20",Lost,Under,1980
49,15,STL,-9.0,39.0,"W, 17-3",Won,Under,1980
50,16,@DAL,5.0,42.0,"L, 27-35",Lost,Over,1980
51,17,MIN,-7.0,38.0,"W, 31-16",Won,Over,1980
52,18,DAL,1.0,43.0,"W, 20-7",Won,Under,1980
53,19,OAK,-3.0,37.5,"L, 10-27",Lost,Under,1980
54,1,@NYG,-6.0,38.0,"W, 24-10",Won,Under,1981
55,2,NWE,-3.5,39.0,"W, 13-3",Won,Under,1981
56,3,@BUF,4.0,38.0,"W, 20-14",Won,Under,1981
57,4,WAS,-9.0,37.0,"W, 36-13",Won,Over,1981
58,5,ATL,-2.0,39.0,"W, 16-13",Won,Under,1981
59,6,@NOR,-9.0,37.0,"W, 31-14",Won,Over,1981
60,7,@MIN,-3.5,44.0,"L, 23-35",Lost,Over,1981
61,8,TAM,-9.5,37.0,"W, 20-10",Won,Under,1981
62,9,DAL,-3.0,39.0,"L, 14-17",Lost,Under,1981
63,10,@STL,-4.5,42.0,"W, 52-10",Won,Over,1981
64,11,BAL,-14.0,48.0,"W, 38-13",Won,Over,1981
65,12,NYG,-10.0,38.0,"L, 10-20",Lost,Under,1981
66,13,@MIA,-3.0,45.0,"L, 10-13",Lost,Under,1981
67,14,@WAS,-4.0,41.0,"L, 13-15",Lost,Under,1981
68,15,@DAL,3.5,39.0,"L, 10-21",Lost,Under,1981
69,16,STL,-9.0,39.0,"W, 38-0",Won,Under,1981
70,17,NYG,-7.0,31.5,"L, 21-27",Lost,Over,1981
71,1,WAS,-6.5,37.0,"L, 34-37",Lost,Over,1982
72,2,@CLE,2.5,42.0,"W, 24-21",Won,Over,1982
73,3,CIN,-1.0,40.0,"L, 14-18",Lost,Under,1982
74,4,@WAS,2.5,42.0,"L, 9-13",Lost,Under,1982
75,5,STL,-5.5,39.0,"L, 20-23",Lost,Over,1982
76,6,@NYG,2.0,37.0,"L, 7-23",Lost,Under,1982
77,7,HOU,-6.0,35.0,"W, 35-14",Won,Over,1982
78,8,@DAL,8.0,41.0,"W, 24-20",Won,Over,1982
79,9,NYG,-4.0,36.0,"L, 24-26",Lost,Over,1982
80,1,@SFO,3.5,40.5,"W, 22-17",Won,Under,1983
