Player,09/13vs. CAR,09/20vs. NOR,09/27vs. KAN,10/11vs. TAM,10/18vs. OAK,10/26vs. WAS,11/01vs. NYG,11/08vs. DAL,11/15vs. SDG,11/22vs. CHI,11/29vs. WAS,12/06vs. ATL,12/13vs. NYG,12/20vs. SFO,12/27vs. DEN,01/03vs. DAL,01/09vs. DAL
Victor Abiamiri,,P,P,,,O,O,D,P,P,P,P,P,P,P,,
Shawn Andrews,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jason Avant,,,,,,,,,,,P,P,P,P,,,P
Stewart Bradley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Reggie Brown,,,,,,,,,,,,,,,P,P,P
Sheldon Brown,,,,,P,P,,,P,D,P,P,,Q,P,,
Brodrick Bunkley,,,,,,P,,P,P,,,P,,,,,
Brent Celek,,,,,,,,,,,,P,P,P,,,P
Chris Clemons,,,,,P,,P,P,,,,,,,,,
Nick Cole,P,,,,,P,P,P,,P,P,P,P,P,P,P,P
Trent Cole,,,,,,,,,,,,,,P,P,,
Kevin Curtis,P,P,D,O,O,O,O,O,O,O,O,O,O,P,O,,
Quintin Demps,,O,D,O,,,,,O,O,P,P,,,O,O,P
Antonio Dixon,,,,,,P,,,,P,,,,,,,
Jon Dorenbos,,,,,,P,,,,,,,,,,,
King Dunlap,P,P,,,,,,,,,,,,,,,
Moise Fokou,P,,,,,,,,P,,,,,,,,
Omar Gaither,,,P,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Gocong,,,,,,,,IR,P,P,,,,,,,
Joselio Hanson,,,,,,,,,,,,,P,,,,
Victor Harris,,,,,,P,O,P,P,P,P,,,,,,
Todd Herremans,O,O,O,O,O,P,P,P,P,,,P,P,,,,
Ellis Hobbs,,,,P,P,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Darren Howard,P,,,,P,P,P,P,,,,,,,,,
Cornelius Ingram,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
DeSean Jackson,,,P,,,P,P,P,P,,,D,P,,,,P
Jamaal Jackson,,,,,,,,,,,,,,,,IR,IR
Max Jean-Gilles,,P,P,P,,O,O,O,,,,,,,,P,P
Akeem Jordan,,,,,P,P,P,,D,D,D,O,P,P,P,,
Winston Justice,P,P,P,P,,,,,,,P,,,,,,P
Trevor Laws,,,,,,,,,,,,,P,Q,,,
Jeremy Maclin,,,,,,P,P,P,P,P,P,P,Q,O,P,P,P
Joe Mays,O,D,P,,,,,,,,,,P,,,,
Donovan McNabb,,D,D,P,P,P,,,,,,,,,,,
Juqua Parker,,,,,,,,,,,,,,,,,P
Dimitri Patterson,P,,O,P,O,O,D,O,P,,,,,,P,,P
Mike Patterson,P,,,,,,,,P,P,P,P,P,P,P,,
Jason Peters,,,,,,P,P,P,O,P,P,,P,,,,
Saverio Rocca,,,,,,,P,,,,,,,,,,
Asante Samuel,,,P,,P,,,P,,,P,P,,,,,
Jeremiah Trotter,,,,,,,,,P,,P,,,,,,
Fenuki Tupou,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Michael Vick,,,P,,,,,,,,,,,,O,O,P
Leonard Weaver,P,,,,,,,,P,P,P,,,P,,,
Brian Westbrook,P,,O,P,,P,O,O,,O,O,O,O,D,P,,
Tracy White,P,,,,,,,,,,,P,P,P,,,
Will Witherspoon,,,,,,P,,,,,,P,,,,,
