Player,09/12vs. GNB,09/19vs. DET,09/26vs. JAX,10/03vs. WAS,10/10vs. SFO,10/17vs. ATL,10/24vs. TEN,11/07vs. IND,11/15vs. WAS,11/21vs. NYG,11/28vs. CHI,12/02vs. HOU,12/12vs. DAL,12/19vs. NYG,12/28vs. MIN,01/02vs. DAL,01/09vs. GNB
Victor Abiamiri,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP
David Akers,,,,,,,,,,,,P,,,,,
Nate Allen,,,,,,,,,D,P,,,,,IR,IR,IR
Jason Avant,,P,,,,,,,,,,,,,,,
Antwan Barnes,P,P,,,,,,,,,,,,,,,
Mike Bell,,P,,Q,,,,,,,,,,,,,
Stewart Bradley,,D,P,,,,,,,,,,,O,O,O,D
Brodrick Bunkley,,P,,,,O,O,P,P,P,P,,,,,,
Jorrick Calvin,,,,,P,,,,,P,P,P,P,P,IR,IR,IR
Brent Celek,,,P,P,P,P,P,,,,,,,,,,
Keenan Clayton,,,,,,,,,,,,,,O,D,P,
Nick Cole,,P,,O,O,O,P,P,P,P,P,P,P,P,P,P,P
Trent Cole,,,,,P,P,,,,,,,,,,P,
Kurt Coleman,,,,,,,P,,,,,,,,,,
Riley Cooper,,,,,O,O,P,,,,,O,P,,,,
Antonio Dixon,,,,,,,,,,,P,,,,,,
King Dunlap,,,,,,,P,O,D,P,,,,,,,
Moise Fokou,,,,,,,,,,,,,,,P,,
Brandon Graham,,,P,P,,,P,P,,,,,,IR,IR,IR,IR
Clay Harbor,,,,,,,,,,,,,,P,P,P,P
Antoine Harris,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Todd Herremans,,P,P,,P,P,,,P,,P,,,,,,P
Ellis Hobbs,,,,,,,,D,O,P,IR,IR,IR,IR,IR,IR,IR
Austin Howard,,O,O,O,O,O,Q,,,,,,,,,,
DeSean Jackson,,,,,,,O,P,,,,,,P,P,O,P
Jamaal Jackson,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Marlin Jackson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Max Jean-Gilles,,,,,,,,,D,,,,,,,,Q
Akeem Jordan,,P,,,P,,,,,,,,,,,,
Winston Justice,,,,,,,P,,,,,,O,O,P,O,P
Kevin Kolb,,D,P,,,,,,,,,,,,,,
Trevor Laws,,P,P,,,,,,,,,,,,,O,P
Trevard Lindley,,,,,,,,,,,,P,,,,,
Jeremy Maclin,,,,P,,,,,,,,,,,,,
LeSean McCoy,,,,,P,P,P,,,P,P,P,,,,,
Mike McGlynn,,,,,,,,,,,,,,,,Q,
Juqua Parker,,,,,,,,P,P,Q,O,O,P,,,,
Dimitri Patterson,,,,,,P,,,,,,,,,,,
Mike Patterson,,,,,,,,,,,,,,,Q,O,P
Jason Peters,,P,,,,O,O,P,,,,,,,,,
Saverio Rocca,,P,,,,,,,,,,,,,,,
Asante Samuel,,,,,O,Q,,,,,O,O,O,P,,O,P
Ricky Sapp,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ernie Sims,,P,,P,,,,,,P,P,,,,,,
Michael Vick,,,,,D,D,O,P,,,,,P,,,O,P
Leonard Weaver,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Reggie Wells,,,,,P,,,,,,,,,,,,
