Player,09/11vs. STL,09/18vs. ATL,09/25vs. NYG,10/02vs. SFO,10/09vs. BUF,10/16vs. WAS,10/30vs. DAL,11/07vs. CHI,11/13vs. ARI,11/20vs. NYG,11/27vs. NWE,12/01vs. SEA,12/11vs. MIA,12/18vs. NYJ,12/24vs. DAL,01/01vs. WAS
Victor Abiamiri,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Nate Allen,P,P,P,P,P,P,P,P,O,P,,,,P,,
Colt Anderson,,,,,,,,,,,,,IR,IR,IR,IR
Nnamdi Asomugha,,,,,,,,,,,P,P,P,P,,
Jason Avant,,,,,P,P,,,,,,,,,,
Ronnie Brown,,,,,,,,,,,,,,P,P,
Brent Celek,,,P,,P,,,P,,,,,,,,
Trent Cole,,,P,,O,O,P,,,,,,P,,,
Kurt Coleman,,,,,,,,,,,,,,,,IR
Riley Cooper,,,P,P,P,,,,,,,,,P,,
Antonio Dixon,P,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
King Dunlap,,,,,,O,P,P,,D,O,D,P,,,
Moise Fokou,,,,,P,,,,,,,D,IR,IR,IR,IR
Brandon Graham,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,P,O,Q,,,,,
Clay Harbor,P,,P,P,,,,,,,,,,,,
Todd Herremans,P,,,,,,P,,,,,,P,P,P,P
Brandon Hughes,,,,D,P,,,,,,,,,,,
DeSean Jackson,,,,,,,,,O,,P,,,,P,
Jaiquawn Jarrett,P,Q,,,,,,,,,,,,,,
Cullen Jenkins,,,,,P,P,,,,,,P,P,P,P,
Akeem Jordan,,D,P,,,,,P,,,,,,,,
Winston Justice,P,O,P,O,P,P,O,O,O,,,,,,,
Jason Kelce,,,,,,,,,P,,,,,,,
Trevor Laws,P,,,,,,,,,,,Q,P,O,O,P
Dion Lewis,,,,,,,O,,,,,,,,,
Jeremy Maclin,,,,P,,,,,,D,D,D,P,P,P,
Evan Mathis,,,,,,,,,O,P,,,,,,
LeSean McCoy,,,,,,,,P,P,,,P,,,,O
Jarrad Page,,,,,,O,Q,,,,,,,,,
Juqua Parker,P,P,D,D,P,P,P,D,P,,,,,,,
Mike Patterson,,,,,P,,,,,,,,,,,O
Jason Peters,,P,,,D,O,P,,,,,,,,,
Dominique Rodgers-Cromartie,,P,,,,,,,,D,D,D,P,P,,
Brian Rolle,,,P,,,,,,,,,,P,,,P
Asante Samuel,P,,P,,,,,,P,,,,,,O,D
Owen Schmitt,,,,,,,,P,,,,,,,,
Steve Smith,P,P,P,P,P,P,,,,,,,,IR,IR,IR
Darryl Tapp,,D,D,D,P,P,P,,,,,,,D,P,P
Julian Vandervelde,,,,,,O,Q,,,,,,,,,
Michael Vick,,,P,P,P,,,,,D,O,D,P,P,P,
Danny Watkins,P,Q,,,,,,,,,,,P,,,
Vince Young,D,D,O,,,,,,,,,,,,,
