Player,09/11vs. CLE,09/19vs. CHI,09/25vs. PIT,10/09vs. DET,10/16vs. WAS,10/23vs. MIN,10/30vs. DAL,11/06vs. NYG,11/13vs. ATL,11/20vs. SEA,11/28vs. GNB,12/04vs. CIN,12/11vs. WAS,12/18vs. BAL,12/22vs. NYG,01/01vs. DAL
Allen Barbre,,,,,,,,O,O,,,,,Q,Q,D
Kenjon Barner,,,,,,,,,,,,,,,IR,IR
Ron Brooks,,,,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Terrence Brooks,,,,,,,,,O,O,,,,,,
Trey Burton,Q,,,,,,,,Q,,,,,,,
Brent Celek,,,,,,,,,Q,,,,,Q,,
Fletcher Cox,,,,,Q,,,,,,,,,,,
Vinny Curry,Q,,,,,,,,,,,,,,,
Jon Dorenbos,,,,,,,,,,,,,,IR,IR,IR
Zach Ertz,,O,O,,,,,,,Q,,,,,,
Dorial Green-Beckham,,,,,,,,,,,,,Q,Q,,
Kamu Grugier-Hill,,,,,,,O,O,D,,,,,Q,,
Jordan Hicks,,,,,,,,,,,,,,,,Q
Mychal Kendricks,,,Q,,,Q,,,,,,,,,,Q
Ryan Mathews,,,,,,,,,,,O,O,Q,,,IR
Jordan Matthews,,,,,,,,,,Q,,Q,Q,Q,Q,Q
Alex McCalister,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Leodis McKelvin,,O,O,,Q,Q,,,Q,,,,,,,
Isaac Seumalo,,,O,,,,,,,,,,,,Q,Q
Wendell Smallwood,,,,,,,,,,,,,,IR,IR,IR
Darren Sproles,,,,,,,,,,,,,,O,,
Matt Tobin,,,,,,,,,,,,,,IR,IR,IR
Bryce Treggs,O,,,,,,,,,,,,,,,
Halapoulivaati Vaitai,,,,,,,,,,,O,O,O,O,Q,
Joe Walker,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
