Player,09/10vs. WAS,09/17vs. KAN,09/24vs. NYG,10/01vs. LAC,10/08vs. ARI,10/12vs. CAR,10/23vs. WAS,10/29vs. SFO,11/05vs. DEN,11/19vs. DAL,11/26vs. CHI,12/03vs. SEA,12/10vs. LAR,12/17vs. NYG,12/25vs. OAK,12/31vs. DAL,01/13vs. ATL,01/21vs. MIN,02/04vs. NWE
Beau Allen,,,,,,Q,,,,,Q,,,,,,,,
Trey Burton,,,,,,,,,,,Q,,,,,,,,
Fletcher Cox,,,,O,O,Q,,,,,,,,,,,,,
Ronald Darby,,O,O,O,O,O,Q,Q,Q,,,,,,,,,,
Dannell Ellerbe,,,,,,,,,,,,,,,,,Q,Q,
Zach Ertz,,,,,,,,,Q,,,,Q,,,,,,
Randall Goforth,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brandon Graham,,,,,,,,,,,,,,,,O,,,
Corey Graham,,Q,O,O,Q,,,,,,,,,,,,,,
Jordan Hicks,,,,Q,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Alshon Jeffery,,,,,,,,,,Q,,,,,,,,,
Lane Johnson,,,,,,O,,,,,,,,,,,,,
Sidney Jones,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,Q,IR,IR
Mychal Kendricks,,,,,,,Q,,,,,,,,Q,,,,
Chris Long,,,,,,Q,,,,,,,,,,,,,
Chris Maragos,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Rodney McLeod,,,Q,Q,,,,,,,,,,,,,,,
Jalen Mills,,,,,,,,,,,,,,,Q,Q,,,
Jason Peters,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Donnel Pumphrey,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Aziz Shittu,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Wendell Smallwood,,,,,Q,Q,Q,,,,,,,,,,,,
Torrey Smith,,,Q,,,,,,,,,,,,,,,,
Darren Sproles,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Caleb Sturgis,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Destiny Vaeao,,O,O,O,Q,Q,,,,,,,,,,,,,
Joe Walker,,,,,,,,,,,,Q,Q,,,IR,IR,IR,IR
Jaylen Watkins,,,O,O,Q,Q,,,,,,,,,,,,,
Carson Wentz,,,,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Dom Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Stefen Wisniewski,,,,,,,,,,,,,,Q,Q,,,,
