,Division Placement,Points For,Points for Per Game,Points For Ranking,Points Against,Points Against Per Game,Points Against Ranking,Expected Wins,Expected Losses,Team Rating SRS,SRS rank,Strength of Schedule
1933,5,67,6.1,8,208,18.9,10,0.7,10.3,-13.08,10,-0.26
1934,5,51,4.3,10,206,17.2,9,0.4,11.6,-14.41,10,-1.50
1935,3,100,8.3,5,209,17.4,9,1.8,10.2,-9.90,8,-0.82
1936,2,98,8.2,6,187,15.6,8,2.1,9.9,-7.36,7,.06
1937,3,122,11.1,7,145,13.2,6,4.4,6.6,-3.35,7,-1.26
1938,5,79,7.2,10,169,15.4,9,1.6,9.4,-7.19,10,.99
1939,4,114,10.4,7,216,19.6,8,2.0,9.0,-9.45,8,-0.18
1940,4,60,5.5,10,178,16.2,7,0.8,10.2,-10.30,10,.43
1941,5,103,9.4,10,276,25.1,10,1.0,10.0,-14.43,10,1.30
1942,2,167,15.2,4,119,10.8,3,7.6,3.4,2.73,5,-1.64
1945,5,79,7.9,10,220,22.0,8,0.8,9.2,-14.16,10,-0.06
1946,3,136,12.4,10,117,10.6,1,6.5,4.5,.76,10,-0.97
1947,1,240,20.0,7,259,21.6,7,5.5,6.5,-4.05,12,-2.47
1948,3,200,16.7,7,243,20.3,4,4.6,7.4,-5.27,12,-1.69
1949,2,224,18.7,8,214,17.8,2,6.3,5.7,-0.13,7,-0.97
1950,3,180,15.0,13,195,16.3,4,5.4,6.6,3.21,5,4.46
1951,4,183,15.3,11,235,19.6,4,4.3,7.7,-4.14,9,.19
1952,4,300,25.0,4,273,22.8,8,6.7,5.3,4.12,5,1.87
1953,4,211,17.6,7,263,21.9,8,4.5,7.5,-3.49,7,.84
1954,4,219,18.3,9,263,21.9,7,4.7,7.3,-6.01,9,-2.34
1955,6,195,16.3,12,285,23.8,11,3.5,8.5,-3.49,8,4.01
1956,4,217,18.1,9,250,20.8,8,5.0,7.0,-2.93,8,-0.18
1957,3,161,13.4,12,178,14.8,2,5.3,6.7,-1.71,9,-0.29
1958,3,261,21.8,5,230,19.2,4,6.9,5.1,.90,7,-1.69
1959,4,257,21.4,5,216,18.0,4,7.2,4.8,1.12,7,-2.30
1960,5,240,20.0,8,275,22.9,9,5.0,7.0,-0.73,12,2.19
1961,5,295,21.1,8,287,20.5,7,7.2,6.8,-1.75,15,-2.32
1962,2,312,22.3,6,363,25.9,11,5.8,8.2,-6.74,16,-3.10
1963,4,321,22.9,6,295,21.1,8,7.7,6.3,2.94,11,1.08
1964,6,253,18.1,11,315,22.5,9,5.2,8.8,-6.86,20,-2.44
1965,7,202,14.4,14,397,28.4,12,2.3,11.7,-18.29,22,-4.37
1966,6,316,22.6,7,347,24.8,12,6.2,7.8,-4.52,18,-2.30
1967,4,281,20.1,10,320,22.9,9,5.9,8.1,-3.39,18,-0.61
1968,4,244,17.4,13,397,28.4,16,3.4,10.6,-9.99,22,.94
1969,4,218,15.6,15,404,28.9,16,2.6,11.4,-13.95,26,-0.67
1970,3,210,15.0,21,272,19.4,16,4.9,9.1,-7.44,22,-3.01
1971,2,246,17.6,17,292,20.9,17,5.6,8.4,-3.59,17,-0.30
1972,1,343,24.5,5,175,12.5,2,11.6,2.4,10.04,2,-1.96
1973,2,347,24.8,4,210,15.0,8,10.7,3.3,8.23,5,-1.55
1974,1,305,21.8,6,189,13.5,2,10.6,3.4,6.77,3,-1.52
1975,1,373,26.6,5,162,11.6,2,12.3,1.7,14.22,1,-0.86
1976,1,342,24.4,5,138,9.9,1,12.5,1.5,15.34,1,.77
1977,1,283,20.2,7,243,17.4,17,8.3,5.7,6.22,7,3.37
1978,1,356,22.3,5,195,12.2,1,12.9,3.1,8.17,2,-1.89
1979,1,416,26.0,1,262,16.4,5,12.0,4.0,11.91,1,2.29
1980,3,352,22.0,10,313,19.6,15,9.1,6.9,2.26,9,-0.18
1981,2,356,22.3,8,297,18.6,11,9.7,6.3,2.70,12,-0.99
1982,2,204,22.7,8,146,16.2,4,6.2,2.8,5.16,8,-1.29
1983,1,355,22.2,14,303,18.9,7,9.5,6.5,-0.09,13,-3.34
1984,1,387,24.2,8,310,19.4,11,10.1,5.9,3.25,10,-1.56
1985,3,379,23.7,9,355,22.2,15,8.6,7.4,-0.49,14,-1.99
1986,3,307,19.2,18,336,21.0,17,7.1,8.9,-0.96,18,.85
1987,3,285,19.0,20,299,19.9,10,7.1,7.9,.69,12,1.63
1988,4,336,21.0,13,421,26.3,28,5.9,10.1,-5.33,25,-0.02
1989,3,265,16.6,24,326,20.4,15,6.1,9.9,-3.69,21,.12
1990,3,292,18.3,20,240,15.0,3,9.8,6.2,1.62,14,-1.63
1991,2,292,18.3,17,344,21.5,22,6.5,9.5,-2.92,20,.33
1992,1,299,18.7,15,225,14.1,2,10.6,5.4,3.60,9,-1.03
1993,2,308,19.3,13,281,17.6,8,8.9,7.1,1.52,11,-0.17
1994,1,316,19.8,16,234,14.6,2,10.7,5.3,4.74,5,-0.38
1995,1,407,25.4,5,327,20.4,9,10.0,6.0,4.64,6,-0.36
1996,1,344,21.5,11,257,16.1,4,10.7,5.3,5.16,5,-0.28
1997,1,372,23.3,7,307,19.2,11,9.8,6.2,5.31,6,1.25
1998,3,263,16.4,28,303,18.9,7,6.7,9.3,-3.79,22,-1.29
1999,4,317,19.8,17,320,20.0,12,7.9,8.1,-2.41,23,-2.22
2000,3,321,20.1,17,255,15.9,6,10.1,5.9,3.91,8,-0.22
2001,1,352,22.0,7,212,13.3,3,12.3,3.7,7.35,4,-1.40
2002,1,390,24.4,8,345,21.6,16,9.2,6.8,2.70,11,-0.11
2003,3,300,18.8,19,327,20.4,15,7.2,8.8,-1.08,20,.61
2004,1,372,23.3,11,251,15.7,1,11.5,4.5,9.00,4,1.44
2005,2,389,24.3,9,258,16.1,3,11.6,4.4,7.82,5,-0.37
2006,3,353,22.1,12,315,19.7,11,9.1,6.9,3.42,10,1.04
2007,1,393,24.6,9,269,16.8,2,11.4,4.6,5.21,8,-2.54
2008,1,347,21.7,20,223,13.9,1,11.8,4.2,9.80,2,2.05
2009,3,368,23.0,12,324,20.3,12,9.2,6.8,1.69,14,-1.07
2010,1,375,23.4,12,232,14.5,1,12.1,3.9,10.22,3,1.28
2011,2,325,20.3,21,227,14.2,1,11.2,4.8,5.29,7,-0.84
2012,3,336,21.0,22,314,19.6,6,8.6,7.4,-0.66,19,-2.03
2013,2,379,23.7,16,370,23.1,14,8.2,7.8,-1.95,18,-2.52
2014,1,436,27.3,7,368,23.0,18,9.6,6.4,2.23,12,-2.02
2015,2,423,26.4,4,319,19.9,11,10.6,5.4,8.71,5,2.21
2016,1,399,24.9,10,327,20.4,10,9.9,6.1,4.74,5,.24
2017,1,406,25.4,8,308,19.3,7,10.5,5.5,5.03,7,-1.10
2018,2,428,26.8,6,360,22.5,16,9.6,6.4,5.57,7,1.32
2019,2,289,18.1,27,303,18.9,5,7.6,8.4,.29,15,1.17
2020,1,416,26.0,12,312,19.5,3,10.6,5.4,4.65,9,-1.85
2021,1,40,20.0,24,42,21.0,9,0.9,1.1,40.84,1,41.84
