,G#,Opp,Spread,Over/Under,Result,vs. Line,OU Result,Year
0,1,@BUF,-10.5,0.0,"W, 28-17",Won,Over,1978
1,2,SEA,-13.5,0.0,"W, 21-10",Lost,Over,1978
2,3,@CIN,-4.5,0.0,"W, 28-3",Won,Over,1978
3,4,CLE,-4.5,0.0,"W, 15-9",Won,Over,1978
4,5,@NYJ,-12.5,0.0,"W, 28-17",Lost,Over,1978
5,6,ATL,-9.0,0.0,"W, 31-7",Won,Over,1978
6,7,@CLE,-4.0,0.0,"W, 34-14",Won,Over,1978
7,8,HOU,-7.5,0.0,"L, 17-24",Lost,Over,1978
8,9,KAN,-14.0,0.0,"W, 27-24",Lost,Over,1978
9,10,NOR,-10.5,0.0,"W, 20-14",Lost,Over,1978
10,11,@RAM,3.0,0.0,"L, 7-10",Push,Over,1978
11,12,CIN,-11.0,0.0,"W, 7-6",Lost,Over,1978
12,13,@SFO,-7.5,0.0,"W, 24-7",Won,Over,1978
13,14,@HOU,2.5,0.0,"W, 13-3",Won,Over,1978
14,15,BAL,-10.5,0.0,"W, 35-13",Won,Over,1978
15,16,@DEN,1.5,0.0,"W, 21-17",Won,Over,1978
16,17,DEN,-7.0,0.0,"W, 33-10",Won,Over,1978
17,18,HOU,-7.0,0.0,"W, 34-5",Won,Over,1978
18,19,DAL,-3.5,37.0,"W, 35-31",Won,Over,1978
19,1,@NWE,-2.0,37.0,"W, 16-13",Won,Under,1979
20,2,HOU,-6.0,37.0,"W, 38-7",Won,Over,1979
21,3,@STL,-6.0,40.0,"W, 24-21",Lost,Over,1979
22,4,BAL,-14.0,38.0,"W, 17-13",Lost,Under,1979
23,5,@PHI,-4.0,36.0,"L, 14-17",Lost,Under,1979
24,6,@CLE,-4.0,36.0,"W, 51-35",Won,Over,1979
25,7,@CIN,-10.0,39.0,"L, 10-34",Lost,Over,1979
26,8,DEN,-7.0,37.0,"W, 42-7",Won,Over,1979
27,9,DAL,-3.0,39.0,"W, 14-3",Won,Under,1979
28,10,WAS,-11.0,37.0,"W, 38-7",Won,Over,1979
29,11,@KAN,-10.0,38.0,"W, 30-3",Won,Under,1979
30,12,@SDG,-4.0,39.0,"L, 7-35",Lost,Over,1979
31,13,CLE,-10.0,42.0,"W, 33-30",Lost,Over,1979
32,14,CIN,-14.0,44.0,"W, 37-17",Won,Over,1979
33,15,@HOU,-3.0,42.5,"L, 17-20",Lost,Under,1979
34,16,BUF,-12.0,39.0,"W, 28-0",Won,Under,1979
35,17,MIA,-9.5,0.0,"W, 34-14",Won,Over,1979
36,18,HOU,-9.5,0.0,"W, 27-13",Won,Over,1979
37,19,RAM,-10.0,36.0,"W, 31-19",Won,Over,1979
38,1,HOU,-7.0,40.0,"W, 31-17",Won,Over,1980
39,2,@BAL,-7.0,40.0,"W, 20-17",Lost,Under,1980
40,3,@CIN,-7.0,39.0,"L, 28-30",Lost,Over,1980
41,4,CHI,-13.0,39.0,"W, 38-3",Won,Over,1980
42,5,@MIN,-8.0,46.0,"W, 23-17",Lost,Under,1980
43,6,CIN,-13.0,40.0,"L, 16-17",Lost,Under,1980
44,7,OAK,-10.0,45.0,"L, 34-45",Lost,Over,1980
45,8,@CLE,-3.0,44.0,"L, 26-27",Lost,Over,1980
46,9,GNB,-13.0,41.0,"W, 22-20",Lost,Over,1980
47,10,@TAM,-7.0,43.0,"W, 24-21",Lost,Over,1980
48,11,CLE,-6.0,44.0,"W, 16-13",Lost,Under,1980
49,12,@BUF,-2.0,42.0,"L, 13-28",Lost,Under,1980
50,13,MIA,-6.0,41.0,"W, 23-10",Won,Under,1980
51,14,@HOU,2.0,40.0,"L, 0-6",Lost,Under,1980
52,15,KAN,-8.0,41.0,"W, 21-16",Lost,Under,1980
53,16,@SDG,4.0,44.0,"L, 17-26",Lost,Under,1980
54,1,KAN,-10.0,37.0,"L, 33-37",Lost,Over,1981
55,2,@MIA,2.0,41.0,"L, 10-30",Lost,Under,1981
56,3,NYJ,-5.5,43.0,"W, 38-10",Won,Over,1981
57,4,NWE,-4.0,46.0,"W, 27-21",Won,Over,1981
58,5,@NOR,-6.0,44.0,"W, 20-6",Won,Under,1981
59,6,CLE,-3.5,46.0,"W, 13-7",Won,Under,1981
60,7,@CIN,-1.0,45.0,"L, 7-34",Lost,Under,1981
61,8,HOU,-5.5,40.0,"W, 26-13",Won,Under,1981
62,9,SFO,-5.0,45.0,"L, 14-17",Lost,Under,1981
63,10,@SEA,-5.0,43.0,"L, 21-24",Lost,Over,1981
64,11,@ATL,5.0,44.0,"W, 34-20",Won,Over,1981
65,12,@CLE,3.0,44.0,"W, 32-10",Won,Under,1981
66,13,RAM,-6.5,45.0,"W, 24-0",Won,Under,1981
67,14,@OAK,-4.0,44.0,"L, 27-30",Lost,Over,1981
68,15,CIN,0.0,38.0,"L, 10-17",Lost,Under,1981
69,16,@HOU,0.0,37.0,"L, 20-21",Lost,Over,1981
70,1,@DAL,5.5,42.0,"W, 36-28",Won,Over,1982
71,2,CIN,1.0,43.0,"W, 26-20",Won,Over,1982
72,3,@HOU,-5.5,38.0,"W, 24-10",Won,Under,1982
73,4,@SEA,-6.0,43.0,"L, 0-16",Lost,Under,1982
74,5,KAN,-6.5,41.0,"W, 35-14",Won,Over,1982
75,6,@BUF,0.0,40.0,"L, 0-13",Lost,Under,1982
76,7,@CLE,-3.5,39.0,"L, 9-10",Lost,Under,1982
77,8,NWE,-7.0,36.0,"W, 37-14",Won,Over,1982
78,9,CLE,-6.0,38.0,"W, 37-21",Won,Over,1982
79,10,SDG,-1.0,53.0,"L, 28-31",Lost,Over,1982
80,1,DEN,-7.0,39.5,"L, 10-14",Lost,Under,1983
81,2,@GNB,1.0,45.0,"W, 25-21",Won,Over,1983
82,3,@HOU,-5.5,40.0,"W, 40-28",Won,Over,1983
83,4,NWE,-8.5,45.0,"L, 23-28",Lost,Over,1983
84,5,HOU,-11.0,45.0,"W, 17-10",Lost,Under,1983
85,6,@CIN,-1.0,43.5,"W, 24-14",Won,Under,1983
86,7,CLE,-2.5,39.5,"W, 44-17",Won,Over,1983
87,8,@SEA,0.0,43.5,"W, 27-21",Won,Over,1983
88,9,TAM,-10.5,43.5,"W, 17-12",Lost,Under,1983
89,10,SDG,-5.0,47.0,"W, 26-3",Won,Under,1983
90,11,@BAL,-3.5,36.5,"W, 24-13",Won,Over,1983
91,12,MIN,-7.0,41.0,"L, 14-17",Lost,Under,1983
92,13,@DET,-2.5,40.5,"L, 3-45",Lost,Over,1983
93,14,CIN,-4.0,41.5,"L, 10-23",Lost,Under,1983
94,15,@NYJ,2.0,37.0,"W, 34-7",Won,Over,1983
95,16,@CLE,3.0,38.5,"L, 17-30",Lost,Over,1983
96,17,@RAI,7.0,43.0,"L, 10-38",Lost,Over,1983
97,1,KAN,-6.5,40.5,"L, 27-37",Lost,Over,1984
98,2,@NYJ,-1.0,42.0,"W, 23-17",Won,Under,1984
99,3,RAM,-3.5,43.0,"W, 24-14",Won,Under,1984
100,4,@CLE,-2.0,39.5,"L, 10-20",Lost,Under,1984
101,5,CIN,-6.0,41.0,"W, 38-17",Won,Over,1984
102,6,MIA,4.5,46.0,"L, 7-31",Lost,Under,1984
103,7,@SFO,8.0,42.0,"W, 20-17",Won,Under,1984
104,8,@IND,-5.0,39.5,"L, 16-17",Lost,Under,1984
105,9,ATL,-3.0,42.0,"W, 35-10",Won,Over,1984
106,10,HOU,-14.0,41.0,"W, 35-7",Won,Over,1984
107,11,@CIN,-1.0,37.5,"L, 20-22",Lost,Over,1984
108,12,@NOR,-1.0,40.0,"L, 24-27",Lost,Over,1984
109,13,SDG,-3.0,46.5,"W, 52-24",Won,Over,1984
110,14,@HOU,-6.0,44.0,"L, 20-23",Lost,Under,1984
111,15,CLE,-9.0,38.0,"W, 23-20",Lost,Over,1984
112,16,@RAI,6.5,41.0,"W, 13-7",Won,Under,1984
113,17,@DEN,4.5,36.0,"W, 24-17",Won,Over,1984
114,18,@MIA,10.0,44.0,"L, 28-45",Lost,Over,1984
115,1,IND,-10.0,40.5,"W, 45-3",Won,Over,1985
116,2,@CLE,-1.5,41.0,"L, 7-17",Lost,Under,1985
117,3,HOU,-6.0,43.0,"W, 20-0",Won,Under,1985
118,4,CIN,-6.0,45.5,"L, 24-37",Lost,Over,1985
119,5,@MIA,7.0,47.5,"L, 20-24",Won,Under,1985
120,6,@DAL,5.0,43.0,"L, 13-27",Lost,Under,1985
121,7,STL,-4.0,44.0,"W, 23-10",Won,Under,1985
122,8,@CIN,-1.5,48.0,"L, 21-26",Lost,Under,1985
123,9,CLE,-4.0,36.5,"W, 10-9",Lost,Under,1985
124,10,@KAN,1.5,38.5,"W, 36-28",Won,Over,1985
125,11,@HOU,-3.0,37.5,"W, 30-7",Won,Under,1985
126,12,WAS,-5.5,36.5,"L, 23-30",Lost,Over,1985
127,13,DEN,0.0,41.0,"L, 23-31",Lost,Over,1985
128,14,@SDG,5.0,49.0,"L, 44-54",Lost,Over,1985
129,15,BUF,-10.0,38.0,"W, 30-24",Lost,Over,1985
130,16,@NYG,9.0,38.0,"L, 10-28",Lost,Push,1985
131,1,@SEA,6.0,42.0,"L, 0-30",Lost,Under,1986
132,2,DEN,5.5,40.0,"L, 10-21",Lost,Under,1986
133,3,@MIN,5.0,40.0,"L, 7-31",Lost,Under,1986
134,4,@HOU,6.5,39.0,"W, 22-16",Won,Under,1986
135,5,CLE,3.0,38.5,"L, 24-27",Push,Over,1986
136,6,@CIN,7.5,47.0,"L, 22-24",Won,Under,1986
137,7,NWE,7.0,41.0,"L, 0-34",Lost,Under,1986
138,8,CIN,4.5,41.0,"W, 30-9",Won,Under,1986
