Player,09/10vs. TEN,09/20vs. CHI,09/27vs. CIN,10/04vs. SDG,10/11vs. DET,10/18vs. CLE,10/25vs. MIN,11/09vs. DEN,11/15vs. CIN,11/22vs. KAN,11/29vs. BAL,12/06vs. OAK,12/10vs. CLE,12/20vs. GNB,12/27vs. BAL,01/03vs. MIA
Charlie Batch,,,,,,,,,,,O,O,O,,,
Rocky Boiman,,,,,,,,,,,,,,,,P
Tyrone Carter,,,P,,,,,,Q,,,,,,,
Ryan Clark,,,,,,,,O,,,,,,,,
Carey Davis,,,,,,,,,O,O,,,,,,
Dennis Dixon,O,Q,,,,,,,,,,,,,,
Trai Essex,,,,,,P,,,Q,,,,,,,
James Farrior,,,,,,P,,,,,,,,,,
Andre Frazier,,,,,P,O,O,,,,,,,,,
William Gay,,,,,,,,,,,,,,,,
James Harrison,,,P,,,,,,,,,,,,P,
Justin Hartwig,,,,P,,,,,,,,,,P,,
David Johnson,,,,O,P,,,,,,,,,,,
Brett Keisel,,,,,,,,,,,,,,P,P,O
Chris Kemoeatu,,,,,P,,,,,,O,P,P,O,O,Q
Travis Kirschke,,,,,,P,,D,O,D,P,D,Q,,,P
Keenan Lewis,,,,,,,,,,Q,,,,,O,IR
Anthony Madison,,,,,,,,,,,,,,,P,
Sean McHugh,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Rashard Mendenhall,,,,,,Q,P,,,,,,P,,P,
Willie Parker,,,,D,D,P,,,,,P,,,,P,P
Troy Polamalu,,O,O,O,D,P,P,,,O,D,D,D,O,O,O
Keiwan Ratliff,,,,Q,,,,,,,,,,,,
Ben Roethlisberger,,,,,,,,,,,O,P,P,,,
Aaron Smith,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Matt Spaeth,,,,P,,,,,,,,,,,,
Frank Summers,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Limas Sweed,,O,P,,,,,,,,,,,O,O,O
Lawrence Timmons,D,P,P,,,,,D,,,,,,,,
Mike Wallace,,,,,,,,,,Q,,,,,P,
Hines Ward,,,,,,,,,,,,,Q,P,P,P
Greg Warren,,,,,,,,,,,,,,,IR,IR
