Player,09/11vs. BAL,09/18vs. SEA,09/25vs. IND,10/02vs. HOU,10/09vs. TEN,10/16vs. JAX,10/23vs. ARI,10/30vs. NWE,11/06vs. BAL,11/13vs. CIN,11/27vs. KAN,12/04vs. CIN,12/08vs. CLE,12/19vs. SFO,12/24vs. STL,01/01vs. CLE,01/08vs. DEN
Cortez Allen,,,,,O,P,,,,,,,,,,,D
Baron Batch,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Arnaz Battle,,,,P,,,,,,O,O,O,O,Q,Q,,
Curtis Brown,,P,,,,,,,,,,,,O,IR,IR,IR
Chris Carter,D,Q,,O,,,,,,,,O,O,O,O,O,IR
Ryan Clark,,,,,,P,,,,,,,P,,,,O
Willie Colon,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jerricho Cotchery,D,D,O,,,,,,,P,,,P,,,,
Jonathan Dwyer,,,O,,,,,,,,,,IR,IR,IR,IR,IR
James Farrior,,,,,,,,O,O,P,,,P,,,,
Larry Foote,,,,,,,,,,,,O,P,,,,
Ramon Foster,,,,,,,,,,,,,D,,,,
Marcus Gilbert,P,,,,,O,,,,,,,,P,,,
Casey Hampton,,,,,O,O,O,P,,,,,,,,,Q
James Harrison,,Q,,,O,O,O,O,,P,P,,P,,P,P,P
Chris Hoke,,,,,,,D,O,,,,,IR,IR,IR,IR,IR
Brett Keisel,,,D,O,P,,,,,,,,,,,,P
Chris Kemoeatu,,O,P,,O,O,P,,,,,,,,,,
Byron Leftwich,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Doug Legursky,,,,O,,,O,O,O,P,,,,,,O,P
Bryant McFadden,,O,O,O,,,,,,,,,,,,,
Steve McLendon,,,,P,,,,,,,,,,,,,
Rashard Mendenhall,,,,,D,P,P,,,,,,P,,P,,IR
Heath Miller,,,,,,,,,,,,,P,,,,
Mewelde Moore,,,,,O,O,,,,,,,P,,O,O,O
Ryan Mundy,,,,,,,,,,,,,P,,,,
Troy Polamalu,,,,,,,,,,P,P,P,P,P,,P,P
Maurkice Pouncey,,,P,,,,P,,,,,P,P,O,O,P,O
Isaac Redman,,,,,,P,,,,,,,P,,,,
Ben Roethlisberger,,,P,,P,,,,,,P,P,P,P,D,P,P
Emmanuel Sanders,,,,,,,,,O,O,P,P,D,O,O,P,
Jonathan Scott,,,,D,,,,,P,,,,,,,,P
Daniel Sepulveda,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Aaron Smith,,,,,D,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Max Starks,,,,,,,,,,,,,,,,,
Stevenson Sylvester,,,,,,,,,,P,O,P,P,,,,
Mike Wallace,,,,P,,,P,,,,,,,,,P,
Hines Ward,,,,,,,,D,Q,P,,,,,,,
LaMarr Woodley,,,,,,,,,D,O,O,P,D,,O,D,P
Jason Worilds,,,,,O,O,O,O,,,,,,,,,
