Player,09/08vs. TEN,09/16vs. CIN,09/22vs. CHI,09/29vs. MIN,10/13vs. NYJ,10/20vs. BAL,10/27vs. OAK,11/03vs. NWE,11/10vs. BUF,11/17vs. DET,11/24vs. CLE,11/28vs. BAL,12/08vs. MIA,12/15vs. CIN,12/22vs. GNB,12/29vs. CLE
Mike Adams,,,,,,,,,Q,P,,,P,,,
Cortez Allen,,O,O,P,,,,,,,,,,,,
Kelvin Beachum,,,,,,,P,,P,P,P,,D,P,P,
Le'Veon Bell,O,O,O,P,,,,,,,,,P,,,
Curtis Brown,,D,P,,,,,,,,,IR,IR,IR,IR,IR
Levi Brown,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Plaxico Burress,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Justin Cheadle,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jerricho Cotchery,,,,,,,P,,,,,,,P,P,
Da'Mon Cromartie-Smith,,,,,Q,,,,,,,,,,,
David DeCastro,,,,,,,,O,P,P,,,P,P,,D
Nik Embernate,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Larry Foote,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ramon Foster,,,,,P,,,P,,O,P,,,,,
Terence Garvin,,,,,,,,,,,,,,,,D
Marcus Gilbert,,,,,,P,P,,Q,P,,P,,P,P,
Richard Gordon,,,,,,O,O,,,,,,,,,
Cameron Heyward,,,,,,,P,,P,,,,,,,
Evander Hood,,,,,,,,,,,,,Q,P,,
David Johnson,,,,,D,O,O,O,O,IR,IR,IR,IR,IR,IR,IR
Will Johnson,P,,,,,,,,,,,,,,,
Jarvis Jones,P,,P,,,Q,P,,,,,,,,O,P
Brett Keisel,,,P,P,,P,P,,,Q,Q,,O,O,P,P
Steve McLendon,,P,P,P,,,,P,,,D,O,Q,Q,P,
Heath Miller,D,O,P,P,,,,,,,,,,,,
Troy Polamalu,,,,,,,,,,,,,,P,,
Maurkice Pouncey,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ben Roethlisberger,,,,,P,,,,,,,,,,,
Emmanuel Sanders,,,,,,,,,,Q,P,,,P,P,Q
Matt Spaeth,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Sean Spence,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,IR,IR,IR,IR,IR,IR,IR,IR
LaRod Stephens-Howling,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Shaun Suisham,,,,,,,,,,,,,,,,
Stevenson Sylvester,,,,,,,,,,,O,O,Q,,,
Ike Taylor,,,,,,,,,P,,,,,,,
Shamarko Thomas,,,,,,,,,Q,O,O,,,,,
Lawrence Timmons,,,,,,,P,P,,,,,,,,
Fernando Velasco,,,,,,,,,P,P,P,,IR,IR,IR,IR
Markus Wheaton,,,,,O,O,O,O,P,,,,,,,P
Guy Whimper,,,,,,,,P,,,,,,,,
Vince Williams,,,,,,,,,D,,,,,,,
LaMarr Woodley,,,,,,P,P,,,D,Q,D,P,,IR,IR
Jason Worilds,,,,,,,,,,,,,,,,D
