Player,09/10vs. NWE,09/20vs. SFO,09/27vs. STL,10/01vs. BAL,10/12vs. SDG,10/18vs. ARI,10/25vs. KAN,11/01vs. CIN,11/08vs. OAK,11/15vs. CLE,11/29vs. SEA,12/06vs. IND,12/13vs. CIN,12/20vs. DEN,12/27vs. BAL,01/03vs. CLE,01/09vs. CIN,01/17vs. DEN
Mike Adams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Cortez Allen,,IR,IR,IR,IR,IR,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Will Allen,,P,,,,O,O,O,P,,,P,,P,P,P,P,P
Kelvin Beachum,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Le'Veon Bell,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Antwon Blake,,,,,,,P,,,,,,,,,P,,
Rob Blanchflower,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brandon Boykin,,P,,,,,,,,,P,,,,,,,
Antonio Brown,,,,,,,,,,,,,,,,,,O
Martavis Bryant,,,,,,,,,P,,,P,,,,Q,P,
Sammie Coates,,,,,,,,,,,,,P,,,,,
Bud Dupree,,,,,,,,,,,,,,P,,,,
Terence Garvin,,,,,,,,O,O,O,P,,,,,,,
William Gay,,,P,,,,P,P,P,,,,P,P,P,P,P,
Marcus Gilbert,,,,,,,,,,P,,,,,,,,
Robert Golden,,,,,,,,,,,,,,,,,,P
Bruce Gradkowski,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Doran Grant,,,,,,,,,,,,,,,,Q,,
James Harrison,,,,P,,P,P,P,P,O,P,P,P,P,P,P,P,P
Garrett Hartley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Cameron Heyward,,,P,,,,,,,,,,,,,,,P
Darrius Heyward-Bey,,,,,,,,,,P,,,,,,,,
Will Johnson,,,,,,,,,,P,,,,,,,,Q
Jarvis Jones,,,,,,Q,P,,,,,,,,,,,
Landry Jones,O,P,,,,,,,,,,,,,,,,
Doug Legursky,,,,,,P,,,,,,,,,,,,
Daniel McCullers,,,O,O,P,,,,,,,,,,,,,
Steve McLendon,,,,,,,,,,P,,,,,,,,
Heath Miller,,,,,,,,P,P,P,,Q,P,P,,P,P,
Mike Mitchell,,P,,,,,,,P,,,P,,P,P,P,,
Isaiah Pead,,,,,,,,,,P,,,,,,,,
Maurkice Pouncey,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ben Roethlisberger,,,,O,O,O,Q,P,,Q,,P,,,,P,,Q
Ryan Shazier,,P,O,O,O,O,P,,,P,Q,P,,P,,P,,P
Matt Spaeth,,,,O,P,,P,P,O,O,Q,P,P,P,P,P,,P
Sean Spence,,P,,,,,,,,,,O,P,,,,,
Shaun Suisham,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Shamarko Thomas,,,,,,,,,,O,P,,,,,,,
Stephon Tuitt,,,,,,,O,O,P,,,,,,,,,
Ross Ventrone,,,,,P,,,,,,,,,,,,,
Michael Vick,,,,,,,O,O,P,,,,,,,,,
Cody Wallace,,,,P,,,,P,,,,,,,,,,
Greg Warren,,,,,,,,,,,,,P,,,,,
Markus Wheaton,,,P,,P,,,,P,,,,,,,,,
DeAngelo Williams,,,,,,,,,,P,,,,P,,,O,O
Vince Williams,,,,,,,,,,,,,,,,,P,P
