Player,09/10vs. CLE,09/17vs. MIN,09/24vs. CHI,10/01vs. BAL,10/08vs. JAX,10/15vs. KAN,10/22vs. CIN,10/29vs. DET,11/12vs. IND,11/16vs. TEN,11/26vs. GNB,12/04vs. CIN,12/10vs. BAL,12/17vs. NWE,12/25vs. HOU,12/31vs. CLE,01/14vs. JAX
Keion Adams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Antonio Brown,,,,,,,,,,,,Q,,,O,O,Q
Sammie Coates,,,IR,IR,,,,,,IR,IR,IR,,,IR,,IR
James Conner,,,,,,,,,,,,,,,IR,IR,IR
Jordan Dangerfield,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Sean Davis,,,,Q,,,,,,,,,,,,,
Greg Ducre,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Bud Dupree,Q,,,,,,,,,,,,,,,,
Ramon Foster,,,,Q,,Q,,,,,,,,,Q,,
Marcus Gilbert,,,O,Q,D,,D,O,,,,,,,,,
Joe Haden,,,,,,,,,,O,O,O,O,Q,,,
James Harrison,,,,Q,,,,,O,Q,,,,,,,
Jerald Hawkins,O,O,Q,,,,,,,,,,,,,,
Tyler Matakevich,,,,,,,,,,,,,O,,,,
Mike Matthews,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Vance McDonald,,Q,,,,,,O,,Q,O,O,,O,,,
Mike Mitchell,,,,Q,,,,,,Q,Q,D,Q,,,,
Maurkice Pouncey,,,,,,,,,,,,,,,,Q,
Coty Sensabaugh,,,,,,,,,,,,,,Q,Q,,
Canaan Severin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ryan Shazier,,,,,,,,,,,,,IR,IR,IR,IR,IR
JuJu Smith-Schuster,,,,,,,,,,,O,,,Q,,,
Dez Stewart,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Cameron Sutton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,
Stephon Tuitt,,Q,Q,,,,O,O,,,,,,,,,
T.J. Watt,,,O,,,,,,,,,,,,,,
J.J. Wilcox,,Q,,,,,,,,,,,,,,,
