Player,09/14vs. NYG,09/20vs. DEN,09/27vs. HOU,10/11vs. PHI,10/18vs. CLE,10/25vs. TEN,11/01vs. BAL,11/08vs. DAL,11/15vs. CIN,11/22vs. JAX,12/02vs. BAL,12/07vs. WAS,12/13vs. BUF,12/21vs. CIN,12/27vs. IND,01/03vs. CLE,01/10vs. CLE
Olasunkanmi Adeniyi,,,,,,,,,,,,,,,Q,,
Marcus Allen,,,,O,,,,,,,,,,,Q,,
Tyson Alualu,,,,,,,,O,,,,,,,,,
Zach Banner,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Boswell,,,,,,,,,,,,Q,,,Q,O,
Isaiah Buggs,,,,,,,,,Q,,C19,,,,,,
Devin Bush Jr.,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
James Conner,,,,,,,,,,,C19,C19,C19,Q,,,
Jordan Dangerfield,,,,,,,O,,,,,,,,,,
David DeCastro,O,O,,,O,,,,,,,,,,,,
Kevin Dotson,,,,,,,,,Q,C19,C19,,,O,,,
Bud Dupree,,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Eric Ebron,,,,,,,,,,,,,,,,C19,C19
Terrell Edmunds,,,,,,,,,,,,,,,,O,
Trey Edmunds,,,,,,,,,,O,IR,IR,IR,IR,IR,IR,IR
Jayrone Elliott,,,,,,,,,,O,,,,,,,
Matt Feiler,,,,,,,,,,,,,,IR,IR,IR,IR
Zach Gentry,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Ulysees Gilbert,,,,,,,O,IR,,,,,,,O,,IR
Joe Haden,,,,,,,,,,,Q,,O,,,C19,C19
Jerald Hawkins,,,,,,,,,C19,,C19,C19,,,,,
Mike Hilton,,,,,,O,Q,D,Q,,,,,,,,
Diontae Johnson,,,,,O,,,,,,,,,,,,
Cassius Marsh,,,,,,,,,,,,,,,,C19,C19
Vance McDonald,,,,,,,,Q,C19,C19,C19,,,,,,
Anthony McFarland Jr.,,,,,,,,,Q,,,,,,Q,,
Steven Nelson,,,,,,,,,,,,D,,,,,
Maurkice Pouncey,,,,,,,,,,,,C19,C19,,,,
Ben Roethlisberger,,,,,,,,,,,,Q,,,,O,
Jaylen Samuels,,,,,,,,,C19,O,O,,,,,,
Robert Spillane,,,,,,,,,,,,,IR,IR,IR,IR,IR
Derek Watt,,,,O,,O,Q,,,,,,,,,,
Vince Williams,,,,,,,,,C19,,,,C19,C19,C19,,
Stefen Wisniewski,,O,IR,IR,IR,IR,IR,D,,,,,,,,,
Chris Wormley,,,,,,,IR,IR,IR,IR,,,,,,,
