,index,Player,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Year,Salary
0,0,Jim Otto,50.0,22.0,C,14,14.0,255.0,6-2,Miami (FL),1/5/1938,Rook,13.0,,1960,
1,1,Eddie Macon,28.0,33.0,DB,14,14.0,177.0,6-0,Pacific,3/7/1927,8,10.0,Chicago Bears / 2nd / 20th pick / 1952,1960,
2,2,Billy Lott,31.0,26.0,FB,14,13.0,203.0,6-0,Mississippi,11/8/1934,2,9.0,New York Giants / 6th / 70th pick / 1958,1960,
3,3,Joe Cannavino,27.0,25.0,DB,14,14.0,185.0,5-11,Ohio St.,1/20/1935,Rook,8.0,Baltimore Colts / 16th / 185th pick / 1957,1960,
4,4,Charley Powell,87.0,28.0,DE,14,14.0,226.0,6-3,none,4/4/1932,8,8.0,,1960,
5,5,Tom Louderback,60.0,27.0,LB,14,13.0,235.0,6-2,San Jose St.,3/5/1933,2,8.0,Washington Redskins / 10th / 111th pick / 1955,1960,
6,6,Alex Bravo,47.0,30.0,DB,14,14.0,190.0,6-0,Cal Poly-San Luis Obispo,7/27/1930,3,8.0,Los Angeles Rams / 9th / 106th pick / 1954,1960,
7,7,Tony Teresa,25.0,27.0,HB,14,8.0,188.0,5-9,San Jose St.,12/8/1933,2,8.0,,1960,
8,8,Carmen Cavalli,85.0,23.0,DE,14,14.0,245.0,6-4,Richmond,6/11/1937,Rook,7.0,,1960,
9,9,Ron Sabal,64.0,24.0,T,14,14.0,245.0,6-3,Purdue,7/23/1936,Rook,7.0,Philadelphia Eagles / 19th / 220th pick / 1958,1960,
10,10,Riley Morris,55.0,26.0,LB,12,12.0,230.0,6-2,Florida A&M,3/22/1934,Rook,7.0,,1960,
11,11,Bob Dougherty,44.0,28.0,LB,14,14.0,240.0,6-1,"Cincinnati,Kentucky",4/20/1932,3,7.0,Los Angeles Rams / 20th / 238th pick / 1954,1960,
12,12,George Fields,80.0,,DT,14,12.0,245.0,6-3,Bakersfield JC,0/0/0,Rook,7.0,,1960,
13,13,Tom Flores,15.0,23.0,QB,14,13.0,202.0,6-1,Pacific,3/21/1937,Rook,7.0,,1960,
14,14,Don Manoukian,67.0,26.0,G,14,14.0,242.0,5-9,Stanford,6/9/1934,Rook,7.0,,1960,
15,15,Paul Oglesby,74.0,21.0,T,14,12.0,235.0,6-4,"Riverside CC,UCLA",1/9/1939,Rook,6.0,St. Louis Cardinals / 10th / 113th pick / 1960,1960,
16,16,Ray Armstrong,66.0,23.0,DT,14,8.0,235.0,6-1,TCU,10/6/1937,Rook,5.0,Philadelphia Eagles / 20th / 236th pick / 1960,1960,
17,17,Jack Larscheid,23.0,27.0,HB,14,8.0,162.0,5-6,Pacific,5/10/1933,Rook,5.0,,1960,
18,18,Wayne Hawkins,65.0,22.0,G,14,9.0,240.0,6-0,Pacific,6/17/1938,Rook,5.0,,1960,
19,19,John Harris,29.0,27.0,DB,14,10.0,195.0,6-1,Santa Monica College (CA),5/7/1933,Rook,5.0,,1960,
20,20,Don Deskins,79.0,28.0,DT,14,6.0,240.0,6-3,Michigan,5/10/1932,Rook,4.0,,1960,
21,21,Charlie Hardy,82.0,27.0,SE,14,13.0,183.0,6-0,San Jose St.,11/7/1933,Rook,4.0,,1960,
22,22,J.D. Smith,32.0,24.0,FB,14,1.0,210.0,6-1,Compton CC (CA),10/18/1936,Rook,4.0,,1960,
23,23,Gene Prebola,89.0,22.0,TE,14,10.0,225.0,6-3,Boston Univ.,6/30/1938,Rook,4.0,Detroit Lions / 19th / 219th pick / 1960,1960,
