,Division Placement,Points For,Points for Per Game,Points For Ranking,Points Against,Points Against Per Game,Points Against Ranking,Expected Wins,Expected Losses,Team Rating SRS,SRS rank,Strength of Schedule
1960,3,319,22.8,5,388,27.7,6,5.4,8.6,-4.31,17,.62
1961,4,237,16.9,8,458,32.7,8,2.4,11.6,-13.81,21,1.97
1962,4,213,15.2,8,370,26.4,6,3.0,11.0,-9.81,22,1.40
1963,2,363,25.9,2,282,20.1,4,9.0,5.0,5.06,6,-0.72
1964,3,303,21.6,6,350,25.0,6,5.8,8.2,-2.94,16,.42
1965,2,298,21.3,5,239,17.1,3,8.8,5.2,3.69,9,-0.53
1966,2,315,22.5,6,288,20.6,5,7.7,6.3,1.08,12,-0.85
1967,1,468,33.4,1,233,16.6,2,11.7,2.3,15.29,1,-1.50
1968,1,453,32.4,1,233,16.6,2,11.6,2.4,14.27,2,-1.44
1969,1,377,26.9,1,242,17.3,2,10.4,3.6,9.04,3,-0.61
1970,1,300,21.4,9,293,20.9,19,7.2,6.8,1.03,11,.53
1971,2,344,24.6,2,278,19.9,14,8.7,5.3,3.68,10,-1.03
1972,1,365,26.1,3,248,17.7,8,10.0,4.0,8.03,3,-0.32
1973,1,292,20.9,10,175,12.5,3,10.8,3.2,6.69,7,-1.66
1974,1,355,25.4,1,228,16.3,9,10.4,3.6,9.02,2,-0.05
1975,1,375,26.8,4,255,18.2,7,10.0,4.0,6.82,8,-1.76
1976,1,350,25.0,4,237,16.9,12,10.0,4.0,8.52,7,.45
1977,2,351,25.1,1,230,16.4,14,10.2,3.8,10.39,2,1.74
1978,2,311,19.4,10,283,17.7,10,8.9,7.1,2.60,8,.85
1979,4,365,22.8,7,337,21.1,17,8.8,7.2,3.80,7,2.05
1980,2,364,22.8,7,306,19.1,10,9.6,6.4,4.20,7,.58
1981,4,273,17.1,25,343,21.4,15,5.9,10.1,-3.63,22,.75
1982,1,260,28.9,2,200,22.2,22,5.9,3.1,5.20,7,-1.46
1983,1,442,27.6,3,338,21.1,13,10.5,5.5,6.77,5,.27
1984,3,368,23.0,9,278,17.4,4,10.6,5.4,6.87,5,1.24
1985,1,354,22.1,12,308,19.3,9,9.3,6.7,4.34,6,1.47
1986,4,323,20.2,16,346,21.6,19,7.3,8.7,.21,15,1.64
1987,4,301,20.1,17,289,19.3,8,7.9,7.1,.02,13,-0.78
1988,3,325,20.3,16,369,23.1,23,6.8,9.2,-3.58,21,-0.83
1989,3,315,19.7,18,297,18.6,10,8.6,7.4,1.83,13,.70
1990,1,337,21.1,13,268,16.8,7,10.1,5.9,6.56,4,2.25
1991,3,298,18.6,15,297,18.6,12,8.0,8.0,1.36,11,1.29
1992,4,249,15.6,23,281,17.6,11,6.9,9.1,-1.62,15,.38
1993,2,306,19.1,14,326,20.4,21,7.4,8.6,-0.68,18,.57
1994,3,303,18.9,19,327,20.4,17,7.3,8.7,-1.58,15,-0.08
1995,5,348,21.8,15,332,20.8,10,8.4,7.6,2.14,11,1.14
1996,4,340,21.3,12,293,18.3,8,9.4,6.6,2.40,8,-0.54
1997,4,324,20.3,17,419,26.2,28,5.6,10.4,-5.13,26,.81
1998,2,288,18.0,22,356,22.3,20,6.0,10.0,-5.64,25,-1.39
1999,4,390,24.4,8,329,20.6,16,9.6,6.4,6.76,4,2.95
2000,1,479,29.9,3,299,18.7,9,12.1,3.9,9.74,1,-1.51
2001,1,399,24.9,4,327,20.4,19,9.9,6.1,3.62,9,-0.88
2002,1,450,28.1,2,304,19.0,6,11.5,4.5,10.64,1,1.51
2003,3,270,16.9,26,379,23.7,25,4.9,11.1,-5.48,25,1.34
2004,4,320,20.0,18,442,27.6,31,5.1,10.9,-4.27,24,3.35
2005,4,290,18.1,23,383,23.9,25,5.5,10.5,-2.80,20,3.01
2006,4,168,10.5,32,332,20.8,18,2.7,13.3,-9.60,32,.65
2007,4,283,17.7,23,398,24.9,26,4.9,11.1,-5.98,27,1.21
2008,3,263,16.4,29,388,24.3,24,4.6,11.4,-7.48,28,.33
2009,3,197,12.3,31,379,23.7,23,2.8,13.2,-10.27,30,1.11
2010,3,410,25.6,6,371,23.2,20,8.9,7.1,.18,16,-2.26
2011,3,359,22.4,16,433,27.1,29,6.3,9.7,-4.93,24,-0.30
2012,3,290,18.1,26,443,27.7,28,4.3,11.7,-10.83,30,-1.27
2013,4,322,20.1,24,453,28.3,29,4.9,11.1,-7.99,30,.20
2014,4,253,15.8,31,452,28.3,32,3.2,12.8,-8.99,29,3.44
2015,3,359,22.4,17,399,24.9,22,7.0,9.0,-0.24,15,2.26
2016,2,416,26.0,7,385,24.1,20,8.7,7.3,3.26,8,1.33
2017,3,301,18.8,23,373,23.3,20,6.0,10.0,-4.73,24,-0.23
2018,4,290,18.1,28,467,29.2,32,3.9,12.1,-9.31,31,1.75
2019,3,313,19.6,24,419,26.2,24,5.3,10.7,-6.90,27,-0.27
2020,2,434,27.1,10,478,29.9,30,7.1,8.9,-1.95,20,.80
2021,1,59,29.5,7,44,22.0,10,1.3,0.7,40.43,2,32.93
