Player,09/12vs. TEN,09/19vs. STL,09/26vs. ARI,10/03vs. HOU,10/10vs. SDG,10/17vs. SFO,10/24vs. DEN,10/31vs. SEA,11/07vs. KAN,11/21vs. PIT,11/28vs. MIA,12/05vs. SDG,12/12vs. JAX,12/19vs. DEN,12/26vs. IND,01/02vs. KAN
Nnamdi Asomugha,,P,,,,,,,D,O,P,P,P,P,P,P
Khalif Barnes,,,,,,,,,,,,,,P,,
Michael Bennett,,,,,O,O,P,O,,,,,,,,
Kyle Boller,,,,,,,,,,,,,,Q,,
Tyvon Branch,,,,,,,P,,,Q,P,P,P,P,,
Ricky Brown,,,O,O,P,,,,,,,,,,,
Desmond Bryant,O,P,,,,,,,,,,,,,,
Michael Bush,O,O,P,P,,,,,,,,,,,,
Jason Campbell,,,,,,,D,,,,,,,,,Q
Cooper Carlisle,,,,P,,,,,,,,,,,,
Hiram Eugene,,O,O,P,P,,P,Q,P,,P,,P,P,,
Robert Gallery,,D,O,O,O,P,,P,,,P,,,,,
Travis Goethel,O,O,O,O,O,D,O,O,,,,,,P,,
Bruce Gradkowski,,,,,,D,O,O,O,Q,,IR,IR,IR,IR,IR
Quentin Groves,,,,P,O,P,,,,,,,,,,
John Henderson,,,O,O,O,O,O,O,O,P,,,P,,,
Mario Henderson,,,,,,,,,,,,,,,,P
Darrius Heyward-Bey,,,,P,,,,,P,O,P,,,,,
Johnnie Lee Higgins,,,,,,P,,,,,,,,O,O,O
Thomas Howard,,,,,O,O,O,Q,,,,,,,,
Chris Johnson,,P,P,P,P,,,Q,,,O,D,P,P,P,P
Luke Lawton,,,O,O,,,,,,,,,,,,
Shane Lechler,,,,,,,,,,,,,,,P,
Daniel Loper,,,,P,,P,,,,,,,,,,
Rolando McClain,,,,,,,,,,Q,,P,O,P,,
Darren McFadden,,,,,O,O,P,,,,,,,,,Q
Walter McFadden,O,O,P,O,O,Q,,,,,,,,,,
Nick Miller,,,,,,,,P,,,,,O,P,P,Q
Zach Miller,,,,P,P,,,P,D,P,,,P,P,P,P
Mike Mitchell,,,,,,,,,,,,,,,P,Q
Jarvis Moss,,,,,,,,,,,,,P,,,
Louis Murphy,,,,P,Q,,,O,O,Q,,,,,,
Brandon Myers,,,,,,,O,Q,,,,,,,,
Marcel Reece,,,,P,,,,,,,,,,,,
Samson Satele,,,,,,,,Q,P,,,,,,,
Chaz Schilens,O,O,O,O,O,O,O,O,O,O,O,,P,,,
Trevor Scott,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Richard Seymour,,O,P,P,,,,,,,,P,,,O,O
Matt Shaughnessy,,,,,,,,Q,,,,,,,,
Langston Walker,,,,P,,,,,,,,,,,O,Q
Jeremy Ware,,,,O,O,P,,,,,,,,,,
Kamerion Wimbley,,,,,,,,Q,,,,,,,,
