Player,09/10vs. SDG,09/16vs. MIA,09/23vs. PIT,09/30vs. DEN,10/14vs. ATL,10/21vs. JAX,10/28vs. KAN,11/04vs. TAM,11/11vs. BAL,11/18vs. NOR,11/25vs. CIN,12/02vs. CLE,12/06vs. DEN,12/16vs. KAN,12/23vs. CAR,12/30vs. SDG
Phillip Adams,,,,,,,,,,,,,D,,P,IR
David Ausberry,P,P,Q,P,P,,,,,,,,,,,P
Khalif Barnes,,Q,O,O,O,O,O,O,O,P,,,P,P,P,P
Ron Bartell,,O,IR,IR,IR,IR,IR,IR,IR,,,,,,,
Christo Bilukidi,,,,,,,,,,,,,,Q,,
Tyvon Branch,,,,,,,,,,Q,P,P,Q,Q,Q,Q
Mike Brisiel,,,,,,P,,,,,,,,,,D
Desmond Bryant,,,,,,,Q,P,P,,,,,,,
Miles Burris,,,,,,,P,,P,,,P,,,,P
Duke Calhoun,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Cooper Carlisle,Q,,,,,,,,,,,,,,,
Keenan Clayton,,,,,,,Q,D,P,,,,,,,
Jon Condo,,D,,,,,,,,,,,,,,
Jack Crawford,,,,,,,,,,,Q,O,Q,P,,P
Juron Criner,Q,Q,P,,,,P,,,,,,P,,Q,P
Jamie Cumbie,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Aaron Curry,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,P,,,,,,,
Jacoby Ford,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Coye Francies,,,Q,,,,,,P,,,,,,,
Matt Giordano,,,,,,,,,P,P,,,P,,,
Travis Goethel,,,,,,,Q,P,,IR,IR,IR,IR,IR,IR,IR
Mike Goodson,,,Q,Q,,,P,,D,O,O,Q,P,,,P
Richard Gordon,,,,Q,O,O,Q,,P,P,,,,,P,
Darrius Heyward-Bey,,,,D,P,P,,,,D,P,,,,,
Michael Huff,,,,P,,,,,,,,,Q,Q,,
Zach Hurd,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Rashawn Jackson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Sebastian Janikowski,P,P,Q,P,P,P,P,P,P,P,,,,,,
Taiwan Jones,,Q,Q,,P,Q,Q,P,,Q,Q,P,P,,,
Tommy Kelly,,,,P,Q,,P,,,,,,,,,
Marquette King,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mario Kurn,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Rolando McClain,,Q,Q,,,,,Q,,,,,,,,
Darren McFadden,,,,P,P,P,P,,D,O,D,Q,P,P,,
Mike Mitchell,,P,,,,,P,P,P,,,,D,P,P,
Denarius Moore,Q,P,,,,P,,,,,Q,,Q,,,
Brandon Myers,P,P,,P,P,P,P,,,P,P,,P,,,P
Carson Palmer,,,,,,,,,,,,P,P,,,O
Alex Parsons,,Q,Q,P,P,Q,P,,,,,,,,,
Marcel Reece,,,,,,,,,P,P,P,P,P,,,
Richard Seymour,Q,P,Q,P,P,P,P,P,O,O,O,O,O,Q,O,IR
Matt Shaughnessy,,,,,,,Q,P,P,,,,,,,
Willie Smith,,,,,,,,P,P,,,,,,,
Shawntae Spencer,,,O,O,O,O,O,O,IR,IR,IR,IR,IR,IR,IR,IR
Rod Streater,,,,Q,,,P,,,,,,,,,
Dave Tollefson,,,,,,,Q,P,P,,,,,,,
Brandon Underwood,IR,,,,,,,,,,,,,,,
Jared Veldheer,,,,,,,,P,,,,,,,,
Ed Wang,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Stefen Wisniewski,P,,,,,,,P,,,,,,,,
