Player,09/08vs. IND,09/15vs. JAX,09/23vs. DEN,09/29vs. WAS,10/06vs. SDG,10/13vs. KAN,10/27vs. PIT,11/03vs. PHI,11/10vs. NYG,11/17vs. HOU,11/24vs. TEN,11/28vs. DAL,12/08vs. NYJ,12/15vs. KAN,12/22vs. SDG,12/29vs. DEN
David Ausberry,D,D,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Khalif Barnes,,,,,,,,,,,,,,P,,
Tony Bergstrom,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tyvon Branch,,,O,O,O,O,O,O,O,O,O,O,Q,D,IR,IR
Mike Brisiel,,,,,,,,,,,P,,O,P,,P
Kaelin Burnett,,,P,,,,,,,,,,,,,
Kevin Burnett,,,,,,,,,,,,,,,,
Miles Burris,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,Q,,Q,,Q,
Eddy Carmona,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Juron Criner,,,,,,,,,O,O,IR,IR,IR,IR,IR,IR
Matt Flynn,P,,,,,,,,,,,,,,,
Andre Gurode,,,,,,,D,O,Q,Q,,,,,,
D.J. Hayden,,,,,,,,,O,O,IR,IR,IR,IR,IR,IR
Andre Holmes,,,,,P,,,Q,P,,P,,,,,
Jason Hunter,,,,Q,P,,,,,,O,O,P,P,,
Sebastian Janikowski,P,P,,,,,,,P,P,,,,,,
Mike Jenkins,,,,,,,,,,,,,Q,,,Q
Rashad Jennings,,,,,,Q,,,,,,,P,P,,
Nick Kasa,,,,,,,,,,,,,,P,,
Kaluka Maiava,,Q,,,,Q,Q,,Q,Q,Q,Q,IR,IR,IR,IR
Jeron Mastrud,,,,,,,,,,,,,,,P,
Matt McCants,,,,,,,,,O,Q,P,,,,,
Darren McFadden,,,,Q,D,D,,,O,O,O,,O,O,P,
Stacy McGee,,,,,Q,Q,,,,,,,,,,
Denarius Moore,,,,,,,,,,,D,O,O,Q,,P
Sio Moore,Q,,Q,P,,,,,,,,Q,,Q,P,
Daniel Muir,,,,,,,,,,,Q,P,,,,
Latavius Murray,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Lucas Nix,,,Q,Q,Q,,,,,,,,,,P,
Jamize Olawale,,,,P,,,,,,,,,,,,
Tony Pashos,,,,,Q,Q,D,O,O,P,,,,P,,
Tracy Porter,,,,D,P,,P,,P,,,,,,,
Terrelle Pryor,,,,D,P,,Q,,P,O,Q,O,,,,
Marcel Reece,,,,Q,,P,,,,,,,,,,
Mychal Rivera,,,,,,,,,,,,,,,,
Willie Smith,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jeremy Stewart,,,,,,,,,,,,,O,O,O,P
Rod Streater,,,,,,,,,P,,,,,,,
Jared Veldheer,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,
Vance Walker,,,,,,,,,,,,,,D,Q,
Menelik Watson,O,O,O,O,Q,O,D,Q,,,,Q,P,,,Q
Stefen Wisniewski,,,,,D,O,P,,,,,,,,,
Charles Woodson,,,,,,,,,,,,,,,P,
Usama Young,,,,,,,,,,,,,IR,IR,IR,IR
